Product Name,Product Quantity,$ Sales,Total Tax,Cost,% of Quantity,% of Sale Amount,Gross Profit %
Online Surcharge,11,$13.05,$0.00,$0.00,9%,1%,0%
Garlic Bread,8,$38.27,$3.46,$11.36,6%,2%,70%
Large Super House Special,5,$148.00,$13.47,$38.60,4%,7%,74%
Large BBQ Chicken Pizza,4,$61.00,$5.54,$16.68,3%,3%,73%
Regular Sanchez [Dine-in],4,$106.57,$9.68,$13.57,3%,5%,87%
Regular Hawaiian,3,$66.00,$6.00,$3.74,2%,3%,94%
Delivery Fee - Freshwater / Queenscliff,3,$13.77,$1.23,$0.00,2%,1%,0%
Add Olives,3,$4.55,$0.43,$0.00,2%,0%,0%
Large Sanchez,2,$54.00,$4.90,$10.98,2%,3%,80%
Large Hail Africa,2,$58.00,$5.27,$12.49,2%,3%,78%
Regular Margherita,2,$34.00,$3.10,$2.46,2%,2%,93%
Large New Yorker,2,$57.00,$5.18,$10.02,2%,3%,82%
$45 FEAST,2,$90.00,$8.18,$0.00,2%,5%,0%
Regular Vegetarian,2,$32.00,$2.90,$4.74,2%,2%,85%
VB Can D,2,$12.00,$1.10,$4.67,2%,1%,61%
Cheesy Garlic Bread,2,$14.00,$1.28,$3.55,2%,1%,75%
Coke Can,2,$6.04,$0.56,$3.78,2%,0%,37%
Large Margherita,2,$43.00,$3.91,$4.59,2%,2%,89%
Regular Pepperoni,2,$33.31,$3.02,$4.26,2%,2%,87%
Regular Super House Special,2,$43.50,$3.95,$11.06,2%,2%,75%
Add Chilli,2,$2.00,$0.18,$0.00,2%,0%,0%
Regular Jimmy Jury [Dine-in],2,$54.89,$4.98,$6.67,2%,3%,88%
Add Ham,2,$6.00,$0.54,$0.00,2%,0%,0%
Large Cosmopolitan,2,$50.00,$4.54,$13.22,2%,3%,74%
Large Pepperoni,2,$48.00,$4.37,$9.13,2%,2%,81%
Regular New Yorker [Dine-in],2,$49.58,$4.50,$7.17,2%,2%,86%
Vegan Cheese [Pizza],2,$6.00,$0.54,$0.00,2%,0%,0%
Large Paddock,2,$58.00,$5.27,$10.21,2%,3%,82%
Feast Deal Pizzas,2,$90.00,$8.18,$0.00,2%,5%,0%
Large Meatlovers,2,$28.00,$2.55,$13.91,2%,1%,50%
Coke Zero Can,2,$8.00,$0.72,$3.78,2%,0%,53%
Add Bacon,2,$5.60,$0.50,$0.00,2%,0%,0%
Online Discount,1,-$9.75,$0.00,$0.00,1%,-0%,0%
Regular Paddock,1,$25.00,$2.27,$3.10,1%,1%,88%
Regular Meatlovers,1,$25.00,$2.27,$4.98,1%,1%,80%
Add Garlic,1,$1.50,$0.14,$0.00,1%,0%,0%
Under the Bridge Pizza,1,$26.85,$2.44,$4.08,1%,1%,85%
Large Bubba Gump,1,$25.00,$2.27,$5.53,1%,1%,78%
Chicken.,1,$2.00,$0.18,$0.00,1%,0%,0%
Garlic  Bread,1,$0.00,$0.00,$1.42,1%,0%,
Add Oregano,1,$0.50,$0.05,$0.00,1%,0%,0%
WINGS DEAL,1,$30.00,$2.73,$0.00,1%,2%,0%
Kuku Sauvignon Blanc D,1,$21.11,$1.92,$14.57,1%,1%,31%
Gluten-free Cosmopolitan,1,$32.00,$2.91,$9.17,1%,2%,71%
Large Hawaiian,1,$28.00,$2.55,$3.26,1%,1%,88%
Gluten-free Little Italy,1,$31.00,$2.82,$10.77,1%,2%,65%
Large Garlic Cheese Pizza,1,$18.00,$1.64,$2.11,1%,1%,88%
Large Little Italy,1,$0.00,$0.00,$8.84,1%,0%,
Regular Tandoori Chicken,1,$19.50,$1.77,$2.30,1%,1%,88%
Regular Truffalo Soldier [Dine-in],1,$26.85,$2.43,$3.27,1%,1%,88%
Regular Uber Margherita,1,$21.00,$1.91,$3.19,1%,1%,85%
Gluten-free BBQ Chicken Pizza,1,$30.50,$2.77,$7.42,1%,2%,76%
Add Prawns,1,$4.00,$0.36,$0.00,1%,0%,0%
Regular Cosmopolitan,1,$26.00,$2.36,$4.73,1%,1%,82%
Add Cherry Tomatoes,1,$1.50,$0.14,$0.00,1%,0%,0%
Regular El Patron [Dine-in],1,$26.85,$2.43,$3.64,1%,1%,86%
Gluten-free Base,1,$5.16,$0.46,$4.10,1%,0%,21%
Large El Patron,1,$0.00,$0.00,$5.85,1%,0%,
Regular Sanchez,1,$25.00,$2.27,$3.39,1%,1%,86%
"Large No Chorizo, No Cry",1,$27.00,$2.45,$5.60,1%,1%,79%
Regular Little Italy [Dine-in],1,$26.85,$2.43,$4.80,1%,1%,82%
Extra Mozzarella,1,$2.58,$0.24,$0.00,1%,0%,0%
Regular Uber Margherita [Dine-in],1,$23.75,$2.14,$3.19,1%,1%,87%
Add Pesto,1,$1.00,$0.09,$0.00,1%,0%,0%
Choc  Brownie,1,$0.00,$0.00,$1.95,1%,0%,
Regular Super House Special [Dine-in],1,$26.00,$2.36,$5.53,1%,1%,79%
Large Roma Special,1,$25.00,$2.27,$5.63,1%,1%,77%
Gluten-free Margherita,1,$23.00,$2.09,$6.08,1%,1%,74%
Sunkist 1.25L,1,$7.00,$0.64,$2.04,1%,0%,71%
Regular Sanchez VEGAN [Dine-in],1,$26.85,$2.44,$3.02,1%,1%,89%
Grifter Pale Ale 4-pack D,1,$20.00,$1.82,$13.06,1%,1%,35%
,128,"$1,985.73",$180.09,$377.28,100%,100%,81%
