Products Product Name,Products Reporting Group Name,Sales Data Sale Closed Week,Sales Data Total Ex Tax,Sales Data Total Cost,Sales Data Product Quantity
Sensei Calamari,Small Plates,2026-07-20,36.62,,2
BBQ Wings,Small Plates,2026-07-20,15.88,,1
Stow Schnitty,Big Plates,2026-07-20,428.11,,22
No Cheese (Make It Dairy-Free),Modifiers,2026-07-20,0,,2
Virgin Margy,Mocktails,2026-07-20,12.2,,1
Chicken,Add-ons - Pizza,2026-07-20,1.46,,1
Pepsi Max Glass,Non-alcoholic,2026-07-20,20.45,,5
Jalapeño Marg,Cocktails - Classic,2026-07-20,107.3,,5
Large Hawaiian,Marilyna's Pizza,2026-07-20,25.45,,1
Garlic Bread,Marilyna's Pizza,2026-07-20,26.83,,6
Large Margherita,Marilyna's Pizza,2026-07-20,18.18,,1
Regular Bubba Gump,Marilyna's Pizza,2026-07-20,23.64,,1
Regular Hail Africa [Dine-in],Dine-in Pizza,2026-07-20,33.26,,2
Large Super House Special,Marilyna's Pizza,2026-07-20,54.54,,2
Regular Roma Special [Dine-in],Dine-in Pizza,2026-07-20,16.36,,1
No Anchovies,None,2026-07-20,0,,1
Regular Jimmy Jury [Dine-in],Dine-in Pizza,2026-07-20,52.9,,4
Add Anchovies,Add-ons - Pizza,2026-07-20,1.82,,1
Fancy Pants Parmy - Classic,Big Plates,2026-07-20,378.06,,17
Year Wines Fiano - Regular,White Wine,2026-07-20,32.72,,2
Side Chipotle Mayo,Add-ons - Kitchen,2026-07-20,2.82,,3
Large Hail Africa Wings Deal,Marilyna's Pizza,2026-07-20,27.27,,1
Pie,Big Plates,2026-07-20,60.85,,2
Dumplings - Beef & Cabbage,Harry Gatos Food,2026-07-20,12.21,,1
Crankshaft IPA - Schooner,Tap Beer,2026-07-20,12.27,,1
Miso Ramen,Harry Gatos Food,2026-07-20,0,,1
Mother's Milk Shiraz - Bottle,Red Wine,2026-07-20,118.26,,2
Arancini Balls [5pc],Small Plates,2026-07-20,41.12,,2
Guinness Draught - Pint,Tap Beer,2026-07-20,382.36,,24
Lepinja Bread,Sides,2026-07-20,9.09,,1
Villa Fresco Sangiovese - Bottle,Red Wine,2026-07-20,136.57,,3
Heaps Normal Tin,Non-alcoholic,2026-07-20,100.99,,10
Negroni,Cocktails - Classic,2026-07-20,40,,2
Mulled Wine,Cocktails - Signature,2026-07-20,183.67,,14
Fresh is Best Lager - Pint,Tap Beer,2026-07-20,116.33,,11
Rocket Man,Salads,2026-07-20,23.45,,2
Oceanside,Cocktails - Signature,2026-07-20,28.18,,2
Jameson Irish Whiskey,Whisky,2026-07-20,17.46,,2
Lemon Meringue Martini,Cocktails - Signature,2026-07-20,51.63,,3
Pineapple Juice Glass,Non-alcoholic,2026-07-20,4.55,,1
Bang Bang Cauli,Small Plates,2026-07-20,15.95,,1
Glaetzer Anaperenna Shiraz Cab - Regular,Red Wine,2026-07-20,157.85,,6
Pepsi Glass,Non-alcoholic,2026-07-20,32.72,,8
Cheesy Garlic Bread,Marilyna's Pizza,2026-07-20,5.45,,1
Pink Lemonade Glass,Non-alcoholic,2026-07-20,4.09,,1
Large BBQ Chicken Pizza,Marilyna's Pizza,2026-07-20,27.73,,1
Fresh is Best Summer Lager - Pint,Tap Beer,2026-07-20,49.45,,5
Regular Cosmopolitan,Marilyna's Pizza,2026-07-20,17.73,,1
Ottelia Cab Sav - Regular,Red Wine,2026-07-20,30.9,,2
Stow Vermouth Blend [30ml],Amaro / Aperitif / Fortified Wine,2026-07-20,32.73,,3
Trentham Estate Rosé - Regular,Rose Wine,2026-07-20,40.17,,4
Regular Sanchez [Dine-in],Dine-in Pizza,2026-07-20,82.87,,5
Regular New Yorker [Dine-in],Dine-in Pizza,2026-07-20,33.79,,2
Crankshaft IPA - Pint,Tap Beer,2026-07-20,111.37,,7
Regular Truffalo Soldier [Dine-in],Dine-in Pizza,2026-07-20,80.16,,5
Geppetto Pinot Noir - Regular,Red Wine,2026-07-20,55.01,,4
Regular The Paddock [Dine-in],Dine-in Pizza,2026-07-20,16.9,,1
Ottelia Chardonnay - Regular,White Wine,2026-07-20,55.29,,4
Beef Burrito D,Delivery Kitchen,2026-07-20,45.45,,2
Aperol Spritz,Cocktails - Classic,2026-07-20,49.51,,3
Fish Burrito D,Delivery Kitchen,2026-07-20,27.27,,1
Rosemary Salted Fries,Small Plates,2026-07-20,114.16,,10
Swap Fries for Sweet Potato Fries,Add-ons - Kitchen,2026-07-20,7.52,,4
No Pineapple,Modifiers,2026-07-20,0,,1
Gluten-free El Patron [Dine-in],Dine-in Pizza,2026-07-20,28.18,,1
Lemon Twist,Modifiers,2026-07-20,0,,1
Garlic  Bread.,Marilyna's Pizza,2026-07-20,0,,2
Classic Margarita,Cocktails - Classic,2026-07-20,165.45,,10
Veg Spring Rolls,Harry Gatos Food,2026-07-20,14.09,,1
White Light Pure Vodka [House],Vodka,2026-07-20,55.08,,7
Online Discount,Add-ons - Pizza,2026-07-20,-12.75,,1
Two Bays GF Pale Can D,Delivery Alcohol,2026-07-20,20.37,,2
Side Blue Cheese Dip,Add-ons - Kitchen,2026-07-20,0.94,,1
Regular Garlic Cheese Pizza,Marilyna's Pizza,2026-07-20,8.18,,1
Karaage Chicken,Harry Gatos Food,2026-07-20,29.1,,2
Large Sanchez,Marilyna's Pizza,2026-07-20,74.83,,3
Baked Camembert,Small Plates,2026-07-20,23.38,,1
Large Tandoori Chicken,Marilyna's Pizza,2026-07-20,22.73,,1
Geppetto Pinot Noir - Large Glass,Red Wine,2026-07-20,22.53,,1
Dry,Modifiers,2026-07-20,0,,1
Kirin - Pint,Tap Beer,2026-07-20,16.82,,1
Side Gravy,Add-ons - Kitchen,2026-07-20,5.6,,4
Grifter Pale - Schooner,Tap Beer,2026-07-20,128.38,,14.7
Easy Sauce,None,2026-07-20,0,,1
Version Two Pinot Grigio - Regular,White Wine,2026-07-20,147.28,,17.4
Swap Gravy for Tomato Sauce,None,2026-07-20,0,,1
Heaps Normal XPA D,Delivery Alcohol,2026-07-20,0,,1
Regular Truffalo Soldier,Marilyna's Pizza,2026-07-20,21.82,,1
Less Cheese,Add-ons - Pizza,2026-07-20,0,,4
Sour Cream,Add-ons - Pizza,2026-07-20,0.91,,1
Large Uber Margherita,Marilyna's Pizza,2026-07-20,24.55,,1
"Lemon, Lime & Bitters",Non-alcoholic,2026-07-20,32.3,,7
Chicken Shindig Burger,Big Plates,2026-07-20,25.25,,1
Regular Cosmopolitan [Dine-in],Dine-in Pizza,2026-07-20,14.72,,1
Fresh is Best Summer Lager - Schooner,Tap Beer,2026-07-20,75.32,,10
Side Sour Cream,Add-ons - Kitchen,2026-07-20,0.94,,1
Outback Prawn Toast,Harry Gatos Food,2026-07-20,30.04,,2
Philter XPA - Pint,Tap Beer,2026-07-20,13.64,,1
Kids Icecream,Kids Meals,2026-07-20,4.55,,1
Shredded Beef,Harry Gatos Food,2026-07-20,48.05,,2
Buffalo Wings D,Delivery Kitchen,2026-07-20,14.55,,1
Seadrift Coast Non-alc G&T,Mocktails,2026-07-20,12.2,,1
Katsu Curry,Harry Gatos Food,2026-07-20,76.06,,3
Large Meatlovers,Marilyna's Pizza,2026-07-20,84.54,,3
Fresh Lime Soda,Non-alcoholic,2026-07-20,25.85,,8
BBQ Wings [Wings Deal],Marilyna's Pizza,2026-07-20,0,,2
Regular Pepperoni,Marilyna's Pizza,2026-07-20,13.64,,1
Cranberry Juice Glass,Non-alcoholic,2026-07-20,4.7,,1
GF Flatbread,Add-ons - Kitchen,2026-07-20,3.76,,1
2 Glasses,Modifiers,2026-07-20,0,,4
Philter XPA - Schooner,Tap Beer,2026-07-20,115.31,,13
Petits Detours Rosé - Regular,Rose Wine,2026-07-20,102.33,,7
+$3 Premium Spirit,Add-ons - Bar,2026-07-20,2.46,,1
Padrillos Malbec - Large,Red Wine,2026-07-20,24.55,,1
Kirin - Schooner,Tap Beer,2026-07-20,141.7,,11
Large Little Italy,Marilyna's Pizza,2026-07-20,84.54,,3
Padrillos Malbec - Regular,Red Wine,2026-07-20,16.36,,1
Espresso Martini,Cocktails - Classic,2026-07-20,32.72,,2
Regular Sanchez VEGAN [Dine-in],Dine-in Pizza,2026-07-20,23.64,,1
Large Cosmopolitan,Marilyna's Pizza,2026-07-20,22.73,,1
Coke Zero Can,Marilyna's Soft Drinks,2026-07-20,3.64,,1
Regular Bubba Gump [Dine-in],Dine-in Pizza,2026-07-20,33.26,,2
Regular Meatlovers,Marilyna's Pizza,2026-07-20,40.46,,2
Regular Super House Special [Dine-in],Dine-in Pizza,2026-07-20,16.91,,1
Large Pepperoni,Marilyna's Pizza,2026-07-20,36.36,,2
Sweet Potato Fries D,Delivery Kitchen,2026-07-20,25.37,,2
Regular Roma Special,Marilyna's Pizza,2026-07-20,21.82,,1
Large Jimmy Jury,Marilyna's Pizza,2026-07-20,22.09,,1
Add Pineapple,Add-ons - Pizza,2026-07-20,1.36,,1
Unlimited Dumplings,Harry Gatos Food,2026-07-20,938.26,,43
Extra Patty,Add-ons - Kitchen,2026-07-20,5.45,,1
Fancy Pants Parmy - Mexicali,Big Plates,2026-07-20,84.51,,3
Send Kids Food ASAP,None,2026-07-20,0,,2
Status Quo - Pint,Tap Beer,2026-07-20,174.46,,11
Gluten-free Uber Margherita [Dine-in],Dine-in Pizza,2026-07-20,25.46,,1
Mother's Milk Shiraz - Regular,Red Wine,2026-07-20,69.55,,5
Delivery Fee - Curl Curl / Manly / Dee Why,Marilyna's Pizza,2026-07-20,5.91,,1
Hahn Super Dry GF,Bottles / Cans Alcoholic,2026-07-20,9.55,,1
Beef Burger D,Delivery Kitchen,2026-07-20,47.27,,2
Chicken Burrito,Big Plates,2026-07-20,53.4,,2
Philter Red - Schooner,Tap Beer,2026-07-20,0,,1
Kids Nuggets & Chips,Kids Meals,2026-07-20,24.05,,2
Farmhouse Salad,Salads,2026-07-20,22.64,,1
Brownie,Desserts,2026-07-20,22.18,,2
Grifter Pale - Pint,Tap Beer,2026-07-20,148.65,,12
Trentham Estate Rosé - Bottle,Rose Wine,2026-07-20,44.55,,1
Version Two Pinot Grigio - Bottle,White Wine,2026-07-20,44.55,,1
BBQ Wings D,Delivery Kitchen,2026-07-20,58.21,,4
San Pellegrino 500ml,Non-alcoholic,2026-07-20,24.81,,3
Rocket Man D,Delivery Kitchen,2026-07-20,0,,1
American Standard Burger,Big Plates,2026-07-20,98.6,,4
Large Paddock,Marilyna's Pizza,2026-07-20,24.55,,1
Lemonade Glass,Non-alcoholic,2026-07-20,24.68,,6
No Salad,None,2026-07-20,0,,1
On The Rocks,Modifiers,2026-07-20,0,,2
Vegan Cheese [Pizza],Add-ons - Pizza,2026-07-20,2.73,,1
Regular Hawaiian,Marilyna's Pizza,2026-07-20,33.64,,2
Add Rocket,Add-ons - Pizza,2026-07-20,1.36,,1
Large Vegetarian,Marilyna's Pizza,2026-07-20,0,,1
Add Calabrese,Add-ons - Pizza,2026-07-20,3.64,,1
Brownie D,Delivery Kitchen,2026-07-20,0,,5
Make It A Burrito Bowl [gluten-free],None,2026-07-20,0,,2
Extra Sauce,Add-ons - Bar,2026-07-20,0,,1
Large Truffalo Soldier,Marilyna's Pizza,2026-07-20,22.73,,1
Add Olives,Add-ons - Pizza,2026-07-20,2.58,,2
Regular Little Italy [Dine-in],Dine-in Pizza,2026-07-20,138.21,,7
Peroni 0%,Non-alcoholic,2026-07-20,24.54,,3
Regular Uber Margherita [Dine-in],Dine-in Pizza,2026-07-20,54.18,,3
Side Aioli,Add-ons - Kitchen,2026-07-20,3.54,,8
Regular Meatlovers [Dine-in],Dine-in Pizza,2026-07-20,16.91,,1
2x Aioli,Add-ons - Kitchen,2026-07-20,1.88,,2
Casa Gheller Prosecco - Glass,Sparkling Wine,2026-07-20,14.55,,1
Beef Cheek,Kitchen Specials,2026-07-20,74.93,,2
Tommy's Margarita,Cocktails - Classic,2026-07-20,85,,4
La Petite Mort Rosso 2025 - Regular,Red Wine,2026-07-20,15.91,,1
Little Dragon Can,Bottles / Cans Alcoholic,2026-07-20,9.09,,1
Amalfi Olives,Small Plates,2026-07-20,10.45,,1
Large Meatlovers Wings Deal,Marilyna's Pizza,2026-07-20,30,,1
Roasted Tomato Coulis,Add-ons - Kitchen,2026-07-20,2.73,,1
BBQ Pork Buns,Harry Gatos Food,2026-07-20,13.64,,1
Mother's Milk Shiraz - Large,Red Wine,2026-07-20,45.46,,2
Online Surcharge,Add-ons - Pizza,2026-07-20,2.84,,3
Stone & Wood - Schooner,Tap Beer,2026-07-20,178.08,,15
Kuku Sauvignon Blanc - Regular,White Wine,2026-07-20,114.57,,9
Stone & Wood - Pint,Tap Beer,2026-07-20,70.03,,5
Version Two Pinot Grigio - Large,White Wine,2026-07-20,34.54,,2
Kuku Sauvignon Blanc - Bottle,White Wine,2026-07-20,105.46,,2
Version Two Sparkling - Regular,Sparkling Wine,2026-07-20,108.17,,12
Bry Ol San Pell,Modifiers,2026-07-20,0,,2
Gin Martini,Cocktails - Classic,2026-07-20,20,,1
Sweet Potato Fries,Small Plates,2026-07-20,60.67,,5
Bombay Dry [House],Gin,2026-07-20,12.72,,2
Two Bays Pale Ale Can,Bottles / Cans Alcoholic,2026-07-20,66.52,,4
Fresh is Best Lager - Schooner,Tap Beer,2026-07-20,148.16,,22
Trentham Estate Rosé - Large,Rose Wine,2026-07-20,17.27,,1
Buffalo Wings,Small Plates,2026-07-20,71.61,,5
Delivery Fee - Freshwater / Queenscliff,Marilyna's Pizza,2026-07-20,5,,1
Regular El Patron [Dine-in],Dine-in Pizza,2026-07-20,23.64,,1
Duck Spring Rolls,Harry Gatos Food,2026-07-20,15.03,,1
Fried Rice,Harry Gatos Food,2026-07-20,20.91,,1
Mie Goreng,Harry Gatos Food,2026-07-20,8.36,,1
Axl Rose Pizza,Marilyna's Pizza,2026-07-20,16.89,,1
Side BBQ Sauce,Add-ons - Kitchen,2026-07-20,0,,2
Side Tomato Sauce,None,2026-07-20,0,,9
Arancini Balls 5pcs D,Delivery Kitchen,2026-07-20,22.73,,1
Status Quo - Schooner,Tap Beer,2026-07-20,12.27,,1
Trutta Streamside Shiraz [Chilled] - Regular,Red Wine,2026-07-20,16.36,,1
Villa Fresco Sangiovese - Regular,Red Wine,2026-07-20,182.02,,18
Sensei Calamari,Small Plates,2026-07-13,576.12,,31
BBQ Wings,Small Plates,2026-07-13,253.41,,16
Cauliflower Tacos,Small Plates,2026-07-13,93.92,,5
No Cheese (Make It Dairy-Free),Modifiers,2026-07-13,0,,2
Cauliflower Burrito,Big Plates,2026-07-13,81.39,,3
Less Cheese,Add-ons - Pizza,2026-07-13,0,,6
Kids Nuggets & Chips,Kids Meals,2026-07-13,60.28,,7
Daiquiri,Cocktails - Classic,2026-07-13,19.72,,1
Poor Tom's Strawberry Gin Tonica,Gin,2026-07-13,19.09,,1
Tito's Handmade Vodka,Vodka,2026-07-13,50.9,,4
Wolf Lane Navy Gin Tonica,Gin,2026-07-13,54.51,,3
Casamigos Reposado Tequila,Tequila,2026-07-13,15.45,,1
Wolf Lane Navy Gin,Gin,2026-07-13,33.05,,2
Garlic Bread,Marilyna's Pizza,2026-07-13,130.3,,39
Rooster Rojo Blanco Tequila [House],Tequila,2026-07-13,38,,4
BBQ Wings D,Delivery Kitchen,2026-07-13,248.79,,22
Johnnie Walker Black,Whisky,2026-07-13,15.95,,1
Buffalo Wings D,Delivery Kitchen,2026-07-13,176.42,,12
Jug of Water,Modifiers,2026-07-13,0,,4
Regular Bubba Gump,Marilyna's Pizza,2026-07-13,70.92,,3
Virgin Margy,Mocktails,2026-07-13,38.2,,3
Regular Pepperoni,Marilyna's Pizza,2026-07-13,98.93,,6
Apple Juice Glass,Non-alcoholic,2026-07-13,33.28,,7
Large Super House Special,Marilyna's Pizza,2026-07-13,515.31,,25
A. Rodda Tempranillo - Regular,Red Wine,2026-07-13,89.54,,5
Large Paddock,Marilyna's Pizza,2026-07-13,158.19,,8
A. Rodda Chardonnay - Large,White Wine,2026-07-13,40,,1
Regular Margherita,Marilyna's Pizza,2026-07-13,89.45,,6
3 Glasses,Modifiers,2026-07-13,0,,2
Extra Taco,Add-ons - Kitchen,2026-07-13,20.16,,3
Regular Cosmopolitan,Marilyna's Pizza,2026-07-13,66.78,,3
No Pico de Gallo,Modifiers,2026-07-13,0,,1
Large Hawaiian,Marilyna's Pizza,2026-07-13,378.13,,21
+$3 Premium Spirit,Add-ons - Bar,2026-07-13,7.65,,3
Large Pepperoni,Marilyna's Pizza,2026-07-13,443.58,,21
No Anchovies,None,2026-07-13,0,,2
Regular Sanchez,Marilyna's Pizza,2026-07-13,45.46,,2
Add Onion,Add-ons - Pizza,2026-07-13,0,,1
Large Margherita,Marilyna's Pizza,2026-07-13,257.27,,17
Add Rocket,Add-ons - Pizza,2026-07-13,2.86,,2
$21 Custom Cocktail,Cocktails - Classic,2026-07-13,44.29,,4
Swap Gravy for Aioli,None,2026-07-13,0,,3
Gluten-free [Corn Tortillas],None,2026-07-13,0,,3
Remove Prosciutto,None,2026-07-13,0,,2
Cri De Couer Pinot Noir - Bottle,Red Wine,2026-07-13,230.9,,2
Extra Mozzarella,Add-ons - Pizza,2026-07-13,6.88,,3
No Zucchini,None,2026-07-13,0,,2
Lemon,None,2026-07-13,0,,4
No Olives,None,2026-07-13,0,,4
Gluten-free Little Italy,Marilyna's Pizza,2026-07-13,28.18,,1
Add Pesto,Add-ons - Pizza,2026-07-13,2.73,,3
Large Little Italy,Marilyna's Pizza,2026-07-13,104.28,,6
Add Cherry Tomatoes,Add-ons - Pizza,2026-07-13,1.36,,1
"Large No Chorizo, No Cry",Marilyna's Pizza,2026-07-13,73.65,,4
Add Calabrese,Add-ons - Pizza,2026-07-13,7.28,,2
Regular Sanchez VEGAN [Dine-in],Dine-in Pizza,2026-07-13,24.41,,1
Make It A Burrito Bowl [gluten-free],None,2026-07-13,0,,8
Regular Meatlovers [Dine-in],Dine-in Pizza,2026-07-13,47.28,,2
No Burger Sauce,None,2026-07-13,0,,3
Sibiliana Nero D'Avola - Regular,Red Wine,2026-07-13,223.56,,13
Regular Uber Margherita [Dine-in],Dine-in Pizza,2026-07-13,163.9,,8
Sweet Potato Fries D,Delivery Kitchen,2026-07-13,25.46,,2
Add Garlic,Add-ons - Pizza,2026-07-13,6.8,,5
Orange Juice [mixer],None,2026-07-13,0,,1
Beef Burger D,Delivery Kitchen,2026-07-13,69.1,,3
No Aioli,None,2026-07-13,0,,2
Tommy's Margarita,Cocktails - Classic,2026-07-13,279.32,,16
Bubba Gump.,None,2026-07-13,0,,1
Tonic [mixer],None,2026-07-13,0,,10
New Yorker.,None,2026-07-13,0,,1
Scorched As,Cocktails - Signature,2026-07-13,353.44,,19
Unlimited Dumplings,Harry Gatos Food,2026-07-13,1854.69,,86
Jasmine Rice,Harry Gatos Food,2026-07-13,3.76,,1
BBQ Pork Buns,Harry Gatos Food,2026-07-13,13.64,,1
Online Surcharge,Add-ons - Pizza,2026-07-13,57.57,,48
Kids Fried Rice,Harry Gatos Food,2026-07-13,24.03,,2
Frozen Marg - Coconut,Cocktails - Classic,2026-07-13,50.19,,3
Chashu Pork Belly,None,2026-07-13,0,,3
Eggplant Parmy,Big Plates,2026-07-13,124.83,,6
Fancy Pants Parmy - Mexicali,Big Plates,2026-07-13,28.16,,1
Baked Camembert,Small Plates,2026-07-13,467.92,,22
Miso Ramen,Harry Gatos Food,2026-07-13,0,,1
Make it Vegetarian [plant-based patty],None,2026-07-13,3.76,,1
Make it Vegan [patty + cheese + bun],Add-ons - Kitchen,2026-07-13,4.7,,1
Geppetto Pinot Noir - Large Glass,Red Wine,2026-07-13,116.38,,5
$60 BANQUET,Marilyna's Pizza,2026-07-13,109.1,,2
Trutta Streamside Shiraz [Chilled] - Bottle,Red Wine,2026-07-13,63.84,,1
Status Quo - Pint,Tap Beer,2026-07-13,739.14,,46
Ottelia Chardonnay - Bottle,White Wine,2026-07-13,114.54,,2
Geppetto Pinot Noir - Regular,Red Wine,2026-07-13,391.89,,28
Kirin - Pint,Tap Beer,2026-07-13,395.26,,23
Kuku Sauvignon Blanc - Large,White Wine,2026-07-13,238.38,,11
Grifter Pale Ale Cans D,Delivery Alcohol,2026-07-13,6.36,,1
Villa Fresco Sangiovese - Bottle,Red Wine,2026-07-13,3.49,,1
Kuku Sauvignon Blanc - Regular,White Wine,2026-07-13,610.89,,47
Old Fashioned,Cocktails - Classic,2026-07-13,61.32,,3
Version Two Pinot Grigio - Large,White Wine,2026-07-13,246.94,,15
Buffalo Trace Bourbon [House],Whisky,2026-07-13,136.34,,14
Version Two Sparkling - Regular,Sparkling Wine,2026-07-13,287.07,,34
Coke 1.25L,Marilyna's Soft Drinks,2026-07-13,41.79,,8
Pornstar Martini,Cocktails - Classic,2026-07-13,13.2,,1
Amarretto Sour,Cocktails - Classic,2026-07-13,153.87,,8
Negroni,Cocktails - Classic,2026-07-13,540.83,,29
Hahn Super Dry GF,Bottles / Cans Alcoholic,2026-07-13,58.86,,6
Gin Martini,Cocktails - Classic,2026-07-13,76.65,,4
Sweet Potato Fries,Small Plates,2026-07-13,257.83,,23
Bombay Dry [House],Gin,2026-07-13,248.93,,28
No Beans,Modifiers,2026-07-13,0,,2
Fresh is Best Lager - Schooner,Tap Beer,2026-07-13,777.63,,99.7
Side Sour Cream,Add-ons - Kitchen,2026-07-13,1.88,,2
Quiet Riot Negroni,Cocktails - Signature,2026-07-13,87.84,,4
Lychee Martini,Cocktails - Classic,2026-07-13,208.81,,14
Flower Child,Cocktails - Signature,2026-07-13,301.61,,16
Classic Margarita,Cocktails - Classic,2026-07-13,1220.55,,75
Side Spicy Salsa,Add-ons - Kitchen,2026-07-13,3.73,,5
No Salt,None,2026-07-13,0,,12
Sour Cream,Add-ons - Pizza,2026-07-13,2.76,,3
No Ice,Modifiers,2026-07-13,0,,1
No Rice,Modifiers,2026-07-13,0,,2
Hakushu 12yr,Whisky,2026-07-13,67.2,,2
Chicken,Add-ons - Pizza,2026-07-13,11.28,,3
Soda [mixer],Modifiers,2026-07-13,0,,6
Vodka Martini,Cocktails - Classic,2026-07-13,121.32,,6
Fresh Lime Soda,Non-alcoholic,2026-07-13,107.98,,33
Jalapeño Marg,Cocktails - Classic,2026-07-13,993.38,,53
Pink Lemonade Glass,Non-alcoholic,2026-07-13,16.9,,4
No Lime,Modifiers,2026-07-13,0,,1
"Lemon, Lime & Bitters",Non-alcoholic,2026-07-13,146.47,,31
Better Beer Tin,Bottles / Cans Alcoholic,2026-07-13,30.86,,3
Das Juice Pink Pet Nat - Bottle,Pet Nat Wine,2026-07-13,244.48,,4
Two Bays Pale Ale Can,Bottles / Cans Alcoholic,2026-07-13,16.9,,1
Two Tonne Riesling - Bottle,White Wine,2026-07-13,70,,1
Monteith's Apple Cider Bottle,Bottles / Cans Alcoholic,2026-07-13,39.15,,4
Large Sorrento,Marilyna's Pizza,2026-07-13,125.47,,5
Four Pillars Bloody Shiraz Gin Tonica,Gin,2026-07-13,39.44,,2
Regular Vegetarian,Marilyna's Pizza,2026-07-13,77.29,,5
Archie Rose Signature Gin,Gin,2026-07-13,97.68,,8
2 Glasses,Modifiers,2026-07-13,0,,5
Patron Silver,Tequila,2026-07-13,27.28,,2
Gluten-free Margherita,Marilyna's Pizza,2026-07-13,20.91,,1
Sprite 1.25L,Marilyna's Soft Drinks,2026-07-13,0,,2
Buffalo Wings,Small Plates,2026-07-13,393.01,,24
Coke Can,Marilyna's Soft Drinks,2026-07-13,12.03,,4
No Sugar,Modifiers,2026-07-13,0,,2
Sprite Can,Marilyna's Soft Drinks,2026-07-13,10.92,,3
No Bocconcini,None,2026-07-13,0,,1
Philter XPA - Schooner,Tap Beer,2026-07-13,387.27,,39.7
No Mushroom,None,2026-07-13,0,,2
Sigurd GSM Red Blend - Bottle,Red Wine,2026-07-13,77,,1
Add Mushrooms,Add-ons - Pizza,2026-07-13,8.3,,6
Sigurd GSM Red Blend - Regular,Red Wine,2026-07-13,127.28,,7
Make it Gluten-free [gf/vg bun w sweet pot. fries],None,2026-07-13,1.88,,1
A. Rodda Chardonnay - Regular,White Wine,2026-07-13,76.35,,3
Dry Ginger Ale [mixer],None,2026-07-13,0,,1
Regular BBQ Chicken Pizza,Marilyna's Pizza,2026-07-13,41.36,,2
Cucumber,None,2026-07-13,0,,3
Regular Hawaiian,Marilyna's Pizza,2026-07-13,160.37,,9
Regular Hail Africa,Marilyna's Pizza,2026-07-13,96.56,,7
Gluten-free Sanchez,Marilyna's Pizza,2026-07-13,27.73,,1
"Regular No Chorizo, No Cry",Marilyna's Pizza,2026-07-13,140.01,,7
Large Vegetarian,Marilyna's Pizza,2026-07-13,18.18,,1
Regular Vegetarian [Dine-in],Dine-in Pizza,2026-07-13,16.36,,1
Brownie D,Delivery Kitchen,2026-07-13,21.82,,37
Bundaberg Ginger Beer D,Marilyna's Soft Drinks,2026-07-13,7.27,,1
No Ham,Modifiers,2026-07-13,0,,2
Delivery Fee - Freshwater / Queenscliff,Marilyna's Pizza,2026-07-13,49.4,,11
Extra Sauce,Add-ons - Bar,2026-07-13,0,,1
Pepsi [mixer],None,2026-07-13,0,,2
No Chipotle Mayo,None,2026-07-13,0,,2
Pepsi Max [mixer],None,2026-07-13,0,,3
Add Basil,Add-ons - Pizza,2026-07-13,1.82,,2
Grey Goose Vodka Martini,Cocktails - Classic,2026-07-13,25,,1
Add Olives,Add-ons - Pizza,2026-07-13,5.62,,4
Remove Sour Cream,None,2026-07-13,0,,1
Add Pumpkin,Add-ons - Pizza,2026-07-13,1.5,,1
Sanchez.,None,2026-07-13,0,,2
Add Ham,Add-ons - Pizza,2026-07-13,5.46,,2
Large Margherita Wings Deal,Marilyna's Pizza,2026-07-13,27.27,,1
Large Hail Africa,Marilyna's Pizza,2026-07-13,126.38,,6
Patron Silver Margarita,Cocktails - Classic,2026-07-13,112.7,,5
Large New Yorker,Marilyna's Pizza,2026-07-13,79.09,,4
Duck Spring Rolls,Harry Gatos Food,2026-07-13,15.03,,1
Regular Bubba Gump [Dine-in],Dine-in Pizza,2026-07-13,16.36,,1
Extra Marinated Tofu,Harry Gatos Food,2026-07-13,0.91,,1
Regular Super House Special [Dine-in],Dine-in Pizza,2026-07-13,56.36,,3
Axl Rose Pizza,Marilyna's Pizza,2026-07-13,82.65,,4
Unico Zelo Terra Cotta - Bottle,Orange / Skins Wine,2026-07-13,87.6,,2
Side BBQ Sauce,Add-ons - Kitchen,2026-07-13,0,,16
Gluten-free [remove Yorkshire],None,2026-07-13,0,,4
Swap Fries for Buffalo Wings & Blue Cheese Dip,None,2026-07-13,1.82,,1
Chicken Parmy D,Delivery Kitchen,2026-07-13,22.73,,1
Grifter Pale Ale 4-pack D,Delivery Alcohol,2026-07-13,36.36,,2
Eggplant Parmy D,Delivery Kitchen,2026-07-13,20,,1
Kuku Sauvignon Blanc D,Delivery Alcohol,2026-07-13,19.19,,1
Fish Tacos D,Delivery Kitchen,2026-07-13,32.72,,2
Villa Fresco Sangiovese - Regular,Red Wine,2026-07-13,697.34,,69.7
Add Jalapenos,Add-ons - Pizza,2026-07-13,3.66,,4
Balvenie 14 Year Caribbean Cask,Whisky,2026-07-13,80,,4
Peroni 0%,Non-alcoholic,2026-07-13,126.53,,15
Bang Bang Cauli,Small Plates,2026-07-13,252.31,,17
Year Wines Fiano - Regular,White Wine,2026-07-13,258.08,,15
Rocket Man,Salads,2026-07-13,187.87,,12
Super House Special.,None,2026-07-13,0,,2
Lime Wedge,Modifiers,2026-07-13,0,,1
Feast Deal Pizzas,Marilyna's Pizza,2026-07-13,204.55,,5
Young Henrys Cloudy Cider Can,Bottles / Cans Alcoholic,2026-07-13,23.27,,2
