Product Name,Product Quantity,$ Sales,Total Tax,Cost,% of Quantity,% of Sale Amount,Gross Profit %
Black Garlic Oil,1,$0.00,$0.00,$0.00,0%,0%,0%
Geppetto Chardonnay - Regular,1,$15.00,$1.36,$3.11,0%,0%,79%
Kids Mie Goreng,1,$13.00,$1.18,$0.00,0%,0%,0%
Tengumai Junmai - 60ml [SERVE WARM],1,$12.00,$1.09,$2.37,0%,0%,80%
Status Quo - Pint [HG],1,$17.50,$1.59,$0.00,0%,0%,0%
Swap for Tofu,1,$0.00,$0.00,$0.00,0%,0%,0%
Lemon Lime Bitters,1,$4.50,$0.41,$0.00,0%,0%,0%
Nuggets & Chips [HG],1,$13.00,$1.18,$0.00,0%,0%,0%
Virgin Margy,1,$13.00,$1.18,$0.00,0%,0%,0%
Tomato Sauce,1,$0.00,$0.00,$0.00,0%,0%,0%
Asahi Zero,1,$10.50,$0.95,$2.10,0%,0%,80%
From Sundays Shiraz - Regular,1,$15.00,$1.36,$2.80,0%,0%,81%
Dragon Soda,1,$9.00,$0.82,$0.00,0%,0%,0%
,320,"$3,985.17",$362.18,$543.98,100%,100%,86%
