Product Name,Product Quantity,$ Sales,Total Tax,Cost,% of Quantity,% of Sale Amount,Gross Profit %
Sapporo - 500ml,19,$306.00,$27.82,$72.19,6%,8%,76%
Lime,15,$0.00,$0.00,$0.00,5%,0%,0%
Edamame,11,$120.27,$10.93,$0.00,3%,3%,0%
Chicken Karaage,11,$170.00,$15.50,$0.00,3%,4%,0%
Dumplings - Prawn Har Gow [GF],10,$189.65,$17.27,$44.14,3%,5%,77%
River Retreat Pinot Grigio - Regular,9,$98.00,$8.91,$18.09,3%,2%,82%
Palloncino Prosecco - Regular,9,$98.00,$8.91,$20.70,3%,2%,79%
Dumplings - Veg Gyoza,9,$126.00,$11.43,$17.65,3%,3%,86%
Dry Ginger Ale,8,$0.00,$0.00,$0.00,3%,0%,0%
Shoyu,8,$200.10,$18.22,$0.00,3%,5%,0%
Azurescens Pinot Noir - Regular,8,$120.00,$10.88,$22.40,3%,3%,81%
Dumplings - Beef & Cabbage,8,$112.48,$10.20,$11.79,3%,3%,90%
BBQ Pork Buns,8,$120.00,$10.88,$28.00,3%,3%,77%
Devon's Prawn Toast,7,$110.40,$10.00,$27.22,2%,3%,75%
Popcorn Cauliflower,7,$105.51,$9.57,$6.85,2%,3%,94%
Chicken,7,$28.28,$2.56,$0.00,2%,1%,0%
Mie Goreng,7,$163.37,$14.84,$22.28,2%,4%,86%
Miso,7,$171.10,$15.58,$0.00,2%,4%,0%
Harry's Lager - Schooner,7,$54.00,$4.92,$11.69,2%,1%,78%
White Light Pure Vodka [House],6,$58.00,$5.27,$9.12,2%,1%,84%
Shredded Beef,6,$156.89,$14.24,$0.00,2%,4%,0%
Monkey Shoulder Scotch Whisky [House],6,$50.00,$4.55,$14.45,2%,1%,71%
Chicken Katsu Curry,6,$137.00,$12.45,$17.14,2%,3%,87%
1/2 Marinated Egg,6,$6.00,$0.54,$0.00,2%,0%,0%
Tonkotsu,5,$116.00,$10.56,$20.82,2%,3%,82%
Soda,4,$0.00,$0.00,$0.00,1%,0%,0%
GFO [GF Ramen Noodles],4,$9.00,$0.81,$0.00,1%,0%,0%
Classic Margarita,4,$61.00,$5.54,$13.06,1%,2%,79%
Lychee Martini,4,$71.00,$6.46,$12.56,1%,2%,82%
Fried Rice,4,$92.00,$8.36,$10.72,1%,2%,88%
Duck Spring Roll,4,$64.00,$5.80,$14.29,1%,2%,78%
Demon Slayer,3,$37.80,$3.44,$12.26,1%,1%,68%
Margato,3,$54.00,$4.91,$11.53,1%,1%,79%
Vegetarian Spring Rolls,3,$45.52,$4.13,$4.96,1%,1%,89%
Dragon Juice,3,$46.30,$4.21,$7.78,1%,1%,83%
Bombay Dry Gin [House],3,$21.00,$1.94,$6.47,1%,1%,69%
Mochi Trio,3,$39.00,$3.54,$0.00,1%,1%,0%
Harry's Lager - Pint,3,$30.50,$2.78,$6.72,1%,1%,78%
Chilli Bomb,3,$5.80,$0.52,$0.00,1%,0%,0%
Tonic,3,$0.00,$0.00,$2.41,1%,0%,
Drunken Koi,3,$63.00,$5.73,$7.96,1%,2%,87%
Fries [HG],3,$36.00,$3.27,$0.00,1%,1%,0%
Negroni,2,$34.00,$3.09,$9.53,1%,1%,72%
Dirty,2,$0.00,$0.00,$0.00,1%,0%,0%
Rice Pudding,2,$19.00,$1.72,$0.00,1%,0%,0%
Lemonade,2,$0.00,$0.00,$1.61,1%,0%,
Olive,2,$0.00,$0.00,$0.00,1%,0%,0%
Aioli,2,$0.00,$0.00,$0.00,1%,0%,0%
Vodka Martini [HG],2,$38.00,$3.46,$6.02,1%,1%,84%
Lemonade Glass,2,$9.00,$0.82,$0.00,1%,0%,0%
Aperol Spritz,2,$33.00,$3.00,$7.92,1%,1%,76%
Fried Egg,2,$8.00,$0.72,$0.00,1%,0%,0%
Seitan Katsu Curry [vegan],2,$54.00,$4.90,$1.80,1%,1%,97%
Ottelia Cab Sav - Regular,2,$36.00,$3.28,$9.46,1%,1%,74%
Extra Piece Prawn Toast,2,$10.00,$0.90,$0.00,1%,0%,0%
Buffalo Trace Bourbon Whisky [House],2,$22.00,$2.00,$4.61,1%,1%,79%
Lemon,2,$0.00,$0.00,$0.00,1%,0%,0%
Little Dragon Ginger Beer Can,1,$14.00,$1.27,$3.38,0%,0%,76%
Lemon Chu-hi,1,$12.00,$1.09,$1.52,0%,0%,87%
Manhattan - Dry [HG],1,$19.00,$1.73,$4.58,0%,0%,76%
Pepsi Max Glass,1,$4.50,$0.41,$1.31,0%,0%,71%
Extra Piece,1,$4.00,$0.36,$0.00,0%,0%,0%
Cosmo [HG],1,$19.00,$1.73,$3.09,0%,0%,84%
Jasmine Rice,1,$5.00,$0.45,$0.00,0%,0%,0%
Kids Miso,1,$13.00,$1.18,$0.00,0%,0%,0%
Swap for Tofu [Make it Vegan],1,$0.00,$0.00,$0.00,0%,0%,0%
Padrillos Malbec - Regular,1,$16.20,$1.48,$3.56,0%,0%,78%
