,Reporting Group Name,Sale Closed Hour of Day,Site Name,Sale Closed Date,Total Revenue,Gross Sale Ex Tax,Gross Sale Inc Tax
1,Small Plates,18,Stowaway Bar,2026-07-21,,$51.19,$56.30
2,Salads,18,Stowaway Bar,2026-07-21,,$16.36,$18.00
3,Mocktails,18,Stowaway Bar,2026-07-21,,$11.82,$13.00
4,Modifiers,20,Stowaway Bar,2026-07-21,,$0.00,$0.00
5,Cocktails - Signature,20,Stowaway Bar,2026-07-21,,$27.27,$30.00
6,Cocktails - Signature,19,Stowaway Bar,2026-07-21,,$54.56,$60.00
7,Cocktails - Signature,18,Stowaway Bar,2026-07-21,,$40.93,$45.00
8,None,18,Stowaway Bar,2026-07-21,,$0.00,$0.00
9,Dine-in Pizza,20,Stowaway Bar,2026-07-21,,$16.36,$18.00
10,Add-ons - Kitchen,19,Stowaway Bar,2026-07-21,,$1.80,$2.00
11,Cocktails - Classic,18,Stowaway Bar,2026-07-21,,$20.00,$22.00
12,Cocktails - Classic,20,Stowaway Bar,2026-07-21,,$20.91,$23.00
13,Non-alcoholic,18,Stowaway Bar,2026-07-21,,$18.18,$20.00
14,Tap Beer,16,Stowaway Bar,2026-07-21,,$56.34,$62.00
15,Red Wine,18,Stowaway Bar,2026-07-21,,$13.64,$15.00
16,Sparkling Wine,19,Stowaway Bar,2026-07-21,,$10.91,$12.00
17,Sparkling Wine,18,Stowaway Bar,2026-07-21,,$10.91,$12.00
18,Red Wine,19,Stowaway Bar,2026-07-21,,$51.38,$56.50
19,Delivery Kitchen,21,Stowaway Bar,2026-07-21,,$12.73,$14.00
20,Dine-in Pizza,16,Stowaway Bar,2026-07-21,,$32.72,$36.00
21,Rose Wine,18,Stowaway Bar,2026-07-21,,$21.81,$24.00
22,White Wine,16,Stowaway Bar,2026-07-21,,$21.62,$23.80
23,Marilyna's Pizza,21,Stowaway Bar,2026-07-21,,$100.00,$110.00
24,Marilyna's Pizza,18,Stowaway Bar,2026-07-21,,$227.28,$250.00
25,Cocktails - Signature,17,Stowaway Bar,2026-07-21,,$27.28,$30.00
26,Marilyna's Pizza,19,Stowaway Bar,2026-07-21,,$134.54,$148.00
27,Delivery Kitchen,19,Stowaway Bar,2026-07-21,,$11.82,$13.00
28,Delivery Kitchen,18,Stowaway Bar,2026-07-21,,$12.64,$13.90
29,Modifiers,17,Stowaway Bar,2026-07-21,,$0.00,$0.00
30,Cocktails - Classic,16,Stowaway Bar,2026-07-21,,$12.73,$14.00
31,Red Wine,20,Stowaway Bar,2026-07-21,,$98.19,$108.00
32,Rose Wine,19,Stowaway Bar,2026-07-21,,$10.91,$12.00
33,Sparkling Wine,16,Stowaway Bar,2026-07-21,,$31.80,$35.00
34,Amaro / Aperitif / Fortified Wine,18,Stowaway Bar,2026-07-21,,$21.82,$24.00
35,Small Plates,20,Stowaway Bar,2026-07-21,,$27.64,$30.40
36,Small Plates,19,Stowaway Bar,2026-07-21,,$55.29,$60.80
37,Marilyna's Pizza,17,Stowaway Bar,2026-07-21,,$124.55,$137.00
38,Dine-in Pizza,18,Stowaway Bar,2026-07-21,,$212.68,$234.00
39,Salads,19,Stowaway Bar,2026-07-21,,$16.36,$18.00
40,Add-ons - Pizza,18,Stowaway Bar,2026-07-21,,-$0.24,$0.86
41,Sparkling Wine,17,Stowaway Bar,2026-07-21,,$10.91,$12.00
42,Amaro / Aperitif / Fortified Wine,17,Stowaway Bar,2026-07-21,,$10.91,$12.00
43,Dine-in Pizza,17,Stowaway Bar,2026-07-21,,$130.89,$144.00
44,Add-ons - Kitchen,18,Stowaway Bar,2026-07-21,,$0.45,$0.50
45,Vodka,17,Stowaway Bar,2026-07-21,,$10.00,$11.00
46,Delivery Alcohol,20,Stowaway Bar,2026-07-21,,$25.46,$28.00
47,Add-ons - Pizza,19,Stowaway Bar,2026-07-21,,$3.96,$4.23
48,Cocktails - Classic,17,Stowaway Bar,2026-07-21,,$115.45,$127.00
49,Delivery Alcohol,19,Stowaway Bar,2026-07-21,,$6.36,$7.00
50,Tap Beer,17,Stowaway Bar,2026-07-21,,$88.66,$97.50
51,White Wine,17,Stowaway Bar,2026-07-21,,$38.19,$42.00
52,Add-ons - Bar,17,Stowaway Bar,2026-07-21,,$2.73,$3.00
53,Bottles / Cans Alcoholic,17,Stowaway Bar,2026-07-21,,$11.36,$12.50
54,Cocktails - Classic,19,Stowaway Bar,2026-07-21,,$119.99,$132.00
55,Tap Beer,18,Stowaway Bar,2026-07-21,,$126.40,$139.00
56,Tap Beer,19,Stowaway Bar,2026-07-21,,$80.94,$89.00
57,Tap Beer,20,Stowaway Bar,2026-07-21,,$41.80,$46.00
58,Add-ons - Bar,19,Stowaway Bar,2026-07-21,,$0.00,$0.00
59,Dine-in Pizza,19,Stowaway Bar,2026-07-21,,$98.16,$108.00
60,Vodka,18,Stowaway Bar,2026-07-21,,$20.00,$22.00
61,Whisky,18,Stowaway Bar,2026-07-21,,$21.82,$24.00
62,Modifiers,19,Stowaway Bar,2026-07-21,,$0.05,$0.05
63,White Wine,20,Stowaway Bar,2026-07-21,,$56.38,$62.00
64,White Wine,19,Stowaway Bar,2026-07-21,,$47.29,$52.00
65,White Wine,18,Stowaway Bar,2026-07-21,,$12.73,$14.00
66,Delivery Kitchen,17,Stowaway Bar,2026-07-21,,$11.82,$13.00
