Product Name,Product Quantity,$ Sales,Total Tax,Cost,% of Quantity,% of Sale Amount,Gross Profit %
Garlic Bread,4,$11.50,$1.04,$5.68,7%,1%,51%
Online Surcharge,3,$4.42,$0.00,$0.00,5%,0%,0%
Large Meatlovers,3,$31.00,$2.82,$20.87,5%,3%,33%
Regular El Patron [Dine-in],2,$53.70,$4.86,$7.28,3%,5%,86%
Regular New Yorker [Dine-in],2,$49.57,$4.50,$7.17,3%,5%,86%
Coke 1.25L,2,$14.00,$1.28,$7.38,3%,1%,47%
Gluten-free Super House Special,2,$48.00,$4.36,$19.93,3%,5%,58%
Regular Jimmy Jury [Dine-in],2,$54.00,$4.90,$6.67,3%,5%,88%
Regular Uber Margherita,2,$37.00,$3.36,$6.39,3%,4%,83%
Large Pepperoni,2,$56.00,$5.10,$9.13,3%,6%,84%
Gluten-free Meatlovers,2,$48.00,$4.36,$18.84,3%,5%,61%
WINGS DEAL,2,$60.00,$5.46,$0.00,3%,6%,0%
Large Vegetarian,2,$40.00,$3.64,$8.23,3%,4%,79%
Regular Truffalo Soldier [Dine-in],2,$52.85,$4.80,$6.54,3%,5%,88%
Regular Pepperoni,2,$44.00,$4.00,$4.26,3%,4%,90%
Coke Zero Can,2,$8.00,$0.73,$3.78,3%,1%,53%
Add Chilli,1,$1.00,$0.09,$0.00,2%,0%,0%
Large Tandoori Chicken,1,$25.00,$2.27,$3.21,2%,2%,87%
Regular Meatlovers,1,$19.50,$1.77,$4.98,2%,2%,74%
Add Basil,1,$1.03,$0.09,$0.00,2%,0%,0%
Sprite Can,1,$4.00,$0.36,$1.90,2%,0%,53%
Large Sanchez VEGAN,1,$31.00,$2.82,$4.22,2%,3%,86%
Large Super House Special,1,$30.00,$2.73,$7.72,2%,3%,74%
Large Paddock,1,$27.00,$2.45,$5.11,2%,3%,81%
Add Mushrooms,1,$1.70,$0.15,$0.00,2%,0%,0%
Regular BBQ Chicken Pizza,1,$24.50,$2.23,$2.99,2%,2%,88%
Under the Bridge Pizza,1,$26.00,$2.36,$4.08,2%,3%,84%
Regular Uber Margherita [Dine-in],1,$23.00,$2.09,$3.19,2%,2%,86%
Large Hawaiian,1,$20.00,$1.82,$3.26,2%,2%,84%
"Regular No Chorizo, No Cry [Dine-in]",1,$26.00,$2.36,$2.50,2%,3%,90%
Regular Jimmy Jury,1,$24.00,$2.17,$3.34,2%,2%,86%
Less Cheese,1,$0.00,$0.00,$0.00,2%,0%,0%
Large Hail Africa,1,$27.00,$2.45,$6.24,2%,3%,77%
Regular Margherita,1,$14.00,$1.27,$1.23,2%,1%,91%
Add Olives,1,$1.55,$0.15,$0.00,2%,0%,0%
Regular Hawaiian,1,$22.00,$2.00,$1.25,2%,2%,94%
Regular Sanchez [Dine-in],1,$26.85,$2.44,$3.39,2%,3%,87%
Add Calabrese,1,$4.00,$0.36,$0.00,2%,0%,0%
Regular Tandoori Chicken,1,$24.00,$2.18,$2.30,2%,2%,90%
,59,"$1,015.17",$91.82,$193.04,100%,100%,81%
