Product Name,Product Quantity,$ Sales,Total Tax,Cost,% of Quantity,% of Sale Amount,Gross Profit %
Chicken,8,$31.10,$2.80,$0.00,7%,2%,0%
Mie Goreng,8,$184.70,$16.78,$25.46,7%,10%,86%
Devon's Prawn Toast,7,$112.00,$10.16,$27.22,6%,6%,76%
Dumplings - Prawn Har Gow [GF],6,$113.00,$10.28,$26.48,5%,6%,77%
Sapporo - 500ml,5,$80.85,$7.35,$19.00,4%,4%,77%
Unlimited BBQ,4,$180.00,$16.36,$34.34,3%,10%,81%
Tonkotsu,4,$95.80,$8.71,$16.66,3%,5%,83%
Geppetto Chardonnay - Regular,4,$60.00,$5.44,$14.52,3%,3%,76%
Duck Spring Roll,4,$64.00,$5.80,$14.29,3%,3%,78%
Edamame,4,$44.00,$4.00,$0.00,3%,2%,0%
Harry's Lager - Schooner,4,$33.00,$3.00,$6.68,3%,2%,80%
Shredded Beef,3,$78.00,$7.08,$0.00,2%,4%,0%
Crouching Tiger,3,$63.00,$5.73,$12.60,2%,3%,80%
Pepsi Max Glass,3,$13.50,$1.23,$3.93,2%,1%,71%
Octopus Karaage,3,$54.00,$4.92,$0.00,2%,3%,0%
Fried Rice,3,$70.00,$6.36,$8.04,2%,4%,89%
BBQ Pork Buns,2,$30.00,$2.72,$7.00,2%,2%,77%
Chicken Katsu Curry,2,$54.00,$4.90,$5.71,2%,3%,89%
Chilli Bomb,2,$4.00,$0.36,$0.00,2%,0%,0%
Popcorn Cauliflower,2,$28.50,$2.58,$1.96,2%,2%,93%
Mochi Trio,2,$26.00,$2.36,$0.00,2%,1%,0%
Apple Juice Glass,2,$8.00,$0.72,$0.00,2%,0%,0%
Angas & Bremer Rosé - Regular,2,$14.00,$1.28,$3.86,2%,1%,72%
Tofu,2,$7.00,$0.64,$0.00,2%,0%,0%
Dumplings - Veg Gyoza,2,$26.60,$2.41,$3.92,2%,1%,85%
1/2 Marinated Egg,2,$4.00,$0.36,$0.00,2%,0%,0%
Open Price,2,$0.00,$0.00,$0.00,2%,0%,0%
Aperol Spritz,2,$38.00,$3.46,$7.92,2%,2%,79%
Dumplings - Beef & Cabbage,2,$28.00,$2.54,$2.95,2%,2%,89%
Harry's Lager - Pint,1,$9.00,$0.82,$2.24,1%,0%,75%
Sensei Highball,1,$12.00,$1.09,$1.30,1%,1%,89%
Jasmine Rice,1,$4.50,$0.42,$0.00,1%,0%,0%
Chicken Karaage,1,$17.00,$1.55,$0.00,1%,1%,0%
Padrillos Malbec - Regular,1,$18.00,$1.65,$3.56,1%,1%,80%
Extra Piece Prawn Toast,1,$5.00,$0.45,$0.00,1%,0%,0%
Carafe Sparkling Water,1,$5.00,$0.45,$0.00,1%,0%,0%
Lime,1,$0.00,$0.00,$0.00,1%,0%,0%
Bombay Dry Gin [House],1,$11.00,$1.00,$2.20,1%,1%,80%
Shoyu,1,$29.00,$2.64,$0.00,1%,2%,0%
Drunken Koi,1,$21.00,$1.91,$2.65,1%,1%,87%
Margato,1,$20.00,$1.82,$3.90,1%,1%,80%
Birdseye Chilli Marg,1,$21.00,$1.91,$3.26,1%,1%,84%
L'esprit Rosé - Regular,1,$16.00,$1.45,$3.60,1%,1%,78%
Tonic,1,$0.00,$0.00,$0.80,1%,0%,
Ottelia Cab Sav - Bottle,1,$73.00,$6.64,$23.65,1%,4%,68%
2 Glasses,1,$0.00,$0.00,$0.00,1%,0%,0%
Sapporo - Schooner,1,$13.00,$1.18,$3.23,1%,1%,75%
Corn,1,$1.00,$0.09,$0.00,1%,0%,0%
Yuzu Orange Soda,1,$9.00,$0.82,$0.00,1%,0%,0%
Nuggets & Chips [HG],1,$13.00,$1.18,$0.00,1%,1%,0%
Potato Salad,1,$7.00,$0.64,$0.00,1%,0%,100%
Dragon Juice,1,$17.00,$1.55,$2.59,1%,1%,85%
,122,"$1,866.55",$169.59,$295.52,100%,100%,84%
