Position,Product Number,Product,Quantity,Percent of Quantity,Sale Amount,Percent of Sale Amount,Cost,Percent of Gross Profit
6,,Garlic Bread,12,3,51,1,17.04,67
12,,Online Surcharge,9,2,10.61,0,0,100
26,,Regular Hawaiian,4,1,70,1,4.99,93
27,,Regular Little Italy [Dine-in],4,1,95.32,2,19.22,80
34,,Large Cosmopolitan,3,1,57,1,20.28,64
37,,Large Pepperoni,3,1,40,1,13.69,66
38,,Large Meatlovers,3,1,90,1,21.75,76
39,,Cheesy Garlic Bread,3,1,20,0,5.32,73
40,,Regular Little Italy,3,1,69,1,14.41,79
42,,Large Super House Special,3,1,88,1,22.14,75
45,,Large BBQ Chicken Pizza,3,1,91.5,1,13.99,85
54,,Regular Jimmy Jury [Dine-in],2,0,55.8,1,6.67,88
55,,Regular Meatlovers,2,0,50,1,10.38,79
56,,Delivery Fee - Freshwater / Queenscliff,2,0,9.31,0,0,100
58,,Large Margherita,2,0,46,1,4.59,90
61,,Regular Super House Special,2,0,48,1,10.57,78
63,,Large Hawaiian,2,0,28,0,6.53,77
67,,WINGS DEAL,2,0,60,1,0,100
74,,Large Little Italy,2,0,54,1,17.16,68
79,,Large New Yorker,1,0,27,0,5.01,81
80,,Regular BBQ Chicken Pizza,1,0,24.5,0,3.34,86
81,,Solo 1.25L,1,0,0,0,3.55,0
83,,Gluten-free Vegetarian,1,0,21,0,7.8,63
86,,Add Jalapenos,1,0,1.5,0,0,100
87,,Add Prawns,1,0,4,0,0,100
89,,Coke 1.25L,1,0,7,0,3.69,47
90,,Gluten-free Pepperoni,1,0,21,0,7.37,65
93,,Large Bubba Gump,1,0,32,1,5.8,82
96,,"Large No Chorizo, No Cry",1,0,0,0,6.31,0
98,,Regular El Patron [Dine-in],1,0,26,0,3.64,86
99,,Fellr Watermelon Seltzer Seltzer D,1,0,0,0,3.41,0
100,,Add BBQ Sauce,1,0,1.5,0,0,100
101,,Large Truffalo Soldier,1,0,0,0,4.56,0
103,,Regular Uber Margherita,1,0,21,0,3.19,85
104,,Add Pineapple,1,0,1.5,0,0,100
106,,Online Discount,1,0,-25,-0,0,-100
111,,Large Vegetarian,1,0,20,0,4.11,79
112,,Large Paddock,1,0,27,0,5.28,80
114,,Coke Zero 1.25L,1,0,6,0,4.27,29
115,,Large Tandoori Chicken,1,0,25,0,3.3,87
116,,Add Corn,1,0,1.5,0,0,100
118,,Regular Tandoori Chicken,1,0,24,0,2.36,90
120,,Large Jimmy Jury,1,0,30,0,6.19,79
121,,Regular Garlic Cheese Pizza,1,0,9,0,1.39,85
123,,Gluten-free Roma Special,1,0,30,0,8.55,71
129,,Large El Patron,1,0,27,0,5.85,78
131,,Regular Paddock,1,0,23,0,3.28,86
134,,Online Delivery Fee,1,0,5.95,0,0,100
135,,Regular Margherita,1,0,17,0,1.23,93
136,,Regular Hail Africa,1,0,23,0,2.91,87
139,,Regular Cosmopolitan,1,0,26,0,4.84,81
144,,Add Calabrese,1,0,4,0,0,100
147,,Add Prosciutto,1,0,4,0,0,100
148,,Add Chilli,1,0,1,0,0,100
151,,Add Anchovies,1,0,2,0,0,100
158,,Large Sanchez,1,0,31,1,5.49,82
159,,Regular Sanchez [Dine-in],1,0,26.85,0,3.39,87
162,,Vegan Cheese [Pizza],1,0,3,0,0,100
163,,Regular No Chorizo No Cry Solo Combo,1,0,25,0,2.91,88
