,Reporting Group Name,Sale Closed Hour of Day,Site Name,Sale Closed Date,Total Revenue,Gross Sale Ex Tax,Gross Sale Inc Tax
1,Add-ons - Kitchen,17,Stowaway Bar,2026-07-18,,$12.71,$14.00
2,Whisky,12,Stowaway Bar,2026-07-18,,$10.91,$12.00
3,Liqueurs,20,Stowaway Bar,2026-07-18,,$40.00,$44.00
4,Non-alcoholic,20,Stowaway Bar,2026-07-18,,$15.46,$17.00
5,Non-alcoholic,16,Stowaway Bar,2026-07-18,,$28.63,$31.50
6,White Wine,17,Stowaway Bar,2026-07-18,,$155.91,$171.50
7,Red Wine,16,Stowaway Bar,2026-07-18,,$72.75,$80.00
8,Rose Wine,18,Stowaway Bar,2026-07-18,,$96.38,$106.00
9,Rose Wine,15,Stowaway Bar,2026-07-18,,$78.18,$86.00
10,Delivery Kitchen,18,Stowaway Bar,2026-07-18,,$99.56,$109.50
11,Marilyna's Pizza,20,Stowaway Bar,2026-07-18,,$95.00,$104.50
12,Add-ons - Kitchen,12,Stowaway Bar,2026-07-18,,$20.02,$22.00
13,Delivery Kitchen,20,Stowaway Bar,2026-07-18,,$18.18,$20.00
14,Cocktails - Classic,13,Stowaway Bar,2026-07-18,,$54.56,$60.00
15,Sparkling Wine,13,Stowaway Bar,2026-07-18,,$12.72,$14.00
16,Delivery Alcohol,21,Stowaway Bar,2026-07-18,,$25.45,$28.00
17,Big Plates,19,Stowaway Bar,2026-07-18,,$180.43,$198.50
18,Big Plates,18,Stowaway Bar,2026-07-18,,$364.15,$400.60
19,Salads,19,Stowaway Bar,2026-07-18,,$16.36,$18.00
20,Mocktails,17,Stowaway Bar,2026-07-18,,$25.46,$28.00
21,Red Wine,15,Stowaway Bar,2026-07-18,,$82.73,$91.00
22,Red Wine,22,Stowaway Bar,2026-07-18,,$31.82,$35.00
23,Delivery Kitchen,16,Stowaway Bar,2026-07-18,,$55.01,$60.50
24,Add-ons - Kitchen,14,Stowaway Bar,2026-07-18,,$20.44,$22.50
25,Add-ons - Pizza,18,Stowaway Bar,2026-07-18,,$6.75,$7.11
26,Add-ons - Pizza,14,Stowaway Bar,2026-07-18,,$3.64,$4.00
27,Tap Beer,17,Stowaway Bar,2026-07-18,,$511.83,$563.00
28,Harry Gatos Food,16,Stowaway Bar,2026-07-18,,$11.82,$13.00
29,Non-alcoholic,15,Stowaway Bar,2026-07-18,,$40.90,$45.00
30,Cocktails - Classic,16,Stowaway Bar,2026-07-18,,$135.45,$149.00
31,Small Plates,18,Stowaway Bar,2026-07-18,,$200.09,$220.10
32,Small Plates,14,Stowaway Bar,2026-07-18,,$147.48,$162.20
33,Small Plates,15,Stowaway Bar,2026-07-18,,$35.29,$38.80
34,Big Plates,13,Stowaway Bar,2026-07-18,,$42.63,$46.90
35,Kids Meals,15,Stowaway Bar,2026-07-18,,$9.10,$10.00
36,None,20,Stowaway Bar,2026-07-18,,$4.55,$5.00
37,Gin,20,Stowaway Bar,2026-07-18,,$11.82,$13.00
38,Gin,18,Stowaway Bar,2026-07-18,,$10.00,$11.00
39,Modifiers,14,Stowaway Bar,2026-07-18,,$0.00,$0.00
40,Dine-in Pizza,21,Stowaway Bar,2026-07-18,,$24.55,$27.00
41,Add-ons - Kitchen,19,Stowaway Bar,2026-07-18,,$7.22,$8.00
42,Tequila,13,Stowaway Bar,2026-07-18,,$27.28,$30.00
43,Cocktails - Signature,15,Stowaway Bar,2026-07-18,,$84.56,$93.00
44,Cocktails - Signature,20,Stowaway Bar,2026-07-18,,$111.82,$123.00
45,Rum,19,Stowaway Bar,2026-07-18,,$20.00,$22.00
46,Modifiers,18,Stowaway Bar,2026-07-18,,$0.00,$0.00
47,Salads,16,Stowaway Bar,2026-07-18,,$16.36,$18.00
48,Cocktails - Classic,14,Stowaway Bar,2026-07-18,,$129.12,$142.00
49,Modifiers,20,Stowaway Bar,2026-07-18,,$0.00,$0.00
50,Modifiers,19,Stowaway Bar,2026-07-18,,$0.00,$0.00
51,Gin,19,Stowaway Bar,2026-07-18,,$38.19,$42.00
52,Vodka,20,Stowaway Bar,2026-07-18,,$60.01,$66.00
53,Vodka,19,Stowaway Bar,2026-07-18,,$20.00,$22.00
54,Vodka,18,Stowaway Bar,2026-07-18,,$10.00,$11.00
55,Vodka,14,Stowaway Bar,2026-07-18,,$6.36,$7.00
56,White Wine,15,Stowaway Bar,2026-07-18,,$112.73,$124.00
57,Add-ons - Kitchen,23,Stowaway Bar,2026-07-18,,$3.64,$4.00
58,Dine-in Pizza,19,Stowaway Bar,2026-07-18,,$44.57,$49.00
59,Tap Beer,14,Stowaway Bar,2026-07-18,,$192.59,$211.90
60,Cocktails - Classic,19,Stowaway Bar,2026-07-18,,$206.37,$227.00
61,Bottles / Cans Alcoholic,20,Stowaway Bar,2026-07-18,,$24.09,$26.50
62,Bottles / Cans Alcoholic,19,Stowaway Bar,2026-07-18,,$24.09,$26.50
63,Add-ons - Kitchen,15,Stowaway Bar,2026-07-18,,$0.44,$0.50
64,None,23,Stowaway Bar,2026-07-18,,$3.64,$4.00
65,Kitchen Specials,14,Stowaway Bar,2026-07-18,,$36.27,$39.90
66,White Wine,14,Stowaway Bar,2026-07-18,,$139.98,$154.00
67,Cocktails - Signature,13,Stowaway Bar,2026-07-18,,$50.92,$56.00
68,Red Wine,19,Stowaway Bar,2026-07-18,,$70.91,$78.00
69,Small Plates,17,Stowaway Bar,2026-07-18,,$257.81,$283.60
70,Vodka,15,Stowaway Bar,2026-07-18,,$10.00,$11.00
71,Whisky,22,Stowaway Bar,2026-07-18,,$40.00,$44.00
72,Non-alcoholic,19,Stowaway Bar,2026-07-18,,$15.00,$16.50
73,Non-alcoholic,18,Stowaway Bar,2026-07-18,,$37.73,$41.50
74,Marilyna's Soft Drinks,17,Stowaway Bar,2026-07-18,,$7.28,$8.00
