Product Name,Product Quantity,$ Sales,Total Tax,Cost,% of Quantity,% of Sale Amount,Gross Profit %
Version Two Pinot Grigio - Regular,31.7,$260.30,$23.73,$56.00,3%,2%,78%
Mulled Wine,30,$456.35,$41.32,$61.13,3%,3%,87%
Online Surcharge,30,$37.93,$0.00,$0.00,3%,0%,0%
Fresh is Best Lager - Pint,26,$278.94,$25.44,$63.73,2%,2%,77%
Fresh is Best Lager - Schooner,24,$199.16,$18.12,$43.86,2%,1%,78%
Philter XPA - Schooner,22,$213.26,$19.48,$49.20,2%,1%,77%
Philter XPA - Pint,21,$252.55,$22.93,$62.99,2%,2%,75%
Classic Margarita,21,$335.32,$30.46,$85.55,2%,2%,74%
White Light Pure Vodka [House],19,$188.26,$17.13,$28.86,2%,1%,85%
Guinness Draught - Pint,18,$312.07,$28.35,$84.75,2%,2%,73%
Stone & Wood - Pint,16,$276.53,$25.21,$69.68,1%,2%,75%
Fresh is Best Summer Lager - Schooner,15,$113.43,$10.32,$23.82,1%,1%,79%
Tommy's Margarita,15,$317.09,$28.81,$74.59,1%,2%,76%
Grifter Pale - Pint,14,$199.50,$18.09,$46.61,1%,1%,77%
Stone & Wood - Schooner,14,$185.39,$16.83,$45.46,1%,1%,75%
Geppetto Pinot Noir - Regular,12,$180.95,$16.39,$42.15,1%,1%,77%
Grifter Pale - Schooner,12,$121.51,$11.10,$29.79,1%,1%,75%
Flower Child,11,$240.13,$21.83,$31.50,1%,1%,87%
Rosemary Salted Fries,11,$145.27,$13.14,$20.41,1%,1%,86%
Side Aioli,11,$5.66,$0.62,$0.00,1%,0%,0%
BBQ Wings D,11,$112.00,$10.15,$34.55,1%,1%,69%
Large Super House Special,11,$266.00,$24.20,$84.93,1%,2%,68%
Trentham Estate Rosé - Regular,11,$93.24,$8.50,$23.21,1%,1%,75%
Casa Gheller Prosecco - Glass,11,$177.06,$16.05,$36.81,1%,1%,79%
Villa Fresco Sangiovese - Regular,10.4,$91.25,$8.31,$25.08,1%,1%,73%
Arancini Balls [5pc],10,$224.06,$20.37,$0.00,1%,1%,0%
Jalapeño Marg,10,$167.76,$15.21,$8.10,1%,1%,95%
Fish Tacos,10,$205.29,$18.68,$21.85,1%,1%,89%
Status Quo - Schooner,10,$135.00,$12.30,$31.04,1%,1%,77%
On The Rocks,10,$0.00,$0.00,$0.00,1%,0%,0%
Version Two Sparkling - Regular,10,$75.23,$6.87,$17.67,1%,0%,77%
Beef Cheek,9,$366.96,$33.39,$0.00,1%,2%,0%
Kirin - Schooner,9,$125.99,$11.44,$33.78,1%,1%,73%
Garlic Bread,9,$24.50,$2.22,$12.78,1%,0%,48%
Online Discount,9,-$88.50,$0.00,$0.00,1%,-1%,0%
Brownie D,9,$13.00,$1.18,$17.52,1%,0%,-35%
Sweet Potato Fries,8,$106.99,$9.71,$20.22,1%,1%,81%
Ottelia Chardonnay - Regular,7,$112.00,$10.16,$24.21,1%,1%,78%
Buffalo Wings D,7,$113.50,$10.30,$27.31,1%,1%,76%
Large Hawaiian,7,$152.00,$13.84,$22.84,1%,1%,85%
Hendrick's Gin,7,$98.46,$8.93,$18.81,1%,1%,81%
Kirin - Pint,7,$130.75,$11.87,$35.24,1%,1%,73%
Large Margherita,7,$152.00,$13.82,$16.08,1%,1%,89%
Status Quo - Pint,7,$122.50,$11.13,$29.14,1%,1%,76%
Cheesy Garlic Bread,7,$52.00,$4.75,$12.41,1%,0%,76%
Side Tomato Sauce,7,$0.00,$0.00,$0.00,1%,0%,0%
Soda [mixer],7,$0.00,$0.00,$0.00,1%,0%,0%
Fancy Pants Parmy - Classic,6,$178.80,$16.30,$48.63,1%,1%,73%
Baked Camembert,6,$154.33,$13.99,$0.00,1%,1%,0%
Regular Pepperoni,6,$90.00,$8.16,$12.77,1%,1%,86%
Lychee Martini,6,$110.63,$10.06,$21.74,1%,1%,80%
Beetle Juice,6,$136.32,$12.40,$22.02,1%,1%,84%
Kuku Sauvignon Blanc - Regular,6,$83.04,$7.53,$17.49,1%,1%,79%
Large Pepperoni,6,$116.00,$10.56,$27.39,1%,1%,76%
Beef Burger D,6,$144.00,$13.08,$0.00,1%,1%,0%
Regular Little Italy [Dine-in],6,$161.19,$14.63,$28.83,1%,1%,82%
Unico Zelo Terra Cotta - Regular,6,$114.00,$10.38,$26.27,1%,1%,77%
Bombay Dry [House],6,$54.00,$4.92,$12.71,1%,0%,76%
Aperol Spritz,6,$116.43,$10.59,$21.32,1%,1%,82%
Beef Burrito,6,$129.05,$11.73,$40.63,1%,1%,69%
Add Anchovies,6,$12.00,$1.08,$0.00,1%,0%,0%
Filthy,5,$0.00,$0.00,$0.00,0%,0%,0%
Petits Detours Rosé - Regular,5,$80.53,$7.30,$17.39,0%,0%,78%
Large Bubba Gump,5,$120.00,$10.91,$27.67,0%,1%,77%
Ottelia Cab Sav - Regular,5,$83.85,$7.64,$23.04,0%,1%,73%
Negroni,5,$107.76,$9.80,$19.35,0%,1%,82%
Regular Hawaiian,5,$89.00,$8.08,$6.24,0%,1%,93%
Vodka Martini,5,$110.00,$10.00,$15.04,0%,1%,86%
Coconut Margarita,5,$103.57,$9.40,$20.74,0%,1%,80%
Buffalo Wings,5,$89.21,$8.10,$19.51,0%,1%,78%
Espresso Martini,5,$101.96,$9.28,$16.18,0%,1%,84%
Mother's Milk Shiraz - Regular,5,$75.00,$6.80,$16.08,0%,0%,79%
Large Meatlovers,4,$121.00,$11.01,$27.82,0%,1%,77%
WINGS DEAL,4,$120.00,$10.92,$0.00,0%,1%,0%
Lemon Meringue Martini,4,$96.00,$8.72,$14.03,0%,1%,85%
2 Glasses,4,$0.00,$0.00,$0.00,0%,0%,0%
Das Juice Pink Pet Nat - Regular,4,$65.58,$5.95,$13.20,0%,0%,80%
Amalfi Olives,4,$47.14,$4.30,$0.00,0%,0%,0%
Sibiliana Nero D'Avola - Regular,4,$72.59,$6.61,$13.07,0%,0%,82%
Chicken Burrito,4,$118.48,$10.79,$27.19,0%,1%,77%
Version Two Pinot Grigio - Large,4,$67.24,$6.12,$11.78,0%,0%,82%
Biscoff Espresso,4,$95.03,$8.64,$13.01,0%,1%,86%
Lime,4,$0.00,$0.00,$0.00,0%,0%,0%
Regular Cosmopolitan,4,$91.00,$8.26,$18.93,0%,1%,79%
Extra Olives,4,$0.00,$0.00,$0.00,0%,0%,0%
Add Chilli,4,$4.00,$0.36,$0.00,0%,0%,0%
Sensei Calamari,4,$79.94,$7.26,$9.22,0%,0%,88%
Large Sorrento,4,$111.00,$10.09,$28.69,0%,1%,74%
No Salt,4,$0.00,$0.00,$0.00,0%,0%,0%
"Lemon, Lime & Bitters",4,$20.49,$1.84,$0.00,0%,0%,0%
Fresh Lime Soda,4,$14.36,$1.31,$0.00,0%,0%,0%
Campari,4,$40.00,$3.64,$6.69,0%,0%,83%
Heaps Normal Tin,4,$45.45,$4.12,$10.68,0%,0%,77%
Regular Margherita,4,$62.00,$5.64,$4.92,0%,0%,92%
Olive,4,$0.00,$0.00,$0.00,0%,0%,0%
American Standard Burger,3,$65.44,$5.96,$17.53,0%,0%,73%
Corona,3,$32.19,$2.92,$7.73,0%,0%,76%
Glass of Ice on the Side,3,$0.00,$0.00,$0.00,0%,0%,0%
