Product Name,Product Quantity,$ Sales,Total Tax,Cost,% of Quantity,% of Sale Amount,Gross Profit %
Stone & Wood - Pint,27,$456.16,$41.60,$117.57,3%,3%,74%
Grifter Pale - Pint,23,$257.32,$23.39,$76.58,2%,2%,70%
Stone & Wood - Schooner,23,$301.56,$27.36,$74.67,2%,2%,75%
Fresh is Best Lager - Schooner,23,$183.02,$16.61,$42.05,2%,1%,77%
Guinness Draught - Pint,22,$386.14,$35.09,$103.80,2%,3%,73%
Version Two Pinot Grigio - Regular,18,$181.39,$16.50,$31.80,2%,1%,82%
American Standard Burger,18,$415.46,$37.84,$105.19,2%,3%,75%
Classic Margarita,18,$327.29,$29.76,$72.44,2%,2%,78%
Mulled Wine,17,$258.92,$23.46,$35.13,2%,2%,86%
White Light Pure Vodka [House],16,$173.08,$15.73,$24.31,2%,1%,86%
Mother's Milk Shiraz - Regular,16,$239.48,$21.70,$51.46,2%,2%,79%
Kirin - Schooner,16,$224.00,$20.32,$60.11,2%,2%,73%
Petits Detours Rosé - Regular,15,$238.40,$21.60,$52.45,2%,2%,78%
Side Aioli,14,$6.68,$0.73,$0.00,1%,0%,0%
$2 Buffalo Wing,14,$28.27,$2.58,$6.83,1%,0%,76%
Rosemary Salted Fries,12,$144.85,$13.12,$22.26,1%,1%,85%
Status Quo - Schooner,12,$161.53,$14.72,$37.25,1%,1%,77%
Online Surcharge,11,$13.05,$0.00,$0.00,1%,0%,0%
Trentham Estate Rosé - Regular,11,$99.51,$9.08,$23.21,1%,1%,77%
Fresh is Best Lager - Pint,11,$134.41,$12.26,$26.97,1%,1%,80%
Sweet Potato Fries,11,$146.85,$13.32,$27.81,1%,1%,81%
Villa Fresco Sangiovese - Regular,11,$133.58,$12.14,$26.53,1%,1%,80%
Side Tomato Sauce,10,$0.00,$0.00,$0.00,1%,0%,0%
Jalapeño Marg,10,$211.79,$19.23,$7.61,1%,2%,96%
Kuku Sauvignon Blanc - Regular,9,$126.46,$11.47,$26.23,1%,1%,79%
Espresso Martini,9,$163.78,$14.90,$29.12,1%,1%,82%
Fresh Lime Soda,9,$30.97,$2.83,$0.00,1%,0%,0%
"Lemon, Lime & Bitters",8,$41.32,$3.73,$0.00,1%,0%,0%
Philter XPA - Schooner,8,$73.40,$6.73,$17.89,1%,1%,76%
Sensei Calamari,8,$160.52,$14.58,$18.44,1%,1%,89%
Arancini Balls [5pc],8,$180.23,$16.40,$0.00,1%,1%,0%
Garlic Bread,8,$38.27,$3.46,$11.36,1%,0%,70%
Chicken Shindig Burger,7,$146.77,$13.36,$33.37,1%,1%,77%
Brownie D,7,$0.00,$0.00,$13.63,1%,0%,
Fancy Pants Parmy - Classic,7,$208.72,$19.02,$56.74,1%,2%,73%
Baked Camembert,7,$152.67,$13.85,$0.00,1%,1%,0%
$2 BBQ Wing,7,$14.45,$1.29,$2.75,1%,0%,81%
Version Two Sparkling - Regular,6,$63.18,$5.74,$10.60,1%,0%,83%
Sigurd GSM Red Blend - Regular,6,$119.38,$10.87,$27.72,1%,1%,77%
Aperol Spritz,6,$97.77,$8.89,$21.32,1%,1%,78%
Grifter Pale - Schooner,6,$57.50,$5.25,$14.89,1%,0%,74%
Fish Tacos,6,$115.62,$10.51,$13.11,1%,1%,89%
Buffalo Wings,6,$107.86,$9.80,$23.41,1%,1%,78%
Chicken Burrito,6,$168.01,$15.29,$40.79,1%,1%,76%
Scorched As,5,$99.44,$9.04,$21.33,1%,1%,79%
Flower Child,5,$104.00,$9.45,$14.53,1%,1%,86%
No Salt,5,$0.00,$0.00,$0.00,1%,0%,0%
Coconut Margarita,5,$103.87,$9.43,$20.51,1%,1%,80%
Lychee Martini,5,$95.97,$8.73,$18.12,1%,1%,81%
Geppetto Pinot Noir - Regular,5,$76.97,$6.97,$17.56,1%,1%,77%
Large Super House Special,5,$148.00,$13.47,$38.60,1%,1%,74%
Bang Bang Cauli,5,$68.57,$6.25,$13.81,1%,1%,80%
Side Gravy,5,$6.10,$0.58,$1.69,1%,0%,72%
Crankshaft IPA - Pint,5,$88.64,$8.05,$19.56,1%,1%,78%
BBQ Wings,5,$86.17,$7.85,$15.71,1%,1%,82%
BBQ Wings D,5,$64.00,$5.80,$15.71,1%,0%,75%
Philter XPA - Pint,5,$50.44,$4.60,$15.00,1%,0%,70%
Trutta Streamside Shiraz [Chilled] - Regular,5,$92.95,$8.47,$18.70,1%,1%,80%
Philter Red - Schooner,4.4,$0.00,$0.00,$11.15,0%,0%,
Onion Rings,4,$49.18,$4.46,$0.00,0%,0%,0%
Biscoff Espresso,4,$94.27,$8.57,$13.01,0%,1%,86%
Amalfi Olives,4,$47.14,$4.31,$0.00,0%,0%,0%
Side BBQ Sauce,4,$0.00,$0.00,$0.00,0%,0%,0%
Large BBQ Chicken Pizza,4,$61.00,$5.54,$16.68,0%,0%,73%
Baileys Irish Cream,4,$44.00,$4.00,$6.60,0%,0%,85%
Balvenie 14 Year Caribbean Cask,4,$88.00,$8.00,$22.02,0%,1%,75%
Regular Sanchez [Dine-in],4,$106.57,$9.68,$13.57,0%,1%,87%
Kuku Sauvignon Blanc - Large,4,$95.03,$8.64,$19.43,0%,1%,80%
Lemon,4,$0.00,$0.00,$0.00,0%,0%,0%
Buffalo Wings D,4,$65.00,$5.90,$15.61,0%,0%,76%
Version Two Pinot Grigio - Large,4,$76.64,$6.98,$11.78,0%,1%,85%
On The Rocks,4,$0.00,$0.00,$0.00,0%,0%,0%
Guinness Draught - Schooner,4,$51.74,$4.70,$14.07,0%,0%,73%
Lepinja Bread,4,$41.31,$3.76,$0.00,0%,0%,0%
Mezcal Paloma,4,$99.15,$9.01,$20.57,0%,1%,79%
Lemonade Glass,3,$13.65,$1.25,$0.00,0%,0%,0%
Farmhouse Salad,3,$25.72,$2.34,$0.00,0%,0%,0%
Bombay Dry [House],3,$33.00,$3.00,$6.46,0%,0%,80%
Stow Schnitty,3,$83.36,$7.57,$15.98,0%,1%,81%
Kirin - Pint,3,$55.50,$5.04,$15.11,0%,0%,73%
Pie,3,$95.41,$8.67,$0.00,0%,1%,0%
Regular Hawaiian,3,$66.00,$6.00,$3.74,0%,0%,94%
Glass of Ice on the Side,3,$0.00,$0.00,$0.00,0%,0%,0%
Amarretto Sour,3,$63.00,$5.73,$12.27,0%,0%,81%
Rocket Man,3,$44.38,$4.04,$9.59,0%,0%,78%
Beef Burrito,3,$70.30,$6.39,$20.31,0%,1%,71%
Year Wines Fiano - Regular,3,$55.80,$5.08,$12.82,0%,0%,77%
Little Dragon Can,3,$37.91,$3.46,$10.61,0%,0%,72%
Island Time,3,$67.64,$6.14,$12.98,0%,1%,81%
Add Olives,3,$4.55,$0.43,$0.00,0%,0%,0%
Kids Icecream,3,$15.52,$1.40,$2.22,0%,0%,86%
Delivery Fee - Freshwater / Queenscliff,3,$13.77,$1.23,$0.00,0%,0%,0%
Casa Gheller Prosecco - Glass,3,$48.52,$4.39,$10.04,0%,0%,79%
Sailor Jerry [House],3,$29.00,$2.64,$5.74,0%,0%,80%
No Tomato,3,$0.00,$0.00,$0.00,0%,0%,0%
San Pellegrino 500ml,3,$27.60,$2.52,$6.99,0%,0%,75%
Fireball,3,$36.00,$3.27,$5.07,0%,0%,86%
Peroni 0%,3,$27.00,$2.46,$5.56,0%,0%,79%
Trade Winds,3,$43.37,$3.93,$0.00,0%,0%,0%
Orange,3,$0.00,$0.00,$0.00,0%,0%,0%
No Lettuce,2,$0.00,$0.00,$0.00,0%,0%,0%
Cranberry Juice [mixer],2,$0.00,$0.00,$1.38,0%,0%,
Large Sanchez,2,$54.00,$4.90,$10.98,0%,0%,80%
Hugo Spritz,2,$43.38,$3.94,$2.69,0%,0%,94%
Fever-Tree Mediterannean  [mixer],2,$2.06,$0.18,$0.00,0%,0%,0%
Crankshaft IPA - Schooner,2,$27.44,$2.49,$5.83,0%,0%,79%
Hyoketsu Lemon Can,2,$28.93,$2.62,$0.00,0%,0%,0%
Patron Reposodo Margarita,2,$49.57,$4.50,$11.34,0%,0%,77%
2x Aioli,2,$2.06,$0.18,$0.00,0%,0%,0%
Large Meatlovers,2,$28.00,$2.55,$13.91,0%,0%,50%
Cauliflower Tacos,2,$41.30,$3.75,$0.00,0%,0%,0%
Large Paddock,2,$58.00,$5.27,$10.21,0%,0%,82%
VB Can D,2,$12.00,$1.10,$4.67,0%,0%,61%
Vodka Martini,2,$45.44,$4.12,$6.02,0%,0%,87%
Status Quo - Pint,2,$35.57,$3.22,$8.33,0%,0%,77%
Side Spicy Salsa,2,$2.03,$0.18,$0.00,0%,0%,0%
Olive,2,$0.00,$0.00,$0.00,0%,0%,0%
Feast Deal Pizzas,2,$90.00,$8.18,$0.00,0%,1%,0%
Ravensworth Skins Gris - Regular,2,$38.00,$3.46,$8.08,0%,0%,79%
Regular Jimmy Jury [Dine-in],2,$54.89,$4.98,$6.67,0%,0%,88%
Heaps Normal Tin,2,$22.00,$2.00,$5.34,0%,0%,76%
Chicken Burrito D,2,$50.00,$4.54,$13.60,0%,0%,73%
Corona,2,$21.69,$1.96,$5.15,0%,0%,76%
Large Pepperoni,2,$48.00,$4.37,$9.13,0%,0%,81%
Regular Margherita,2,$34.00,$3.10,$2.46,0%,0%,93%
Vegan Cheese [Pizza],2,$6.00,$0.54,$0.00,0%,0%,0%
$45 FEAST,2,$90.00,$8.18,$0.00,0%,1%,0%
Add Grilled Chicken,2,$8.20,$0.75,$0.00,0%,0%,0%
Four Pillars Bloody Shiraz Gin Tonica,2,$43.38,$3.94,$10.73,0%,0%,75%
Classic,2,$0.00,$0.00,$0.00,0%,0%,0%
No Anchovies,2,$0.00,$0.00,$0.00,0%,0%,0%
Make It A Burrito Bowl [gluten-free],2,$0.00,$0.00,$0.00,0%,0%,0%
No Onion,2,$0.00,$0.00,$0.00,0%,0%,0%
Add Bacon,2,$5.60,$0.50,$0.00,0%,0%,0%
3 Glasses,2,$0.00,$0.00,$0.00,0%,0%,0%
Redbreast 12yr,2,$42.00,$3.82,$10.21,0%,0%,76%
Ice,2,$0.00,$0.00,$0.00,0%,0%,0%
Davy's Old Fashioned,2,$48.79,$4.44,$9.75,0%,0%,80%
Ottelia Chardonnay - Bottle,2,$126.00,$11.46,$34.59,0%,1%,73%
Lemon Twist,2,$0.00,$0.00,$0.00,0%,0%,0%
Bundaberg Ginger Beer,2,$8.25,$0.74,$1.91,0%,0%,77%
Tommy's Margarita,2,$47.52,$4.32,$9.95,0%,0%,79%
Trentham Estate Rosé - Bottle,2,$98.00,$8.90,$21.10,0%,1%,78%
Coke Zero Can,2,$8.00,$0.72,$3.78,0%,0%,53%
Rooster Rojo Blanco Tequila [House],2,$22.00,$2.00,$4.70,0%,0%,79%
Beef Cheek,2,$39.90,$3.63,$0.00,0%,0%,0%
Brownie,2,$24.80,$2.26,$5.65,0%,0%,77%
Pepsi Max Glass,2,$9.30,$0.84,$0.00,0%,0%,0%
Pepsi Glass,2,$9.15,$0.84,$0.00,0%,0%,0%
Regular New Yorker [Dine-in],2,$49.58,$4.50,$7.17,0%,0%,86%
Regular Pepperoni,2,$33.31,$3.02,$4.26,0%,0%,87%
4 Glasses,2,$0.00,$0.00,$0.00,0%,0%,0%
Add Chilli,2,$2.00,$0.18,$0.00,0%,0%,0%
No Glasses Needed,2,$0.00,$0.00,$0.00,0%,0%,0%
