Product Name,Product Quantity,$ Sales,Total Tax,Cost,% of Quantity,% of Sale Amount,Gross Profit %
Unlimited BBQ,12,$540.00,$49.08,$103.01,8%,21%,81%
Pepsi Max Glass,8,$36.00,$3.28,$10.48,5%,1%,71%
Mie Goreng,8,$176.80,$16.06,$25.46,5%,7%,86%
Devon's Prawn Toast,7,$112.00,$10.15,$27.22,4%,4%,76%
Sapporo - 500ml,7,$85.50,$7.79,$25.97,4%,3%,70%
1/2 Marinated Egg,6,$12.00,$1.08,$0.00,4%,0%,0%
Tonkotsu,6,$174.00,$15.83,$24.98,4%,7%,86%
Chicken Katsu Curry,5,$135.00,$12.25,$14.29,3%,5%,89%
Tsingtao Longneck,5,$85.00,$7.73,$22.91,3%,3%,73%
Edamame,5,$44.00,$4.00,$0.00,3%,2%,0%
Duck Spring Roll,5,$80.00,$7.27,$17.86,3%,3%,78%
From Sundays Shiraz - Regular,5,$75.00,$6.80,$14.00,3%,3%,81%
1 Glass,5,$0.00,$0.00,$0.00,3%,0%,0%
Harry's Lager - Pint,4,$46.50,$4.25,$8.72,3%,2%,81%
Chicken,4,$16.00,$1.44,$0.00,3%,1%,0%
Shredded Beef,4,$104.00,$9.44,$0.00,3%,4%,0%
Fried Egg,4,$15.50,$1.40,$0.00,3%,1%,0%
Fried Rice,3,$69.00,$6.27,$8.04,2%,3%,88%
Harry's Lager - Schooner,3,$26.00,$2.36,$4.87,2%,1%,81%
BBQ Pork Buns,3,$45.00,$4.08,$10.50,2%,2%,77%
Shoyu,3,$87.00,$7.92,$0.00,2%,3%,0%
Seitan Katsu Curry [vegan],3,$81.00,$7.35,$2.70,2%,3%,97%
Angas & Bremer Grenache - Regular,2,$14.00,$1.27,$3.51,1%,1%,75%
Dumplings - Beef & Cabbage,2,$28.00,$2.54,$2.95,1%,1%,89%
Margato,2,$34.00,$3.09,$7.69,1%,1%,77%
Chicken Karaage,2,$17.00,$1.55,$0.00,1%,1%,0%
Dumplings - Veg Gyoza,2,$28.00,$2.54,$3.92,1%,1%,86%
Sapporo - Schooner,2,$26.00,$2.36,$6.31,1%,1%,76%
Dumplings - Prawn Har Gow [GF],2,$37.00,$3.37,$8.83,1%,1%,76%
Azurescens Pinot Noir - Regular,2,$30.00,$2.72,$5.60,1%,1%,81%
Mochi Trio,2,$26.00,$2.36,$0.00,1%,1%,0%
Orange Juice Glass,2,$8.00,$0.72,$0.00,1%,0%,0%
Crouching Tiger,1,$21.00,$1.91,$4.02,1%,1%,81%
Drunken Koi,1,$21.00,$1.91,$2.65,1%,1%,87%
Rice Pudding,1,$9.50,$0.86,$0.00,1%,0%,0%
Fries [HG],1,$12.00,$1.09,$0.00,1%,0%,0%
Tomato Sauce,1,$0.00,$0.00,$0.00,1%,0%,0%
Soda & Lime Glass,1,$3.00,$0.27,$0.00,1%,0%,0%
Kids Fried Rice,1,$13.00,$1.18,$0.00,1%,1%,0%
Pepsi Glass,1,$4.50,$0.41,$1.31,1%,0%,71%
Popcorn Cauliflower,1,$15.00,$1.36,$0.98,1%,1%,93%
Soju Bomb,1,$12.00,$1.09,$2.19,1%,0%,82%
Jinro Strawberry - 360ml,1,$25.00,$2.27,$11.56,1%,1%,54%
Negroni,1,$20.00,$1.82,$4.77,1%,1%,76%
Extra Pork.,1,$5.00,$0.45,$0.00,1%,0%,0%
Jasmine Rice,1,$0.00,$0.00,$0.00,1%,0%,0%
2 Glasses,1,$0.00,$0.00,$0.00,1%,0%,0%
Swap for Chicken,1,$0.00,$0.00,$0.00,1%,0%,0%
Sensei Highball,1,$12.00,$1.09,$1.30,1%,0%,89%
Kids Mie Goreng,1,$13.00,$1.18,$0.00,1%,1%,0%
Miso,1,$29.00,$2.64,$0.00,1%,1%,0%
Yuzu Orange Soda,1,$9.00,$0.82,$0.00,1%,0%,0%
Veuve Clicquot - Glass [HG],1,$32.00,$2.91,$0.00,1%,1%,0%
,156,"$2,549.30",$231.61,$388.58,100%,100%,85%
