Product Name,Product Quantity,$ Sales,Total Tax,Cost,% of Quantity,% of Sale Amount,Gross Profit %
Unlimited Dumplings,52,"$1,248.00",$113.36,$364.54,35%,56%,71%
Pepsi Max Glass,17,$76.50,$6.97,$22.27,12%,3%,71%
Pepsi Glass,7,$31.50,$2.87,$9.17,5%,1%,71%
Sapporo - Schooner,5,$41.00,$3.74,$16.15,3%,2%,61%
Harry's Lager - Pint,5,$59.00,$5.38,$11.20,3%,3%,81%
Harry's Lager - Schooner,4,$30.50,$2.78,$6.68,3%,1%,78%
Miso,3,$87.00,$7.92,$0.00,2%,4%,0%
Yuzu Orange Soda,3,$27.00,$2.46,$0.00,2%,1%,0%
Chicken Katsu Curry,3,$55.00,$5.00,$8.57,2%,2%,84%
Lychee Martini,3,$42.00,$3.81,$9.42,2%,2%,78%
Mie Goreng,3,$53.31,$4.84,$9.55,2%,2%,82%
Dumplings - Prawn Har Gow [GF],2,$36.00,$3.27,$8.83,1%,2%,75%
Sapporo - 500ml,2,$25.50,$2.32,$7.60,1%,1%,70%
Chicken Karaage,2,$34.00,$3.10,$0.00,1%,2%,0%
Vegetarian Spring Rolls,2,$28.00,$2.55,$3.30,1%,1%,88%
Aperol Spritz,2,$33.00,$3.00,$7.92,1%,1%,76%
Apple Juice Glass,2,$8.00,$0.72,$0.00,1%,0%,0%
1/2 Marinated Egg,2,$4.00,$0.36,$0.00,1%,0%,0%
Pink Lemonade Glass,2,$9.00,$0.82,$0.00,1%,0%,0%
Fried Egg,2,$7.00,$0.64,$0.00,1%,0%,0%
Dragon Soda,1,$9.00,$0.82,$0.00,1%,0%,0%
Kids Unlimited Dumplings,1,$12.00,$1.09,$0.00,1%,1%,0%
Drunken Koi,1,$21.00,$1.91,$2.65,1%,1%,87%
L'esprit Rosé - Regular,1,$16.00,$1.45,$3.60,1%,1%,78%
Demon Slayer,1,$21.00,$1.91,$4.09,1%,1%,81%
Lemon Lime Bitters,1,$4.50,$0.41,$0.00,1%,0%,0%
Fried Rice,1,$23.00,$2.09,$2.68,1%,1%,88%
Shoyu,1,$11.60,$1.06,$0.00,1%,1%,0%
GFO [GF Ramen Noodles],1,$3.00,$0.27,$0.00,1%,0%,0%
Duck Spring Roll,1,$3.69,$0.33,$3.57,1%,0%,3%
Swap for Tofu [Make it Vegan],1,$0.00,$0.00,$0.00,1%,0%,0%
Tonkotsu,1,$29.00,$2.64,$4.16,1%,1%,86%
BBQ Pork Buns,1,$15.00,$1.36,$3.50,1%,1%,77%
Classic Margarita,1,$19.00,$1.73,$3.26,1%,1%,83%
Shredded Beef,1,$6.00,$0.55,$0.00,1%,0%,0%
Geppetto Chardonnay - Large,1,$24.00,$2.18,$5.19,1%,1%,78%
Lemonade Glass,1,$4.50,$0.41,$0.00,1%,0%,0%
Nuggets & Chips [HG],1,$13.00,$1.18,$0.00,1%,1%,0%
Dragon Juice,1,$17.00,$1.55,$2.59,1%,1%,85%
Chicken,1,$4.00,$0.36,$0.00,1%,0%,0%
Kids Tonkotsu,1,$13.00,$1.18,$0.00,1%,1%,0%
Geppetto Chardonnay - Regular,1,$15.00,$1.36,$3.11,1%,1%,79%
Dumplings - Beef & Cabbage,1,$14.00,$1.27,$1.47,1%,1%,89%
River Retreat Pinot Grigio - Regular,1,$12.00,$1.09,$2.01,1%,1%,83%
,147,"$2,245.60",$204.11,$527.09,100%,100%,77%
