Product Name,Product Quantity,$ Sales,Total Tax,Cost,% of Quantity,% of Sale Amount,Gross Profit %
Regular Sanchez [Dine-in],5,$91.18,$8.31,$16.96,6%,8%,81%
Regular Truffalo Soldier [Dine-in],5,$88.20,$8.04,$16.34,6%,7%,81%
Regular Little Italy [Dine-in],4,$73.19,$6.67,$19.22,5%,6%,74%
Garlic Bread,4,$23.00,$2.08,$5.68,5%,2%,75%
Online Surcharge,3,$2.84,$0.00,$0.00,4%,0%,0%
Regular Jimmy Jury [Dine-in],3,$47.39,$4.31,$10.01,4%,4%,79%
Less Cheese,3,$0.00,$0.00,$0.00,4%,0%,0%
BBQ Wings [Wings Deal],2,$0.00,$0.00,$0.00,2%,0%,0%
Large Pepperoni,2,$40.00,$3.64,$9.13,2%,3%,77%
Large Meatlovers,2,$62.00,$5.64,$13.91,2%,5%,78%
Regular Uber Margherita [Dine-in],2,$36.60,$3.33,$6.39,2%,3%,83%
Add Olives,2,$2.85,$0.27,$0.00,2%,0%,0%
Regular Bubba Gump [Dine-in],2,$36.59,$3.33,$7.92,2%,3%,78%
Regular Hail Africa [Dine-in],2,$36.59,$3.33,$5.82,2%,3%,84%
Regular Meatlovers,2,$44.50,$4.04,$9.96,2%,4%,78%
Regular New Yorker [Dine-in],2,$37.18,$3.39,$7.17,2%,3%,81%
Garlic  Bread.,2,$0.00,$0.00,$0.00,2%,0%,0%
Two Bays GF Pale Can D,2,$22.40,$2.03,$10.82,2%,2%,52%
Large Super House Special,2,$60.00,$5.46,$15.44,2%,5%,74%
Delivery Fee - Freshwater / Queenscliff,1,$5.50,$0.50,$0.00,1%,0%,0%
Large Sanchez,1,$24.30,$2.20,$5.49,1%,2%,77%
Large Margherita,1,$20.00,$1.82,$2.30,1%,2%,89%
Heaps Normal XPA D,1,$0.00,$0.00,$2.67,1%,0%,
Cheesy Garlic Bread,1,$6.00,$0.55,$1.77,1%,1%,70%
Regular Hawaiian,1,$22.00,$2.00,$1.25,1%,2%,94%
Large Hail Africa Wings Deal,1,$30.00,$2.73,$6.24,1%,3%,79%
Regular Roma Special,1,$24.00,$2.18,$4.03,1%,2%,83%
Large Little Italy,1,$31.00,$2.82,$8.84,1%,3%,71%
Add Anchovies,1,$2.00,$0.18,$0.00,1%,0%,0%
Large Tandoori Chicken,1,$25.00,$2.27,$3.21,1%,2%,87%
Regular Truffalo Soldier,1,$24.00,$2.18,$3.27,1%,2%,86%
Delivery Fee - Curl Curl / Manly / Dee Why,1,$6.50,$0.59,$0.00,1%,1%,0%
Large Jimmy Jury,1,$24.30,$2.21,$6.19,1%,2%,75%
Add Pineapple,1,$1.50,$0.14,$0.00,1%,0%,0%
Axl Rose Pizza,1,$18.59,$1.70,$0.00,1%,2%,0%
Vegan Cheese [Pizza],1,$3.00,$0.27,$0.00,1%,0%,0%
Regular Cosmopolitan,1,$19.50,$1.77,$4.73,1%,2%,76%
Regular Roma Special [Dine-in],1,$18.00,$1.64,$4.03,1%,2%,78%
Add Calabrese,1,$4.00,$0.36,$0.00,1%,0%,0%
Regular The Paddock [Dine-in],1,$18.59,$1.69,$3.10,1%,2%,83%
Large Meatlovers Wings Deal,1,$33.00,$3.00,$6.96,1%,3%,79%
Regular Super House Special [Dine-in],1,$18.61,$1.70,$5.53,1%,2%,70%
Regular Bubba Gump,1,$26.00,$2.36,$3.96,1%,2%,85%
Large Paddock,1,$27.00,$2.45,$5.11,1%,2%,81%
Regular Pepperoni,1,$15.00,$1.36,$2.13,1%,1%,86%
Add Rocket,1,$1.50,$0.14,$0.00,1%,0%,0%
Regular Cosmopolitan [Dine-in],1,$16.20,$1.48,$4.73,1%,1%,71%
Regular Meatlovers [Dine-in],1,$18.61,$1.70,$4.98,1%,2%,73%
Large Vegetarian,1,$0.00,$0.00,$4.11,1%,0%,
Online Discount,1,-$12.75,$0.00,$0.00,1%,-1%,0%
Regular Garlic Cheese Pizza,1,$9.00,$0.82,$1.39,1%,1%,85%
,83,"$1,184.46",$108.68,$250.80,100%,100%,79%
