"Position","Product Number","Product","Quantity","Percent of Quantity","Sale Amount","Percent of Sale Amount","Cost","Percent of Gross Profit"
1,"","Unlimited BBQ",5,13,0,0,42.92,0
2,"","Thai Chicken",3,8,35,9,0,100
3,"","Palloncino Prosecco - Regular",3,8,26,7,6.9,73
4,"","Shoyu",2,5,58,15,0,100
5,"","1/2 Marinated Egg",2,5,4,1,0,100
6,"","Harry's Lager - Schooner",2,5,19,5,3.25,83
7,"","Mie Goreng",2,5,32.2,8,6.36,80
8,"","Angas & Bremer Grenache - Regular",2,5,0,0,3.51,0
9,"","Tonkotsu",2,5,44,11,8.33,81
10,"","Yuzu Orange Soda",1,3,9,2,0,100
11,"","Devon's Prawn Toast",1,3,16,4,3.89,76
12,"","Miso",1,3,29,7,0,100
13,"","From Sundays Shiraz - Regular",1,3,0,0,2.8,0
14,"","Chicken Karaage",1,3,17,4,0,100
15,"","Lemonade Glass",1,3,4.5,1,0,100
16,"","Kids Fried Rice",1,3,13.45,3,0,100
17,"","Fried Rice",1,3,23,6,2.68,88
18,"","Dumplings - Prawn Har Gow [GF]",1,3,19,5,4.41,77
19,"","Grifter Pale - Schooner [HG]",1,3,11.5,3,0,100
20,"","Edamame",1,3,11,3,0,100
21,"","BBQ Pork Buns",1,3,15.51,4,3.5,77
22,"","Tengumai Junmai - 60ml [SERVE WARM]",1,3,12,3,2.37,80
23,"","No Glasses Needed",0.9,2,0,0,0,0
24,"","Azurescens Pinot Noir - Bottle",0.9,2,0,0,12.6,0
