Position,Product Number,Product,Quantity,Percent of Quantity,Sale Amount,Percent of Sale Amount,Cost,Percent of Gross Profit
109,,Ginger Ale,1,0,4.55,0,0,100
110,,Gluten-free Jimmy Jury,1,0,30.8,0,8.53,72
111,,Aperol Spritz,1,0,22.72,0,3.55,84
112,,Add Grilled Fish,1,0,9.09,0,0,100
113,,Regular Sanchez,1,0,25.3,0,3.39,87
114,,Swap Gravy for Aioli,1,0,0,0,0,0
115,,Regular Little Italy,1,0,25.3,0,4.8,81
116,,Add Anchovies,1,0,2.2,0,0,100
117,,Corona,1,0,11.93,0,2.58,78
118,,Bombay Dry [House],1,0,12.1,0,2.15,82
119,,Regular Jimmy Jury [Dine-in],1,0,30.68,0,3.34,89
120,,Kids Nuggets & Chips,1,0,14.3,0,2.25,84
121,,Regular Paddock,1,0,25,0,3.28,87
122,,Delivery Fee - Curl Curl / Manly / Dee Why,1,0,7.15,0,0,100
123,,Soda [mixer],1,0,0,0,0,0
124,,Regular Pepperoni,1,0,22,0,2.13,90
125,,Garlic  Bread,1,0,0,0,1.42,0
126,,Add Grilled Chicken,1,0,2.2,0,0,100
127,,No Olives,1,0,0,0,0,0
128,,Old Fashioned,1,0,24.2,0,4.76,80
129,,Beef Cheek,1,0,45.33,0,0,100
130,,Vegan Cheese [Pizza],1,0,3.3,0,0,100
131,,Gluten-free [remove Yorkshire],1,0,0,0,0,0
132,,Two Tonne Riesling - Bottle,1,0,84.7,1,21.36,75
133,,Pie,1,0,37.37,0,0,100
134,,Villa Fresco Sangiovese - Large,1,0,20.9,0,4.03,81
135,,La Petite Mort Albarino 2025 - Bottle,1,0,107.8,1,22.89,79
136,,Gluten-free Meatlovers,1,0,31,0,9.29,70
137,,Casa Gheller Prosecco - Glass,1,0,17.6,0,3.35,81
138,,Add Lepinja Bread,1,0,6.82,0,0,100
139,,Philter Red - Pint,1,0,16.5,0,3.4,79
140,,No Cheese [dairy-free],1,0,0,0,0,0
141,,Lime Wedge,1,0,0,0,0,0
142,,Arancini Balls 5pcs D,1,0,19.25,0,0,100
143,,Extra Arancini Ball,1,0,4.54,0,0,100
144,,Regular Sanchez VEGAN,1,0,25,0,3.02,88
145,,$5 Stow Soda,1,0,5.5,0,0,100
146,,Add Pumpkin,1,0,1.65,0,0,100
147,,No Ice,1,0,0,0,0,0
148,,Poor Tom's Strawberry Gin Tonica,1,0,23.86,0,4.45,81
149,,Send Kids Food ASAP,1,0,0,0,0,0
150,,Large Cosmopolitan,1,0,32,0,6.76,79
151,,Add Pesto,1,0,1.1,0,0,100
152,,No Jalapeños,1,0,0,0,0,0
153,,French Martini,1,0,19.8,0,3.91,80
154,,Coconut Margarita,1,0,25.3,0,4.22,83
155,,Flower Child,1,0,24.99,0,2.91,88
156,,Version Two Sparkling - Bottle,1,0,53.9,0,8.83,84
157,,Philter Red - Schooner,1,0,12.5,0,2.53,80
158,,Mother's Milk Shiraz - Regular,1,0,16.5,0,3.22,81
159,,Regular BBQ Chicken Pizza [Dine-in],1,0,28.6,0,3.11,89
160,,Add Fetta,1,0,3.3,0,0,100
161,,Quiet Riot Negroni,1,0,26.13,0,4.36,83
162,,San Pellegrino 500ml,1,0,9.9,0,2.32,77
163,,Coke Can,1,0,4.4,0,1.89,57
164,,3 Glasses,1,0,0,0,0,0
165,,A. Rodda Tempranillo - Regular,1,0,19.8,0,5.57,72
166,,2 Glasses,1,0,0,0,0,0
167,,Farmhouse Salad,1,0,28.28,0,0,100
168,,No Tomato,1,0,0,0,0,0
169,,No Glasses Needed,1,0,0,0,0,0
170,,Double Scoop,1,0,3.97,0,0,100
171,,Add Roasted Tomato Coulis,1,0,3.41,0,0,100
172,,Cauliflower Tacos,1,0,22.72,0,0,100
173,,Swap Fries for Sweet Potato Fries,1,0,2.27,0,0,100
174,,Large New Yorker,1,0,0,0,5.01,0
175,,No Chilli,1,0,0,0,0,0
176,,Eggplant Parmy,1,0,32.94,0,0,100
177,,Crankshaft IPA - Pint,1,0,19.25,0,3.91,80
178,,Choc  Brownie,1,0,0,0,1.95,0
179,,Dressing on the Side,1,0,0,0,0,0
180,,Fries D,1,0,13.2,0,0,100
181,,Jimmy Jury.,1,0,0,0,0,0
182,,Fresh is Best Summer Lager - Schooner,1,0,9.35,0,1.59,83
183,,Trade Winds,1,0,15.91,0,0,100
184,,Solo 1.25L,1,0,7,0,3.59,49
185,,Padrillos Malbec - Regular,1,0,19.8,0,4.48,77
186,,BBQ Wings D,1,0,16,0,3.14,80
187,,Southern Squid,1,0,28.97,0,0,100
188,,Buffalo Trace Bourbon [House],1,0,12.1,0,2.29,81
189,,Feast Deal Pizzas,1,0,49.5,0,0,100
190,,No Anchovies,1,0,0,0,0,0
191,,Axl Rose Pizza,1,0,29.53,0,0,100
192,,Add Ham,1,0,3.3,0,0,100
193,,Orange,1,0,0,0,0,0
194,,Regular Sanchez VEGAN [Dine-in],1,0,29.54,0,3.02,90
195,,Large Paddock,1,0,31,0,5.28,83
196,,Add Cheese,1,0,0.88,0,0,100
197,,Regular Meatlovers,1,0,25,0,5.19,79
198,,Geppetto Pinot Noir - Large Glass,1,0,26.4,0,5.89,78
199,,"Large No Chorizo, No Cry",1,0,29.7,0,6.31,79
200,,Sweet Potato Fries D,1,0,14,0,2.53,82
201,,Aperol,1,0,10.22,0,1.25,88
202,,Vegan Aioli,1,0,0,0,0,0
203,,Buffalo Wings D,1,0,16,0,3.9,76
204,,Meatlovers.,1,0,0,0,0,0
205,,A. Rodda Chardonnay - Large,1,0,49.99,0,10.28,79
206,,Add Pineapple,1,0,1.1,0,0,100
207,,Regular Tandoori Chicken,1,0,24,0,2.36,90
208,,Kuku Sauvignon Blanc - Regular,1,0,15.4,0,2.91,81
209,,Padrillos Malbec - Bottle,1,0,81.8,1,22.39,73
210,,Rocket Man,1,0,7.92,0,3.2,60
211,,Lemon Meringue Martini,1,0,27.27,0,3.5,87
212,,Side Chipotle Mayo,1,0,1.14,0,0,100
213,,Young Henrys Cloudy Cider Can,1,0,13.2,0,2.82,79
214,,Grifter Big Sur IPA Tin,1,0,15.4,0,3.66,76
