week_ending,venue,reporting_group,sales_ex_gst,qty
2024-11-10,stow,Orange / Skins Wine,233.17,16.0
2024-11-10,stow,Pet Nat Wine,136.42,9.0
2024-11-10,stow,Red Wine,1662.82,107.0
2024-11-10,stow,Rose Wine,1215.97,83.0
2024-11-10,stow,Rum,215.0,22.0
2024-11-10,stow,Salads,455.52,24.0
2024-11-10,stow,Small Plates,7417.15,501.0
2024-11-10,stow,Sparkling Wine,1777.02,79.0
2024-11-10,stow,Staff Dinners,328.64,71.0
2024-11-10,stow,Stow Food,2.77,1.0
2024-11-10,stow,Tap Beer,11182.27,1125.9
2024-11-10,stow,Tequila,205.56,20.0
2024-11-10,stow,Vodka,980.55,110.0
2024-11-10,stow,Whisky,328.06,28.0
2024-11-10,stow,White Wine,2072.62,135.0
2024-11-17,hg,Add-ons - Kitchen,66.89,61.0
2024-11-17,hg,Big Plates,1885.3,127.0
2024-11-17,hg,Bottles / Cans Alcoholic,486.65,48.0
2024-11-17,hg,Cocktails - Classic,532.41,37.0
2024-11-17,hg,Cocktails - Signature,1732.19,137.0
2024-11-17,hg,Gin,38.18,4.0
2024-11-17,hg,Harry Gatos Food,892.93,131.0
2024-11-17,hg,Modifiers,0.0,9.0
2024-11-17,hg,Non-Alcoholic,176.76,36.0
2024-11-17,hg,None,0.0,23.0
2024-11-17,hg,Orange / Skins Wine,59.38,10.0
2024-11-17,hg,Red Wine,374.17,28.0
2024-11-17,hg,Rose Wine,303.16,19.0
2024-11-17,hg,Sake & Soju,141.37,11.0
2024-11-17,hg,Sides,78.59,13.0
2024-11-17,hg,Small Plates,2670.3,319.0
2024-11-17,hg,Sparkling Wine,32.73,3.0
2024-11-17,hg,Tap Beer,1133.87,138.0
2024-11-17,hg,Vodkas,18.18,2.0
2024-11-17,hg,White Wine,240.49,22.0
2024-11-17,mari,Add-ons - Pizza,127.17,124.0
2024-11-17,mari,Delivery Alcohol,206.76,10.0
2024-11-17,mari,Delivery Cocktails,110.35,5.0
2024-11-17,mari,Dine-in Pizza,1784.75,96.0
2024-11-17,mari,Marilyna's Pizza,9607.76,631.0
2024-11-17,mari,Marilyna's Soft Drinks,104.19,24.0
2024-11-17,stow,Add-ons - Bar,14.85,10.0
2024-11-17,stow,Add-ons - Kitchen,200.31,254.0
2024-11-17,stow,Amaro / Aperitif / Fortified Wine,33.0,4.0
2024-11-17,stow,Big Plates,5117.63,255.0
2024-11-17,stow,Bottles / Cans Alcoholic,711.45,71.0
2024-11-17,stow,Cocktails - Classic,7437.0,490.0
2024-11-17,stow,Cocktails - Signature,3271.79,188.0
2024-11-17,stow,Delivery Kitchen,1801.36,134.0
2024-11-17,stow,Desserts,76.02,8.0
2024-11-17,stow,Functions & Misc.,19.09,2.0
2024-11-17,stow,Gin,878.6,77.0
2024-11-17,stow,Kids Meals,137.57,14.0
2024-11-17,stow,Kitchen Specials,759.18,40.0
2024-11-17,stow,Liqueurs,9.09,1.0
2024-11-17,stow,Mocktails,252.74,20.0
2024-11-17,stow,Modifiers,0.0,157.0
2024-11-17,stow,Non-alcoholic,618.05,124.0
2024-11-17,stow,None,0.0,249.0
2024-11-17,stow,Orange / Skins Wine,143.4,9.0
2024-11-17,stow,Pet Nat Wine,177.96,10.0
2024-11-17,stow,Red Wine,1935.04,122.7
2024-11-17,stow,Rose Wine,1274.42,85.0
2024-11-17,stow,Rum,159.51,15.0
2024-11-17,stow,Salads,365.06,20.0
2024-11-17,stow,Small Plates,6038.16,401.0
2024-11-17,stow,Sparkling Wine,967.12,81.0
2024-11-17,stow,Staff Dinners,275.82,61.0
2024-11-17,stow,Tap Beer,11996.55,1205.5
2024-11-17,stow,Tequila,191.66,18.0
2024-11-17,stow,Vodka,461.27,49.0
2024-11-17,stow,Whisky,336.25,24.0
2024-11-17,stow,White Wine,2296.31,142.0
2024-11-24,hg,Add-ons - Kitchen,175.55,107.0
2024-11-24,hg,Big Plates,3738.29,201.0
2024-11-24,hg,Bottles / Cans Alcoholic,1049.45,98.0
2024-11-24,hg,Cocktails - Classic,746.54,60.0
2024-11-24,hg,Cocktails - Signature,2039.4,131.0
2024-11-24,hg,Gin,58.02,6.0
2024-11-24,hg,Harry Gatos Food,1404.21,169.0
2024-11-24,hg,Modifiers,0.0,49.0
2024-11-24,hg,Non-Alcoholic,243.48,49.0
2024-11-24,hg,None,0.0,50.0
2024-11-24,hg,Orange / Skins Wine,251.47,14.0
2024-11-24,hg,Red Wine,507.13,22.0
2024-11-24,hg,Rose Wine,501.05,31.0
2024-11-24,hg,Sake & Soju,118.86,5.0
2024-11-24,hg,Sides,216.6,20.0
2024-11-24,hg,Small Plates,4658.05,472.0
2024-11-24,hg,Sparkling Wine,31.64,3.0
2024-11-24,hg,Staff Dinners,154.55,34.0
2024-11-24,hg,Tap Beer,1513.07,193.0
2024-11-24,hg,Tequila,46.07,5.0
2024-11-24,hg,White Wine,569.15,49.0
2024-11-24,mari,Add-ons - Pizza,193.68,159.0
2024-11-24,mari,Delivery Alcohol,64.34,6.0
2024-11-24,mari,Delivery Cocktails,130.6,5.0
2024-11-24,mari,Dine-in Pizza,2087.75,105.0
2024-11-24,mari,Marilyna's Pizza,11158.8,728.0
2024-11-24,mari,Marilyna's Soft Drinks,160.86,37.0
2024-11-24,stow,Add-ons - Bar,44.82,20.0
2024-11-24,stow,Add-ons - Kitchen,223.61,323.0
2024-11-24,stow,Amaro / Aperitif / Fortified Wine,8.73,1.0
2024-11-24,stow,Big Plates,5236.93,261.0
2024-11-24,stow,Bottles / Cans Alcoholic,546.17,57.0
2024-11-24,stow,Cocktails - Classic,8231.73,526.0
2024-11-24,stow,Cocktails - Signature,1986.35,118.0
2024-11-24,stow,Delivery Kitchen,1221.23,93.0
2024-11-24,stow,Desserts,42.55,4.0
2024-11-24,stow,Functions & Misc.,12.27,3.0
2024-11-24,stow,Gin,902.39,82.0
2024-11-24,stow,Kids Meals,262.52,24.0
2024-11-24,stow,Kitchen Specials,677.85,33.0
2024-11-24,stow,Mezcal,24.96,2.0
2024-11-24,stow,Mocktails,232.51,20.0
2024-11-24,stow,Modifiers,0.0,180.0
2024-11-24,stow,Non-alcoholic,633.93,137.0
2024-11-24,stow,None,0.0,188.0
2024-11-24,stow,Orange / Skins Wine,361.29,21.0
2024-11-24,stow,Pet Nat Wine,116.17,8.0
2024-11-24,stow,Red Wine,1618.01,93.0
2024-11-24,stow,Rose Wine,1457.3,84.0
2024-11-24,stow,Rum,40.52,4.0
2024-11-24,stow,Salads,187.02,10.0
2024-11-24,stow,Small Plates,5186.17,347.0
2024-11-24,stow,Sparkling Wine,894.76,67.0
2024-11-24,stow,Staff Dinners,250.0,56.0
2024-11-24,stow,Stow Food,11.24,4.0
2024-11-24,stow,Tap Beer,10641.59,1056.9
2024-11-24,stow,Tequila,67.58,7.0
2024-11-24,stow,Vodka,431.29,51.0
2024-11-24,stow,Whisky,229.66,21.0
2024-11-24,stow,White Wine,2196.78,150.0
2024-12-01,hg,Add-ons - Bar,0.93,1.0
2024-12-01,hg,Add-ons - Kitchen,185.49,110.0
2024-12-01,hg,Big Plates,4270.59,222.0
2024-12-01,hg,Bottles / Cans Alcoholic,742.85,71.0
2024-12-01,hg,Cocktails - Classic,939.65,62.0
2024-12-01,hg,Cocktails - Signature,2468.17,149.0
2024-12-01,hg,Gin,22.18,2.0
2024-12-01,hg,Harry Gatos Food,1143.27,150.0
2024-12-01,hg,Modifiers,0.0,39.0
2024-12-01,hg,Non-Alcoholic,323.55,56.0
2024-12-01,hg,None,0.0,16.0
2024-12-01,hg,Orange / Skins Wine,70.71,2.0
2024-12-01,hg,Red Wine,547.93,28.0
2024-12-01,hg,Rose Wine,415.4,20.0
2024-12-01,hg,Sake & Soju,141.8,10.0
2024-12-01,hg,Sides,66.93,6.0
2024-12-01,hg,Small Plates,5148.76,504.8
2024-12-01,hg,Sparkling Wine,110.63,12.0
2024-12-01,hg,Staff Dinners,187.09,43.0
2024-12-01,hg,Tap Beer,1887.35,223.0
2024-12-01,hg,White Wine,843.31,58.0
2024-12-01,mari,Add-ons - Pizza,143.26,124.0
2024-12-01,mari,Delivery Alcohol,185.82,13.0
2024-12-01,mari,Delivery Cocktails,132.57,4.0
2024-12-01,mari,Dine-in Pizza,2214.23,111.0
2024-12-01,mari,Marilyna's Pizza,11576.05,785.0
2024-12-01,mari,Marilyna's Soft Drinks,202.6,46.0
2024-12-01,stow,Add-ons - Bar,11.86,8.0
2024-12-01,stow,Add-ons - Kitchen,307.52,367.0
2024-12-01,stow,Amaro / Aperitif / Fortified Wine,10.91,1.0
2024-12-01,stow,Big Plates,5341.56,270.0
2024-12-01,stow,Bottles / Cans Alcoholic,522.19,54.0
2024-12-01,stow,Cocktails - Classic,7946.13,523.0
2024-12-01,stow,Cocktails - Signature,2177.22,123.0
2024-12-01,stow,Delivery Kitchen,1781.77,127.0
2024-12-01,stow,Desserts,34.38,3.0
2024-12-01,stow,Functions & Misc.,496.91,10.5
2024-12-01,stow,Gin,687.64,68.0
2024-12-01,stow,Kids Meals,158.64,13.0
2024-12-01,stow,Kitchen Specials,678.91,31.0
2024-12-01,stow,Liqueurs,38.18,4.0
2024-12-01,stow,Mocktails,175.63,16.0
2024-12-01,stow,Modifiers,0.0,197.0
2024-12-01,stow,Non-alcoholic,741.01,156.0
2024-12-01,stow,None,0.0,216.0
2024-12-01,stow,Orange / Skins Wine,431.14,16.0
2024-12-01,stow,Pet Nat Wine,113.91,8.0
2024-12-01,stow,Red Wine,1671.95,110.0
2024-12-01,stow,Rose Wine,2059.75,124.0
2024-12-01,stow,Rum,82.0,9.0
2024-12-01,stow,Salads,320.43,16.0
2024-12-01,stow,Small Plates,5835.24,400.0
2024-12-01,stow,Sparkling Wine,1487.83,75.0
2024-12-01,stow,Staff Dinners,245.0,54.0
2024-12-01,stow,Stow Food,5.45,2.0
2024-12-01,stow,Tap Beer,11859.68,1214.5
2024-12-01,stow,Tequila,165.36,32.0
2024-12-01,stow,Vodka,778.17,100.0
2024-12-01,stow,Whisky,192.73,12.0
2024-12-01,stow,White Wine,2185.79,147.0
2024-12-08,hg,Add-ons - Bar,0.93,1.0
2024-12-08,hg,Add-ons - Kitchen,265.62,147.0
2024-12-08,hg,Big Plates,4602.25,238.0
2024-12-08,hg,Bottles / Cans Alcoholic,756.64,79.0
2024-12-08,hg,Cocktails - Classic,1110.08,72.0
2024-12-08,hg,Cocktails - Signature,2654.39,164.0
2024-12-08,hg,Gin,94.09,11.0
2024-12-08,hg,Harry Gatos Food,1447.89,181.0
2024-12-08,hg,Modifiers,0.0,25.5
2024-12-08,hg,Non-Alcoholic,273.6,54.0
2024-12-08,hg,None,0.0,56.0
2024-12-08,hg,Orange / Skins Wine,21.82,2.0
2024-12-08,hg,Red Wine,315.01,19.0
2024-12-08,hg,Rose Wine,330.28,25.0
2024-12-08,hg,Sake & Soju,33.64,2.0
2024-12-08,hg,Sides,121.3,11.0
2024-12-08,hg,Small Plates,4607.17,474.8
2024-12-08,hg,Sparkling Wine,164.37,16.0
2024-12-08,hg,Staff Dinners,142.55,34.0
2024-12-08,hg,Tap Beer,1677.98,202.0
2024-12-08,hg,Vodkas,22.19,2.0
2024-12-08,hg,White Wine,470.35,36.0
2024-12-08,mari,Add-ons - Pizza,182.15,160.0
2024-12-08,mari,Delivery Alcohol,267.39,20.0
2024-12-08,mari,Delivery Cocktails,177.84,6.0
2024-12-08,mari,Dine-in Pizza,2032.33,101.0
2024-12-08,mari,Marilyna's Pizza,11977.44,799.0
2024-12-08,mari,Marilyna's Soft Drinks,143.06,32.0
2024-12-08,stow,Add-ons - Bar,19.95,8.0
2024-12-08,stow,Add-ons - Kitchen,249.97,311.0
2024-12-08,stow,Amaro / Aperitif / Fortified Wine,20.0,2.0
2024-12-08,stow,Big Plates,5658.24,276.0
2024-12-08,stow,Bottles / Cans Alcoholic,331.55,35.0
2024-12-08,stow,Cocktails - Classic,7375.69,471.0
2024-12-08,stow,Cocktails - Signature,1594.09,85.0
2024-12-08,stow,Delivery Kitchen,1591.69,126.0
2024-12-08,stow,Desserts,74.04,7.0
2024-12-08,stow,Functions & Misc.,11.82,3.0
2024-12-08,stow,Gin,789.21,69.0
2024-12-08,stow,Kids Meals,278.84,25.0
2024-12-08,stow,Liqueurs,63.64,7.0
2024-12-08,stow,Mezcal,33.82,3.0
2024-12-08,stow,Mocktails,205.15,17.0
2024-12-08,stow,Modifiers,0.05,175.0
2024-12-08,stow,Non-alcoholic,846.46,186.0
2024-12-08,stow,None,69.55,185.0
2024-12-08,stow,Orange / Skins Wine,436.85,27.0
2024-12-08,stow,Pet Nat Wine,102.52,7.0
2024-12-08,stow,Red Wine,1304.57,87.0
2024-12-08,stow,Rose Wine,1385.08,83.0
2024-12-08,stow,Rum,121.99,12.0
2024-12-08,stow,Salads,299.45,16.0
2024-12-08,stow,Small Plates,6222.24,413.0
2024-12-08,stow,Sparkling Wine,1257.27,61.0
2024-12-08,stow,Staff Dinners,290.91,63.0
2024-12-08,stow,Tap Beer,11198.09,1119.6
2024-12-08,stow,Tequila,183.09,19.0
2024-12-08,stow,Vodka,535.96,61.0
2024-12-08,stow,Whisky,60.35,6.0
2024-12-08,stow,White Wine,2089.37,129.0
2024-12-15,hg,Add-ons - Kitchen,267.36,147.0
2024-12-15,hg,Big Plates,4673.22,249.0
2024-12-15,hg,Bottles / Cans Alcoholic,606.27,58.0
2024-12-15,hg,Cocktails - Classic,894.73,64.0
2024-12-15,hg,Cocktails - Signature,2924.34,194.0
2024-12-15,hg,Gin,37.44,4.0
2024-12-15,hg,Harry Gatos Food,1249.77,156.0
2024-12-15,hg,Modifiers,0.0,39.0
2024-12-15,hg,Non-Alcoholic,448.19,70.0
2024-12-15,hg,None,0.0,87.0
2024-12-15,hg,Orange / Skins Wine,136.0,10.0
2024-12-15,hg,Red Wine,606.7,32.0
2024-12-15,hg,Rose Wine,378.03,23.0
2024-12-15,hg,Rums,38.18,4.0
2024-12-15,hg,Sake & Soju,128.4,7.0
2024-12-15,hg,Sides,133.12,12.0
2024-12-15,hg,Small Plates,4812.08,510.0
2024-12-15,hg,Sparkling Wine,228.85,21.0
2024-12-15,hg,Staff Dinners,221.55,59.0
2024-12-15,hg,Tap Beer,1734.47,203.0
2024-12-15,hg,Tequila,22.04,2.0
2024-12-15,hg,Vodkas,115.22,13.0
2024-12-15,hg,Whiskies,6.0,1.0
2024-12-15,hg,White Wine,924.83,57.0
2024-12-15,mari,Add-ons - Pizza,171.45,132.0
2024-12-15,mari,Delivery Alcohol,87.28,6.0
2024-12-15,mari,Delivery Cocktails,143.64,4.0
2024-12-15,mari,Dine-in Pizza,2242.44,113.0
2024-12-15,mari,Marilyna's Pizza,12347.18,775.0
2024-12-15,mari,Marilyna's Soft Drinks,131.88,31.0
2024-12-15,stow,Add-ons - Bar,15.55,9.0
2024-12-15,stow,Add-ons - Kitchen,224.01,332.0
2024-12-15,stow,Big Plates,4719.3,248.0
2024-12-15,stow,Bottles / Cans Alcoholic,655.82,67.0
2024-12-15,stow,Cocktails - Classic,6931.94,480.0
2024-12-15,stow,Cocktails - Signature,1640.58,101.0
2024-12-15,stow,Delivery Kitchen,1642.51,117.0
2024-12-15,stow,Desserts,46.02,4.0
2024-12-15,stow,Functions & Misc.,440.0,7.0
2024-12-15,stow,Gin,943.25,71.0
2024-12-15,stow,Kids Meals,243.35,20.0
2024-12-15,stow,Liqueurs,27.27,3.0
2024-12-15,stow,Mocktails,216.18,18.0
2024-12-15,stow,Modifiers,0.0,155.0
2024-12-15,stow,Non-alcoholic,606.19,126.0
2024-12-15,stow,None,95.92,200.0
2024-12-15,stow,Orange / Skins Wine,135.9,8.0
2024-12-15,stow,Pet Nat Wine,336.43,18.0
2024-12-15,stow,Red Wine,911.31,57.0
2024-12-15,stow,Rose Wine,1288.45,76.0
2024-12-15,stow,Rum,441.22,42.0
2024-12-15,stow,Salads,242.7,13.0
2024-12-15,stow,Small Plates,5888.39,390.0
2024-12-15,stow,Sparkling Wine,832.47,50.0
2024-12-15,stow,Staff Dinners,235.45,51.0
2024-12-15,stow,Stow Food,2.73,1.0
2024-12-15,stow,Tap Beer,9629.44,999.2
2024-12-15,stow,Tequila,238.16,23.0
2024-12-15,stow,Vodka,671.18,80.0
2024-12-15,stow,Whisky,110.22,8.0
2024-12-15,stow,White Wine,1588.93,100.0
2024-12-22,hg,Add-ons - Kitchen,512.84,123.0
2024-12-22,hg,Big Plates,4759.45,249.0
2024-12-22,hg,Bottles / Cans Alcoholic,968.73,98.0
2024-12-22,hg,Cocktails - Classic,1143.75,83.0
2024-12-22,hg,Cocktails - Signature,2714.31,167.0
2024-12-22,hg,Gin,119.91,12.0
2024-12-22,hg,Harry Gatos Food,1421.86,175.0
2024-12-22,hg,Modifiers,0.0,48.0
2024-12-22,hg,Non-Alcoholic,372.34,74.0
2024-12-22,hg,None,0.0,130.0
2024-12-22,hg,Orange / Skins Wine,120.48,6.0
2024-12-22,hg,Red Wine,364.39,14.0
2024-12-22,hg,Rose Wine,249.57,16.0
2024-12-22,hg,Rums,20.0,2.0
2024-12-22,hg,Sake & Soju,14.55,2.0
2024-12-22,hg,Sides,110.74,11.0
2024-12-22,hg,Small Plates,4941.16,519.0
2024-12-22,hg,Sparkling Wine,121.64,8.0
2024-12-22,hg,Staff Dinners,188.09,45.0
2024-12-22,hg,Tap Beer,2189.55,272.0
2024-12-22,hg,Vodkas,254.05,26.0
2024-12-22,hg,White Wine,1045.72,68.0
2024-12-22,mari,Add-ons - Pizza,208.62,175.0
2024-12-22,mari,Delivery Alcohol,345.55,13.0
2024-12-22,mari,Delivery Cocktails,653.72,18.0
2024-12-22,mari,Dine-in Pizza,2884.68,145.0
2024-12-22,mari,Marilyna's Pizza,13452.26,874.0
2024-12-22,mari,Marilyna's Soft Drinks,199.42,47.0
2024-12-22,stow,Add-ons - Bar,8.24,5.0
2024-12-22,stow,Add-ons - Kitchen,300.12,338.0
2024-12-22,stow,Amaro / Aperitif / Fortified Wine,57.27,7.0
2024-12-22,stow,Big Plates,5950.2,299.0
2024-12-22,stow,Bottles / Cans Alcoholic,1022.87,109.0
2024-12-22,stow,Cocktails - Classic,7623.56,503.0
2024-12-22,stow,Cocktails - Signature,2130.22,129.0
2024-12-22,stow,Delivery Kitchen,1746.5,131.0
2024-12-22,stow,Desserts,11.09,1.0
2024-12-22,stow,Functions & Misc.,383.95,6.0
2024-12-22,stow,Gin,795.02,71.0
2024-12-22,stow,Kids Meals,318.23,26.0
2024-12-22,stow,Liqueurs,21.82,2.0
2024-12-22,stow,Mocktails,403.07,34.0
2024-12-22,stow,Modifiers,0.09,173.0
2024-12-22,stow,Non-alcoholic,959.87,185.0
2024-12-22,stow,None,249.58,214.1
2024-12-22,stow,Orange / Skins Wine,322.65,22.0
2024-12-22,stow,Pet Nat Wine,57.75,4.0
