Product Name,Product Quantity,$ Sales,Total Tax,Cost,% of Quantity,% of Sale Amount,Gross Profit %
Fresh is Best Lager - Schooner,30,$233.24,$21.19,$54.82,3%,2%,76%
Grifter Pale - Schooner,21,$215.20,$19.65,$52.18,2%,2%,76%
Aperol Spritz,20,$335.90,$30.51,$71.05,2%,3%,79%
Guinness Draught - Pint,19,$315.58,$28.68,$89.53,2%,2%,72%
Mulled Wine,18,$273.92,$24.80,$37.26,2%,2%,86%
Online Surcharge,18,$24.15,$0.00,$0.00,2%,0%,0%
Stone & Wood - Schooner,17,$222.28,$20.18,$55.07,2%,2%,75%
Fresh is Best Lager - Pint,17,$205.64,$18.77,$41.71,2%,2%,80%
Kirin - Schooner,15,$211.38,$19.20,$56.71,2%,2%,73%
American Standard Burger,14,$297.17,$27.07,$81.82,2%,2%,72%
Classic Margarita,14,$277.98,$25.29,$57.15,2%,2%,79%
Mother's Milk Shiraz - Regular,12,$180.99,$16.41,$38.60,1%,1%,79%
Petits Detours Rosé - Regular,11,$179.15,$16.24,$38.88,1%,1%,78%
Stone & Wood - Pint,10,$172.24,$15.70,$43.45,1%,1%,75%
Casa Gheller Prosecco - Glass,10,$161.05,$14.59,$33.46,1%,1%,79%
Kirin - Pint,10,$188.67,$17.15,$50.71,1%,1%,73%
Status Quo - Pint,10,$175.00,$15.90,$41.14,1%,1%,76%
Kuku Sauvignon Blanc - Regular,9,$126.00,$11.44,$26.23,1%,1%,79%
Fresh is Best Summer Lager - Schooner,9,$61.20,$5.57,$14.29,1%,0%,77%
Lychee Martini,9,$172.60,$15.72,$32.61,1%,1%,81%
Fancy Pants Parmy - Classic,8,$223.27,$20.31,$64.84,1%,2%,71%
Jalapeño Marg,8,$188.51,$17.13,$6.08,1%,1%,97%
Philter XPA - Pint,8,$90.79,$8.25,$24.72,1%,1%,73%
Espresso Martini,8,$150.65,$13.71,$25.88,1%,1%,83%
Rosemary Salted Fries,8,$104.85,$9.49,$14.84,1%,1%,86%
Side Tomato Sauce,7,$0.00,$0.00,$0.00,1%,0%,0%
Brownie D,7,$33.00,$3.00,$13.63,1%,0%,59%
Side Aioli,7,$3.64,$0.42,$0.00,1%,0%,0%
Fresh Lime Soda,7,$24.73,$2.26,$0.00,1%,0%,0%
"Lemon, Lime & Bitters",6,$30.64,$2.75,$0.00,1%,0%,0%
Sensei Calamari,6,$118.25,$10.75,$13.83,1%,1%,88%
Orange,6,$0.00,$0.00,$0.00,1%,0%,0%
Aperol,6,$55.77,$5.07,$7.48,1%,0%,87%
Version Two Sparkling - Regular,6,$62.62,$5.69,$10.60,1%,0%,83%
Version Two Pinot Grigio - Regular,6,$73.18,$6.64,$10.60,1%,1%,86%
BBQ Wings,6,$101.91,$9.29,$18.85,1%,1%,82%
Villa Fresco Sangiovese - Regular,6,$67.60,$6.14,$14.51,1%,1%,79%
Trentham Estate Rosé - Regular,6,$72.39,$6.57,$12.66,1%,1%,83%
Bang Bang Cauli,6,$104.79,$9.55,$16.57,1%,1%,84%
Arancini Balls [5pc],6,$134.27,$12.20,$0.00,1%,1%,0%
Large Super House Special,6,$149.00,$13.56,$44.28,1%,1%,70%
Lime,5,$0.00,$0.00,$0.00,1%,0%,0%
Tonic [mixer],5,$0.00,$0.00,$0.00,1%,0%,0%
Soda [mixer],5,$0.00,$0.00,$0.00,1%,0%,0%
Sweet Potato Fries,5,$67.14,$6.10,$12.64,1%,1%,81%
Large Margherita,5,$109.00,$9.92,$11.48,1%,1%,89%
Negroni,5,$86.45,$7.86,$19.33,1%,1%,78%
White Light Pure Vodka [House],5,$49.90,$4.54,$7.60,1%,0%,85%
Buffalo Wings,5,$90.35,$8.20,$19.51,1%,1%,78%
Large Pepperoni,5,$68.00,$6.19,$22.82,1%,1%,66%
Flower Child,5,$111.44,$10.14,$14.53,1%,1%,87%
Crankshaft IPA - Pint,5,$88.07,$8.00,$19.56,1%,1%,78%
Beetle Juice,5,$84.32,$7.66,$18.35,1%,1%,78%
Large Meatlovers,4,$90.00,$8.19,$29.00,0%,1%,68%
Tommy's Margarita,4,$92.00,$8.36,$20.55,0%,1%,78%
Chicken Shindig Burger,4,$74.35,$6.76,$19.07,0%,1%,74%
Whispering Angel Rosé - Regular,4,$113.84,$10.37,$26.20,0%,1%,77%
Baked Camembert,4,$101.23,$9.19,$0.00,0%,1%,0%
No Onion,4,$0.00,$0.00,$0.00,0%,0%,0%
Regular Super House Special,4,$94.00,$8.54,$21.14,0%,1%,78%
Large Little Italy,4,$120.00,$10.91,$34.33,0%,1%,71%
Onion Rings,4,$49.58,$4.49,$0.00,0%,0%,0%
$2 BBQ Wing,4,$8.26,$0.74,$1.57,0%,0%,81%
Coconut Margarita,4,$94.27,$8.57,$16.87,0%,1%,82%
Large Cosmopolitan,4,$75.00,$6.81,$27.04,0%,1%,64%
Garlic Bread,4,$18.00,$1.63,$5.68,0%,0%,68%
Beef Burrito,4,$97.27,$8.86,$27.09,0%,1%,72%
Grifter Pale - Pint,4,$48.30,$4.39,$13.34,0%,0%,72%
Side BBQ Sauce,4,$0.00,$0.00,$0.00,0%,0%,0%
Brookie's Byron Dry Gin Tonica,4,$84.69,$7.70,$20.91,0%,1%,75%
Regular Cosmopolitan,4,$89.00,$8.09,$19.36,0%,1%,78%
Regular Little Italy [Dine-in],4,$106.55,$9.66,$19.22,0%,1%,82%
Fish Tacos,3,$61.97,$5.65,$6.55,0%,0%,89%
Aether Vodka,3,$35.64,$3.26,$7.56,0%,0%,79%
Chicken Burrito,3,$89.54,$8.14,$20.40,0%,1%,77%
Chicken Burrito D,3,$75.00,$6.81,$20.40,0%,1%,73%
Cauliflower Tacos,3,$61.98,$5.64,$0.00,0%,0%,0%
Geppetto Pinot Noir - Regular,3,$45.49,$4.12,$10.60,0%,0%,77%
Add Mushrooms,3,$4.50,$0.42,$0.00,0%,0%,0%
Add Grilled Chicken,3,$13.20,$1.20,$0.00,0%,0%,0%
Large Hawaiian,3,$76.00,$6.92,$9.79,0%,1%,87%
Bombay Dry [House],3,$25.23,$2.30,$6.46,0%,0%,74%
3 Glasses,3,$0.00,$0.00,$0.00,0%,0%,0%
Large Tandoori Chicken,3,$75.00,$6.81,$9.91,0%,1%,87%
Hendrick's Gin,3,$42.46,$3.85,$8.05,0%,0%,81%
Stow Schnitty,3,$82.46,$7.51,$15.98,0%,1%,81%
Regular Little Italy,3,$73.00,$6.63,$14.41,0%,1%,80%
Make It A Burrito Bowl [gluten-free],3,$0.00,$0.00,$0.00,0%,0%,0%
Petits Detours Rosé Mediterranee - Bottle,3,$166.40,$15.13,$49.49,0%,1%,70%
BBQ Wings D,3,$32.00,$2.90,$9.42,0%,0%,71%
Dirty,3,$0.00,$0.00,$0.00,0%,0%,0%
Version Two Sparkling - Bottle,3,$151.87,$13.80,$26.50,0%,1%,83%
Delivery Fee - Freshwater / Queenscliff,3,$15.00,$1.35,$0.00,0%,0%,0%
Regular New Yorker,3,$69.75,$6.34,$10.76,0%,1%,85%
Add Olives,3,$4.50,$0.42,$0.00,0%,0%,0%
San Pellegrino 500ml,3,$27.60,$2.52,$6.96,0%,0%,75%
Large BBQ Chicken Pizza,3,$55.50,$5.04,$13.03,0%,0%,77%
Status Quo - Schooner,3,$40.95,$3.73,$9.20,0%,0%,78%
Puerto Sunset,3,$71.28,$6.48,$14.52,0%,1%,80%
Fresh is Best Summer Lager - Pint,3,$28.59,$2.59,$6.39,0%,0%,78%
Regular Meatlovers,3,$75.00,$6.81,$15.57,0%,1%,79%
Beef Cheek,3,$123.67,$11.25,$0.00,0%,1%,0%
Fish Burrito,3,$71.26,$6.49,$17.01,0%,1%,76%
Ottelia Chardonnay - Regular,3,$48.00,$4.35,$10.38,0%,0%,78%
Olive,3,$0.00,$0.00,$0.00,0%,0%,0%
Heaps Normal Tin,3,$33.00,$3.00,$8.01,0%,0%,76%
On The Rocks,3,$0.00,$0.00,$0.00,0%,0%,0%
Regular Margherita,3,$51.00,$4.65,$3.69,0%,0%,93%
Philter Red - Pint,2,$30.00,$2.72,$6.80,0%,0%,77%
$45 FEAST,2,$90.00,$8.18,$0.00,0%,1%,0%
Swap for Sweet Potato Fries,2,$4.14,$0.38,$0.00,0%,0%,0%
Sprite 1.25L,2,$14.00,$1.28,$7.32,0%,0%,48%
Lemon,2,$0.00,$0.00,$0.00,0%,0%,0%
Swap Gravy for Aioli,2,$0.00,$0.00,$0.00,0%,0%,0%
