Product Name,Product Quantity,$ Sales,Total Tax,Cost,% of Quantity,% of Sale Amount,Gross Profit %
Large Hawaiian,4,$72.00,$6.55,$13.05,6%,7%,82%
Online Surcharge,3,$3.71,$0.00,$0.00,5%,0%,0%
Large Super House Special,3,$61.90,$5.63,$23.16,5%,6%,63%
Regular Uber Margherita [Dine-in],3,$66.65,$6.06,$9.58,5%,6%,86%
Add Prosciutto,2,$7.04,$0.64,$0.00,3%,1%,0%
Regular Little Italy [Dine-in],2,$57.20,$5.20,$9.61,3%,5%,83%
Regular Little Italy,2,$42.90,$3.90,$9.61,3%,4%,78%
Garlic Bread,2,$0.00,$0.00,$2.84,3%,0%,
Large Little Italy,2,$60.70,$5.52,$17.68,3%,6%,71%
Regular Hail Africa,2,$38.20,$3.47,$5.82,3%,4%,85%
Add Anchovies,2,$4.40,$0.40,$0.00,3%,0%,0%
Regular Sanchez,1,$25.00,$2.27,$3.39,2%,2%,86%
Add Pumpkin,1,$1.65,$0.15,$0.00,2%,0%,0%
Regular Hail Africa [Dine-in],1,$30.70,$2.79,$2.91,2%,3%,91%
Regular Truffalo Soldier,1,$24.00,$2.18,$3.27,2%,2%,86%
Regular New Yorker [Dine-in],1,$26.40,$2.40,$3.59,2%,2%,86%
Large Jimmy Jury,1,$29.70,$2.70,$6.19,2%,3%,79%
Regular Bubba Gump,1,$26.00,$2.36,$3.96,2%,2%,85%
Regular Cosmopolitan,1,$21.45,$1.95,$4.73,2%,2%,78%
Regular Margherita,1,$15.40,$1.40,$1.23,2%,1%,92%
Regular Meatlovers,1,$21.45,$1.95,$4.98,2%,2%,77%
$45 FEAST,1,$49.50,$4.50,$0.00,2%,5%,0%
Regular Pepperoni,1,$16.50,$1.50,$2.13,2%,2%,87%
Regular Hawaiian,1,$22.00,$2.00,$1.25,2%,2%,94%
Add Rocket,1,$1.65,$0.15,$0.00,2%,0%,0%
Large Margherita,1,$22.00,$2.00,$2.30,2%,2%,90%
Add Chilli,1,$1.10,$0.10,$0.00,2%,0%,0%
Add Olives,1,$1.65,$0.15,$0.00,2%,0%,0%
Coke Can,1,$4.00,$0.36,$1.89,2%,0%,53%
Delivery Fee - Freshwater / Queenscliff,1,$5.50,$0.50,$0.00,2%,1%,0%
Regular Garlic Cheese Pizza,1,$9.00,$0.82,$1.39,2%,1%,85%
Regular Super House Special,1,$24.00,$2.18,$5.53,2%,2%,77%
Regular Paddock,1,$21.45,$1.95,$3.10,2%,2%,86%
Cheesy Garlic Bread,1,$8.00,$0.73,$1.77,2%,1%,78%
Add Bacon,1,$4.40,$0.40,$0.00,2%,0%,0%
Add Fetta,1,$3.30,$0.30,$0.00,2%,0%,0%
Large Bubba Gump,1,$31.00,$2.82,$5.53,2%,3%,82%
Regular El Patron,1,$25.00,$2.27,$3.64,2%,2%,85%
Large Paddock,1,$31.00,$2.82,$5.11,2%,3%,84%
Under the Bridge Pizza,1,$11.44,$1.04,$4.08,2%,1%,64%
Large Meatlovers,1,$0.00,$0.00,$6.96,2%,0%,
Add Mushrooms,1,$1.65,$0.15,$0.00,2%,0%,0%
WINGS DEAL,1,$33.00,$3.00,$0.00,2%,3%,0%
Large Sanchez,1,$31.00,$2.82,$5.49,2%,3%,82%
Large Pepperoni,1,$28.00,$2.55,$4.56,2%,3%,84%
Large Roma Special,1,$27.50,$2.50,$5.63,2%,3%,80%
Sunkist 1.25L,1,$7.00,$0.64,$2.04,2%,1%,71%
Delivery Fee - Curl Curl / Manly / Dee Why,1,$7.15,$0.65,$0.00,2%,1%,0%
Less Cheese,1,$0.00,$0.00,$0.00,2%,0%,0%
,65,"$1,064.24",$96.42,$188.00,100%,100%,82%
