"Position","Product Number","Product","Quantity","Percent of Quantity","Sale Amount","Percent of Sale Amount","Cost","Percent of Gross Profit"
1,"","Mie Goreng",16,6,372,9,50.92,86
2,"","Sapporo - 500ml",15,5,217.5,5,55.65,74
3,"","Chicken",15,5,58.5,1,0,100
4,"","Tonkotsu",15,5,406,10,62.46,85
5,"","Harry's Lager - Schooner",12,4,114,3,19.5,83
6,"","Chicken Katsu Curry",12,4,324,8,34.28,89
7,"","1/2 Marinated Egg",11,4,18,0,0,100
8,"","Dumplings - Prawn Har Gow [GF]",10,3,188,5,44.14,77
9,"","BBQ Pork Buns",9,3,133.5,3,31.5,76
10,"","Lime",9,3,0,0,0,0
11,"","Fried Rice",8,3,186,5,21.44,88
12,"","Chicken Karaage",8,3,134.3,3,0,100
13,"","White Light Pure Vodka [House]",7,2,77,2,10.63,86
14,"","Shredded Beef",7,2,182,5,0,100
15,"","Devon's Prawn Toast",7,2,110.4,3,27.22,75
16,"","Harry's Lager - Pint",7,2,87.5,2,15.26,83
17,"","Angas & Bremer Grenache - Regular",6,2,52,1,10.52,80
18,"","Soda",6,2,0,0,0,0
19,"","Dumplings - Veg Gyoza",6,2,84,2,11.77,86
20,"","Duck Spring Roll",4,1,62.4,2,14.29,77
21,"","Azurescens Pinot Noir - Regular",4,1,60,2,11.2,81
22,"","Classic Margarita",4,1,66,2,13.06,80
23,"","Yuzu Orange Soda",4,1,36,1,0,100
24,"","Old Fashioned",4,1,80,2,17.36,78
25,"","Miso",4,1,98.6,2,0,100
26,"","Popcorn Cauliflower",4,1,59,1,3.91,93
27,"","Tofu",4,1,15,0,0,100
28,"","Margato",4,1,80,2,15.38,81
29,"","Dumplings - Beef & Cabbage",3,1,40.6,1,4.42,89
30,"","Chilli Bomb",3,1,6,0,0,100
31,"","River Retreat Pinot Grigio - Regular",3,1,21,1,6.03,71
32,"","Rice Pudding",3,1,28.5,1,0,100
33,"","Demon Slayer",2,1,28,1,8.17,71
34,"","Carafe Sparkling Water",2,1,10,0,0,100
35,"","Edamame",2,1,22,1,0,100
36,"","Vegetarian Spring Rolls",2,1,28,1,3.3,88
37,"","Seitan Katsu Curry [vegan]",2,1,54,1,1.8,97
38,"","Buffalo Trace Bourbon Whisky [House]",2,1,12.6,0,4.17,67
39,"","Dragon Soda",2,1,18,0,0,100
40,"","Pepsi",2,1,0,0,0,0
41,"","BBQ Meat Platter",2,1,80,2,0,100
42,"","Fried Egg",2,1,8,0,0,100
43,"","Pepsi Max Glass",2,1,9,0,2.62,71
44,"","Trutta Streamside Shiraz - Regular [HG]",2,1,32,1,7.22,77
45,"","Lychee Martini",2,1,38,1,6.28,83
46,"","Kuku Sauv Blanc - Regular",2,1,26,1,5.2,80
47,"","Grifter Pale - Schooner [HG]",2,1,14,0,0,100
48,"","Drunken Koi",2,1,25.2,1,5.31,79
49,"","Diet Coke Can",1,0,4,0,0,100
50,"","Aperol Spritz",1,0,19,0,3.45,82
51,"","Swap for Chicken",1,0,0,0,0,0
52,"","Crouching Tiger",1,0,21,1,4.02,81
53,"","Virgin Margy",1,0,13,0,0,100
54,"","Kids Mie Goreng",1,0,13,0,0,100
55,"","From Sundays Shiraz - Regular",1,0,15,0,2.8,81
56,"","Lemon Lime Bitters",1,0,4.5,0,0,100
57,"","Black Garlic Oil",1,0,2,0,0,100
58,"","Grifter Big Sur IPA Can [HG]",1,0,14,0,0,100
59,"","Lemonade",1,0,0,0,0,0
60,"","Extra Piece Prawn Toast",1,0,5,0,0,100
61,"","Philter Old Ale [HG]",1,0,11,0,3.21,71
62,"","Jasmine Rice",1,0,5,0,0,100
63,"","GFO [GF Ramen Noodles]",1,0,3,0,0,100
64,"","Swap for Tofu [Make it Vegan]",1,0,0,0,0,0
65,"","Extra Pork.",1,0,5,0,0,100
66,"","Gado Gado",1,0,22,1,0,100
67,"","Ginger Beer Glass [HG]",1,0,4,0,0,100
68,"","Sensei Highball",1,0,12,0,1.3,89
69,"","Kids Fried Rice",1,0,13,0,0,100
