Product Name,Product Quantity,$ Sales,Total Tax,Cost,% of Quantity,% of Sale Amount,Gross Profit %
Regular Little Italy [Dine-in],3,$78.85,$7.16,$14.41,12%,15%,82%
Garlic Bread,2,$6.50,$0.59,$2.84,8%,1%,56%
Large Little Italy,2,$62.00,$5.64,$17.68,8%,12%,71%
Large Sanchez,2,$58.00,$5.27,$10.98,8%,11%,81%
Sour Cream,1,$1.00,$0.09,$0.00,4%,0%,0%
Large Hawaiian,1,$28.00,$2.55,$3.26,4%,5%,88%
Large Cosmopolitan,1,$25.00,$2.27,$6.61,4%,5%,74%
Large Uber Margherita,1,$27.00,$2.45,$4.46,4%,5%,83%
Coke Zero Can,1,$4.00,$0.36,$1.89,4%,1%,53%
Large Truffalo Soldier,1,$25.00,$2.27,$4.56,4%,5%,82%
Gluten-free Uber Margherita [Dine-in],1,$28.00,$2.54,$7.63,4%,5%,73%
Regular Sanchez VEGAN [Dine-in],1,$26.00,$2.36,$3.02,4%,5%,88%
Regular El Patron [Dine-in],1,$26.00,$2.36,$3.64,4%,5%,86%
Gluten-free El Patron [Dine-in],1,$31.00,$2.82,$8.63,4%,6%,72%
Large BBQ Chicken Pizza,1,$30.50,$2.77,$4.17,4%,6%,86%
Large Meatlovers,1,$31.00,$2.82,$6.96,4%,6%,78%
Regular Hawaiian,1,$15.00,$1.36,$1.25,4%,3%,92%
Regular Uber Margherita [Dine-in],1,$23.00,$2.09,$3.19,4%,4%,86%
Regular Jimmy Jury [Dine-in],1,$10.80,$0.98,$3.34,4%,2%,69%
Less Cheese,1,$0.00,$0.00,$0.00,4%,0%,0%
,25,$536.65,$48.75,$108.52,100%,100%,80%
