Product Name,Product Quantity,$ Sales,Total Tax,Cost,% of Quantity,% of Sale Amount,Gross Profit %
Version Two Pinot Grigio - Regular,13,$110.20,$10.06,$22.97,4%,3%,79%
Villa Fresco Sangiovese - Regular,11,$109.20,$9.93,$26.53,4%,3%,76%
Version Two Sparkling - Regular,9,$74.02,$6.75,$15.90,3%,2%,79%
Fresh is Best Lager - Schooner,8,$72.51,$6.57,$14.64,3%,2%,80%
Fresh is Best Lager - Pint,7,$77.50,$7.06,$17.18,2%,2%,78%
Rosemary Salted Fries,6,$79.51,$7.21,$11.13,2%,2%,86%
Mulled Wine,6,$90.98,$8.24,$12.42,2%,2%,86%
Espresso Martini,5,$96.65,$8.80,$16.18,2%,3%,83%
Kuku Sauvignon Blanc - Regular,5,$69.52,$6.30,$14.57,2%,2%,79%
Philter XPA - Pint,5,$57.49,$5.22,$15.00,2%,1%,74%
Regular Jimmy Jury [Dine-in],5,$84.00,$7.67,$16.68,2%,2%,80%
Large Super House Special,5,$89.00,$8.10,$36.90,2%,2%,59%
Regular Tandoori Chicken [Dine-in],4,$62.97,$5.74,$9.46,1%,2%,85%
Regular Sanchez [Dine-in],4,$73.20,$6.67,$13.57,1%,2%,81%
Guinness Draught - Pint,4,$63.00,$5.72,$18.85,1%,2%,70%
Stone & Wood - Schooner,4,$53.72,$4.88,$12.96,1%,1%,76%
Philter Red - Pint,4,$60.98,$5.52,$13.60,1%,2%,78%
Kids Nuggets & Chips,4,$23.40,$2.12,$8.98,1%,1%,62%
Send Kids Food ASAP,4,$0.00,$0.00,$0.00,1%,0%,0%
Lemonade Glass,3,$13.50,$1.23,$0.00,1%,0%,0%
Ottelia Chardonnay - Regular,3,$48.00,$4.35,$10.38,1%,1%,78%
Add Pineapple,3,$4.50,$0.42,$0.00,1%,0%,0%
Grifter Pale - Pint,3,$39.98,$3.62,$9.99,1%,1%,75%
Regular Little Italy [Dine-in],3,$55.17,$5.02,$14.41,1%,1%,74%
Regular Hail Africa [Dine-in],3,$52.20,$4.76,$8.74,1%,1%,83%
