Product Name,Product Quantity,$ Sales,Total Tax,Cost,% of Quantity,% of Sale Amount,Gross Profit %
1/2 Marinated Egg,9,$18.00,$1.62,$0.00,7%,1%,0%
Miso,8,$176.00,$16.00,$0.00,6%,9%,0%
Tonkotsu,8,$163.60,$14.88,$33.31,6%,8%,80%
Pepsi Max Glass,6,$27.00,$2.46,$7.86,4%,1%,71%
Classic Margarita,5,$90.00,$8.18,$16.32,4%,5%,82%
Unlimited Dumplings,5,$120.00,$10.91,$35.05,4%,6%,71%
Shoyu,5,$110.00,$10.00,$0.00,4%,6%,0%
Dumplings - Prawn Har Gow [GF],5,$94.00,$8.57,$22.07,4%,5%,77%
Chicken Karaage,4,$57.80,$5.27,$0.00,3%,3%,0%
Unlimited BBQ,4,$180.00,$16.36,$34.34,3%,9%,81%
Aperol Spritz,4,$76.00,$6.91,$15.84,3%,4%,79%
Harry's Lager - Schooner,4,$32.05,$2.91,$6.68,3%,2%,79%
Edamame,4,$44.00,$4.00,$0.00,3%,2%,0%
Angas & Bremer Grenache - Regular,4,$35.60,$3.24,$7.02,3%,2%,80%
Sapporo - Schooner,3,$27.00,$2.46,$9.69,2%,1%,64%
Dumplings - Beef & Cabbage,3,$40.60,$3.71,$4.42,2%,2%,89%
Swap for Chicken,3,$0.00,$0.00,$0.00,2%,0%,0%
Kids Dumplings - Beef,3,$24.00,$2.19,$0.00,2%,1%,0%
L'esprit Rosé - Regular,2,$32.00,$2.90,$7.20,1%,2%,78%
Chicken.,2,$4.00,$0.36,$0.00,1%,0%,0%
Duck Spring Roll,2,$32.00,$2.90,$7.14,1%,2%,78%
Dumplings - Veg Gyoza,2,$26.60,$2.41,$3.92,1%,1%,85%
Harry's Lager - Pint,2,$25.00,$2.28,$4.48,1%,1%,82%
Trutta Streamside Shiraz - Regular [HG],2,$30.40,$2.75,$7.22,1%,2%,76%
Shredded Beef,2,$52.00,$4.72,$0.00,1%,3%,0%
Azurescens Pinot Noir - Large,2,$48.00,$4.36,$9.33,1%,2%,81%
Devon's Prawn Toast,2,$32.00,$2.90,$7.78,1%,2%,76%
Lemonade Glass,2,$9.00,$0.81,$0.00,1%,0%,0%
Chicken,2,$8.00,$0.72,$0.00,1%,0%,0%
Kids Dumplings - Vegetable,2,$16.00,$1.46,$0.00,1%,1%,0%
Kids Mie Goreng,2,$26.00,$2.36,$0.00,1%,1%,0%
Geppetto Chardonnay - Regular,2,$30.00,$2.72,$6.23,1%,2%,79%
Lemon Chu-hi,2,$24.00,$2.18,$3.04,1%,1%,87%
Fried Rice,2,$46.00,$4.18,$5.36,1%,2%,88%
On the Rocks,2,$0.00,$0.00,$0.00,1%,0%,0%
GFO [GF Ramen Noodles],2,$6.00,$0.54,$0.00,1%,0%,0%
Popcorn Cauliflower,2,$30.00,$2.72,$1.96,1%,2%,93%
Bamboo Shoots,1,$2.00,$0.18,$0.00,1%,0%,0%
Kuku Sauv Blanc - Regular,1,$13.00,$1.18,$2.60,1%,1%,80%
Chocolate Brownie [HG],1,$0.00,$0.00,$0.00,1%,0%,0%
BBQ Pork Buns,1,$15.00,$1.36,$3.50,1%,1%,77%
Remove Black Mushroom,1,$0.00,$0.00,$0.00,1%,0%,0%
Jasmine Rice,1,$2.00,$0.18,$0.00,1%,0%,0%
Azurescens Pinot Noir - Regular,1,$13.50,$1.22,$2.80,1%,1%,79%
Sapporo - 500ml,1,$16.50,$1.50,$3.80,1%,1%,77%
Angas & Bremer Grenache - Large,1,$18.90,$1.72,$2.92,1%,1%,85%
Grifter Pale - Schooner [HG],1,$11.50,$1.05,$0.00,1%,1%,0%
Swap for Tofu,1,$0.00,$0.00,$0.00,1%,0%,0%
Mie Goreng,1,$23.00,$2.09,$3.18,1%,1%,86%
Chicken Katsu Curry,1,$27.00,$2.45,$2.86,1%,1%,89%
,138,"$1,935.05",$175.87,$277.92,100%,100%,86%
