"Position","Product Number","Product","Quantity","Percent of Quantity","Sale Amount","Percent of Sale Amount","Cost","Percent of Gross Profit"
1,"","Shredded Beef",7,7,182,12,0,100
2,"","Miso",6,6,127.6,8,0,100
3,"","Devon's Prawn Toast",5,5,80,5,19.44,76
4,"","Sapporo - 500ml",5,5,75,5,18.55,75
5,"","Tonkotsu",4,4,116,8,16.66,86
6,"","Dumplings - Veg Gyoza",4,4,56,4,7.84,86
7,"","Dumplings - Prawn Har Gow [GF]",4,4,76,5,17.65,77
8,"","BBQ Pork Buns",4,4,60,4,14,77
9,"","Duck Spring Roll",4,4,64,4,14.29,78
10,"","Fried Rice",4,4,96,6,10.72,89
11,"","Angas & Bremer Grenache - Regular",3,3,21,1,5.26,75
12,"","1/2 Marinated Egg",3,3,4,0,0,100
13,"","Classic Margarita",3,3,57,4,9.79,83
14,"","River Retreat Pinot Grigio - Regular",2,2,14,1,4.02,71
15,"","Chilli Bomb",2,2,4,0,0,100
16,"","Extra Piece Prawn Toast",2,2,10,1,0,100
17,"","Unlimited BBQ",2,2,90,6,17.17,81
18,"","Jasmine Rice",2,2,10,1,0,100
19,"","Fried Egg",2,2,7,0,0,100
20,"","Rice Pudding",2,2,19,1,0,100
21,"","From Sundays Shiraz - Regular",2,2,30,2,5.6,81
22,"","Harry's Lager - Pint",2,2,25,2,4.36,83
23,"","Mie Goreng",2,2,47,3,6.36,86
24,"","Angas & Bremer Rosé - Regular",2,2,14,1,3.86,72
25,"","Grifter Big Sur IPA Can [HG]",2,2,28,2,0,100
26,"","Corona",2,2,22,1,5.31,76
27,"","Vegetarian Spring Rolls",2,2,28,2,3.3,88
28,"","Chicken Karaage",2,2,34,2,0,100
29,"","Swap for Tofu [Make it Vegan]",2,2,0,0,0,0
30,"","Edamame",1,1,11,1,0,100
31,"","Extra Tofu.",1,1,4,0,0,100
32,"","Dumplings - Beef & Cabbage",1,1,14,1,1.47,89
33,"","Lemonade Glass",1,1,4.5,0,0,100
34,"","Angas & Bremer Rosé - Bottle",1,1,49,3,9.65,80
35,"","Chicken",1,1,3.5,0,0,100
36,"","Extra  Piece",1,1,5,0,0,100
37,"","Popcorn Cauliflower",1,1,15,1,0.98,93
38,"","Harry's Lager - Schooner",1,1,9.5,1,1.62,83
39,"","Extra Piece",1,1,4,0,0,100
40,"","3 Glasses",1,1,0,0,0,0
41,"","GFO [GF Ramen Noodles]",1,1,0,0,0,0
42,"","Extra Pork.",1,1,5,0,0,100
