Product Name,Product Quantity,$ Sales,Total Tax,Cost,% of Quantity,% of Sale Amount,Gross Profit %
Sapporo - 500ml,7,$38.70,$3.52,$26.60,11%,4%,31%
Dumplings - Prawn Har Gow [GF],4,$72.20,$6.57,$17.65,6%,8%,76%
Harry's Lager - Schooner,4,$35.50,$3.22,$6.68,6%,4%,81%
Harry's Lager - Pint,3,$34.00,$3.10,$6.72,5%,4%,80%
Chicken Katsu Curry,3,$81.00,$7.35,$8.57,5%,9%,89%
Edamame,3,$30.80,$2.81,$0.00,5%,3%,0%
Chicken,3,$4.00,$0.36,$0.00,5%,0%,0%
Tonkotsu,3,$87.00,$7.91,$12.49,5%,10%,86%
Fried Rice,3,$70.00,$6.36,$8.04,5%,8%,89%
Miso,2,$52.20,$4.75,$0.00,3%,6%,0%
Popcorn Cauliflower,2,$29.00,$2.63,$1.96,3%,3%,93%
Unlimited BBQ,2,$90.00,$8.18,$17.17,3%,10%,81%
River Retreat Pinot Grigio - Regular,2,$24.00,$2.18,$4.02,3%,3%,83%
Dumplings - Veg Gyoza,2,$28.00,$2.54,$3.92,3%,3%,86%
Dumplings - Beef & Cabbage,1,$14.00,$1.27,$1.47,2%,2%,89%
Fried Egg,1,$0.00,$0.00,$0.00,2%,0%,0%
Chicken Karaage,1,$17.00,$1.55,$0.00,2%,2%,0%
From Sundays Shiraz - Regular,1,$15.00,$1.37,$2.80,2%,2%,81%
1/2 Marinated Egg,1,$2.00,$0.18,$0.00,2%,0%,0%
Gado Gado,1,$0.00,$0.00,$0.00,2%,0%,0%
Extra Piece Prawn Toast,1,$5.00,$0.45,$0.00,2%,1%,0%
Mie Goreng,1,$0.00,$0.00,$3.18,2%,0%,
Tofu,1,$4.00,$0.36,$0.00,2%,0%,0%
Margato,1,$0.00,$0.00,$3.84,2%,0%,
Sapporo - Schooner,1,$13.00,$1.18,$3.23,2%,1%,75%
Duck Spring Roll,1,$16.00,$1.45,$3.57,2%,2%,78%
Ottelia Cab Sav - Regular,1,$18.00,$1.64,$4.73,2%,2%,74%
River Retreat Pinot Grigio - Bottle,1,$49.00,$4.45,$10.05,2%,6%,79%
3 Glasses,1,$0.00,$0.00,$0.00,2%,0%,0%
Soda & Lime Glass,1,$3.00,$0.27,$0.00,2%,0%,0%
Extra Pork.,1,$4.00,$0.36,$0.00,2%,0%,0%
Shredded Beef,1,$26.00,$2.36,$0.00,2%,3%,0%
Gluten-Free,1,$0.00,$0.00,$0.00,2%,0%,0%
Pepsi Glass,1,$4.50,$0.41,$1.31,2%,1%,71%
Devon's Prawn Toast,1,$16.00,$1.45,$3.89,2%,2%,76%
,64,$882.90,$80.23,$151.90,100%,100%,83%
