Reporting Group Name,Total Quantity,$ Sales,Total Tax,Cost,# of Sales,# of products,% of Quantity,% of Sale Amount,Gross Profit %
Add-ons - Pizza,1,$1.60,$0.14,$0.00,1,1,100%,100%,0%
,1,$1.60,$0.14,$0.00,1,1,100%,100%,0%
