date,revenue_ex_gst,cogs_dollars,cogs_pct,wages_dollars,wages_pct,delivery_dollars,delivery_pct,gp_dollars,gp_pct,cogs_alert,wages_alert,delivery_alert,gp_alert,food_ex_gst,bev_ex_gst,food_cogs,bev_cogs,food_cogs_pct,bev_cogs_pct,food_gp_pct,bev_gp_pct,wages_kitchen_dollars,wages_foh_dollars,wages_driver_dollars,wages_kitchen_pct,wages_foh_pct,cogs_food_alert,cogs_bev_alert,wages_kitchen_alert,wages_foh_alert,uber_eats_revenue,uber_direct_dollars,leave_dollars
2025-07-11,3430.84,42.04,1.2,1323.03,38.6,298.49,8.7,3388.8,98.8,green,unknown,unknown,unknown,3430.84,0.0,42.04,0.0,1.2,,98.8,,1024.54,0.0,298.49,29.9,,unknown,unknown,unknown,unknown,0,,
2025-07-12,2968.08,103.26,3.5,1318.66,44.4,260.92,8.8,2864.82,96.5,green,unknown,unknown,unknown,2968.08,0.0,103.26,0.0,3.5,,96.5,,1057.74,0.0,260.92,35.6,,unknown,unknown,unknown,unknown,0,,
2025-07-13,1122.15,16.11,1.4,755.07,67.3,165.21,14.7,1106.04,98.6,green,unknown,unknown,unknown,1122.15,0.0,16.11,0.0,1.4,,98.6,,589.86,0.0,165.21,52.6,,unknown,unknown,unknown,unknown,0,,
2025-07-15,1127.14,5.1,0.5,772.95,68.6,70.56,6.3,1122.04,99.5,green,unknown,unknown,unknown,1127.14,0.0,5.1,0.0,0.5,,99.5,,702.39,0.0,70.56,62.3,,unknown,unknown,unknown,unknown,0,,
2025-07-16,1675.67,162.81,9.7,824.51,49.2,76.77,4.6,1512.86,90.3,green,unknown,unknown,unknown,1675.67,0.0,162.81,0.0,9.7,,90.3,,747.75,0.0,76.77,44.6,,unknown,unknown,unknown,unknown,0,,
2025-07-17,1123.25,10.3,0.9,769.66,68.5,79.99,7.1,1112.95,99.1,green,unknown,unknown,unknown,1123.25,0.0,10.3,0.0,0.9,,99.1,,689.67,0.0,79.99,61.4,,unknown,unknown,unknown,unknown,0,,
2025-07-18,3438.86,19.85,0.6,1140.64,33.2,342.5,10.0,3419.01,99.4,green,unknown,unknown,unknown,3438.86,0.0,19.85,0.0,0.6,,99.4,,798.14,0.0,342.5,23.2,,unknown,unknown,unknown,unknown,0,,
2025-07-19,3046.02,27.06,0.9,1431.57,47.0,279.67,9.2,3018.96,99.1,green,unknown,unknown,unknown,3046.02,0.0,27.06,0.0,0.9,,99.1,,1151.89,0.0,279.67,37.8,,unknown,unknown,unknown,unknown,0,,
2025-07-20,1616.81,16.45,1.0,920.65,56.9,185.61,11.5,1600.36,99.0,green,unknown,unknown,unknown,1616.81,0.0,16.45,0.0,1.0,,99.0,,735.04,0.0,185.61,45.5,,unknown,unknown,unknown,unknown,0,,
2025-07-22,844.01,6.12,0.7,602.2,71.4,82.98,9.8,837.89,99.3,green,unknown,unknown,unknown,844.01,0.0,6.12,0.0,0.7,,99.3,,519.22,0.0,82.98,61.5,,unknown,unknown,unknown,unknown,0,,
2025-07-23,1082.42,32.64,3.0,673.57,62.2,65.52,6.1,1049.78,97.0,green,unknown,unknown,unknown,1082.42,0.0,32.64,0.0,3.0,,97.0,,608.05,0.0,65.52,56.2,,unknown,unknown,unknown,unknown,0,,
2025-07-24,1262.12,4.19,0.3,723.05,57.3,71.13,5.6,1257.93,99.7,green,unknown,unknown,unknown,1262.12,0.0,4.19,0.0,0.3,,99.7,,651.92,0.0,71.13,51.7,,unknown,unknown,unknown,unknown,0,,
2025-07-25,4786.85,64.27,1.3,1378.37,28.8,282.45,5.9,4722.58,98.7,green,unknown,unknown,unknown,4786.85,0.0,64.27,0.0,1.3,,98.7,,1095.92,0.0,282.45,22.9,,unknown,unknown,unknown,unknown,0,,
2025-07-26,3057.02,28.59,0.9,1389.36,45.4,275.69,9.0,3028.43,99.1,green,unknown,unknown,unknown,3057.02,0.0,28.59,0.0,0.9,,99.1,,1113.67,0.0,275.69,36.4,,unknown,unknown,unknown,unknown,0,,
2025-07-27,1925.58,5.67,0.3,1040.14,54.0,255.34,13.3,1919.91,99.7,green,unknown,unknown,unknown,1925.58,0.0,5.67,0.0,0.3,,99.7,,784.8,0.0,255.34,40.8,,unknown,unknown,unknown,unknown,0,,
