date,revenue_ex_gst,cogs_dollars,cogs_pct,wages_dollars,wages_pct,delivery_dollars,delivery_pct,gp_dollars,gp_pct,eatclub_giveaway_ex_gst,eatclub_covers,cogs_alert,wages_alert,delivery_alert,gp_alert,food_ex_gst,bev_ex_gst,food_cogs,bev_cogs,food_cogs_pct,bev_cogs_pct,food_gp_pct,bev_gp_pct,wages_kitchen_dollars,wages_foh_dollars,wages_driver_dollars,wages_admin_dollars,wages_assumed_dollars,wages_assumed_shifts,wages_kitchen_pct,wages_foh_pct,cogs_food_alert,cogs_bev_alert,wages_kitchen_alert,wages_foh_alert,uber_eats_revenue,uber_direct_dollars,leave_dollars
2026-07-06,2344.19,498.13,21.2,847.32,36.1,,,1846.06,78.8,,,green,green,n/a,green,32.91,2311.28,4.11,494.02,12.5,21.4,87.5,78.6,0,847.32,0,0,847.32,0,0.0,36.7,green,green,green,red,0,,
2026-07-07,2309.6,509.97,22.1,1037.47,44.9,,,1799.63,77.9,,,green,amber,n/a,green,212.48,2097.12,42.13,467.84,19.8,22.3,80.2,77.7,140.0,774.57,0,122.89,914.57,0,65.9,36.9,green,yellow,red,red,0,,
2026-07-08,4091.77,940.97,23.0,2447.66,59.8,,,3150.8,77.0,,,green,red,n/a,green,1404.47,2687.3,268.18,672.79,19.1,25.0,80.9,75.0,995.23,695.93,0,756.51,1691.16,0,70.9,25.9,green,amber,red,yellow,0,,
2026-07-09,5308.68,1175.23,22.1,1872.27,35.3,,,4133.45,77.9,,,green,green,n/a,green,1622.26,3686.42,276.7,898.53,17.1,24.4,82.9,75.6,794.04,550.62,0,527.61,1344.66,0,48.9,14.9,green,yellow,red,green,0,,
2026-07-10,9778.04,2117.72,21.7,4019.36,41.1,,,7660.32,78.3,,,green,green,n/a,green,2074.33,7703.71,287.87,1829.85,13.9,23.8,86.1,76.2,1070.62,2421.13,0,527.61,3491.75,0,51.6,31.4,green,yellow,red,yellow,0,,
2026-07-11,9140.22,1962.83,21.5,2812.43,30.8,,,7177.39,78.5,,,green,green,n/a,green,2481.61,6658.57,419.12,1543.71,16.9,23.2,83.1,76.8,1065.3,1663.72,0,83.4,2729.03,0,42.9,25.0,green,yellow,red,yellow,0,,
2026-07-12,9033.82,1673.3,18.5,2639.75,29.2,,,7360.52,81.5,,,green,green,n/a,green,4228.68,4805.14,691.82,981.48,16.4,20.4,83.6,79.6,1114.49,1149.97,0,375.3,2264.45,0,26.4,23.9,green,green,red,red,0,,
2026-07-13,1564.18,414.51,26.5,788.65,50.4,,,1149.67,73.5,14.2,1,green,red,n/a,green,0.0,1578.36,0.0,414.51,,26.3,,73.7,0,788.65,0,0,788.65,0,,50.0,unknown,amber,unknown,red,0,,
2026-07-14,1997.24,456.83,22.9,2642.63,132.3,,,1540.41,77.1,96.79,4,green,red,n/a,green,448.15,1645.81,87.06,369.77,19.4,22.5,80.6,77.5,364.48,406.24,0,1871.91,770.72,0,81.3,24.7,green,yellow,red,amber,0,,
2026-07-15,5361.11,1279.56,23.9,1252.23,23.4,,,4081.55,76.1,51.45,2,green,green,n/a,green,1847.02,3565.43,406.72,872.84,22.0,24.5,78.0,75.5,353.85,821.96,0,76.43,1175.8,0,19.2,23.1,green,yellow,red,yellow,0,,
2026-07-16,3915.44,842.35,21.5,2195.2,56.1,,,3073.09,78.5,,,green,red,n/a,green,1279.65,2635.64,210.39,631.96,16.4,24.0,83.6,76.0,1161.06,1034.13,0,0,2195.2,0,90.7,39.2,green,yellow,red,red,0,,
2026-07-17,10375.54,2224.65,21.4,1892.42,18.2,,,8150.89,78.6,4.53,1,green,green,n/a,green,2054.13,8325.74,318.12,1906.53,15.5,22.9,84.5,77.1,481.23,1411.19,0,0,1892.42,0,23.4,16.9,green,yellow,red,green,0,,
2026-07-18,10267.76,2262.25,22.0,3935.4,38.3,,,8005.51,78.0,81.69,9,green,green,n/a,green,2852.76,7496.71,514.3,1747.95,18.0,23.3,82.0,76.7,1799.94,2135.46,0,0,4311.62,2,63.1,28.5,green,yellow,yellow,yellow,0,,
2026-07-19,12072.98,2786.46,23.1,2835.43,23.5,,,9286.52,76.9,0.0,0,green,green,n/a,green,4402.56,7670.41,753.79,2032.67,17.1,26.5,82.9,73.5,1353.6,1481.83,0,0,3368.41,1,30.7,19.3,green,amber,red,yellow,0,,
2026-07-20,1244.09,291.86,23.5,766.1,61.6,,,952.23,76.5,0.0,0,green,red,n/a,green,35.36,1208.73,4.11,287.75,11.6,23.8,88.4,76.2,0,766.1,0,0,718.9,1,0.0,63.4,green,yellow,green,red,0,,
