"Position","Product Number","Product","Quantity","Percent of Quantity","Sale Amount","Percent of Sale Amount","Cost","Percent of Gross Profit"
1,"","Unlimited Dumplings",32,38,768,62,224.33,71
2,"","Pepsi Max Glass",9,11,40.5,3,11.79,71
3,"","Lemon Lime Bitters",8,9,36,3,0,100
4,"","River Retreat Pinot Grigio - Regular",4,5,48,4,8.04,83
5,"","Lemonade Glass",3,4,13.5,1,0,100
6,"","Harry's Lager - Schooner",2,2,19,2,3.25,83
7,"","Kuku Sauv Blanc - Regular",2,2,26,2,5.2,80
8,"","Orange Juice Glass",2,2,8,1,0,100
9,"","Classic Margarita",2,2,33,3,6.53,80
10,"","Dragon Soda",2,2,18,1,0,100
11,"","Yuzu Orange Soda",2,2,18,1,0,100
12,"","Sapporo - 500ml",2,2,25.5,2,7.42,71
13,"","S&W Pacific Ale - Schooner [HG]",1,1,13,1,0,100
14,"","Jasmine Rice",1,1,5,0,0,100
15,"","White Light Pure Vodka [House]",1,1,11,1,1.52,86
16,"","Dumplings - Veg Gyoza",1,1,14,1,1.96,86
17,"","BBQ Pork Buns",1,1,15,1,3.5,77
18,"","Lime",1,1,0,0,0,0
19,"","S&W Pacific Ale - Pint [HG]",1,1,17,1,0,100
20,"","Soda",1,1,0,0,0,0
21,"","Duck Spring Roll",1,1,16,1,3.57,78
22,"","Chicken Burrito [HG]",1,1,11.2,1,0,100
23,"","Fried Rice",1,1,24,2,2.68,89
24,"","Shredded Beef",1,1,26,2,0,100
25,"","Pepsi Glass",1,1,4.5,0,1.31,71
26,"","Chicken Karaage",1,1,17,1,0,100
27,"","Lemon Chu-hi",1,1,12,1,1.52,87
