Product Name,Product Quantity,$ Sales,Total Tax,Cost,% of Quantity,% of Sale Amount,Gross Profit %
Unlimited Dumplings,43,"$1,032.00",$93.74,$0.00,24%,38%,0%
Guinness Draught - Pint,15,$263.07,$23.90,$70.77,8%,10%,73%
Fresh is Best Lager - Schooner,8,$68.50,$6.22,$14.62,4%,3%,79%
Pepsi Glass,8,$36.00,$3.28,$0.00,4%,1%,0%
Fresh is Best Lager - Pint,6,$75.00,$6.84,$14.71,3%,3%,80%
Petits Detours Rosé - Regular,6,$96.53,$8.75,$20.98,3%,4%,78%
Pepsi Max Glass,5,$22.50,$2.05,$0.00,3%,1%,0%
"Lemon, Lime & Bitters",5,$25.16,$2.26,$0.00,3%,1%,0%
Classic Margarita,4,$68.00,$6.18,$16.10,2%,3%,76%
Fresh is Best Summer Lager - Schooner,4,$31.00,$2.82,$6.35,2%,1%,80%
Fresh Lime Soda,4,$14.11,$1.29,$0.00,2%,1%,0%
Stone & Wood - Schooner,4,$52.85,$4.80,$12.99,2%,2%,75%
Version Two Pinot Grigio - Regular,4,$39.01,$3.54,$7.07,2%,1%,82%
Grifter Pale - Schooner,3.7,$33.55,$3.06,$9.18,2%,1%,73%
Villa Fresco Sangiovese - Regular,3,$28.60,$2.60,$7.24,2%,1%,75%
White Light Pure Vodka [House],3,$21.00,$1.92,$4.56,2%,1%,78%
Aperol Spritz,3,$54.46,$4.95,$10.66,2%,2%,80%
Peroni 0%,3,$27.00,$2.46,$5.56,2%,1%,79%
Grifter Pale - Pint,3,$33.00,$3.00,$9.99,2%,1%,70%
Status Quo - Pint,3,$53.66,$4.89,$12.49,2%,2%,77%
Katsu Curry,3,$83.65,$7.59,$0.00,2%,3%,0%
Philter XPA - Schooner,2,$14.00,$1.28,$4.47,1%,1%,68%
Lemonade Glass,2,$9.00,$0.82,$0.00,1%,0%,0%
Shredded Beef,2,$52.85,$4.80,$0.00,1%,2%,0%
Outback Prawn Toast,2,$33.04,$3.00,$0.00,1%,1%,0%
Karaage Chicken,2,$32.00,$2.90,$0.00,1%,1%,0%
Ottelia Cab Sav - Regular,2,$34.00,$3.10,$9.22,1%,1%,73%
Crankshaft IPA - Pint,2,$35.00,$3.18,$7.82,1%,1%,78%
Lemon Meringue Martini,2,$32.00,$2.90,$6.99,1%,1%,78%
Bombay Dry [House],1,$7.00,$0.64,$2.15,1%,0%,69%
Crankshaft IPA - Schooner,1,$13.50,$1.23,$2.92,1%,1%,78%
Dumplings - Beef & Cabbage,1,$13.43,$1.22,$0.00,1%,1%,0%
Mie Goreng,1,$9.20,$0.84,$0.00,1%,0%,0%
Trentham Estate Rosé - Regular,1,$7.00,$0.64,$2.11,1%,0%,70%
Trentham Estate Rosé - Large,1,$19.00,$1.73,$3.52,1%,1%,81%
Status Quo - Schooner,1,$13.50,$1.23,$3.10,1%,1%,77%
San Pellegrino 500ml,1,$9.00,$0.82,$2.33,1%,0%,74%
Pink Lemonade Glass,1,$4.50,$0.41,$0.14,1%,0%,97%
BBQ Pork Buns,1,$15.00,$1.36,$0.00,1%,1%,0%
Send Kids Food ASAP,1,$0.00,$0.00,$0.00,1%,0%,0%
2 Glasses,1,$0.00,$0.00,$0.00,1%,0%,0%
Fried Rice,1,$23.00,$2.09,$0.00,1%,1%,0%
Mother's Milk Shiraz - Regular,1,$15.49,$1.40,$3.22,1%,1%,79%
Kids Nuggets & Chips,1,$13.00,$1.18,$2.25,1%,0%,83%
Duck Spring Rolls,1,$16.53,$1.50,$0.00,1%,1%,0%
Trutta Streamside Shiraz [Chilled] - Regular,1,$18.00,$1.64,$3.74,1%,1%,79%
Rosemary Salted Fries,1,$12.90,$1.17,$1.86,1%,0%,86%
Chicken,1,$1.60,$0.14,$0.00,1%,0%,0%
Villa Fresco Sangiovese - Bottle,1,$50.61,$4.60,$12.06,1%,2%,76%
Veg Spring Rolls,1,$15.50,$1.41,$0.00,1%,1%,0%
Pineapple Juice Glass,1,$5.00,$0.45,$0.69,1%,0%,86%
,178.7,"$2,683.30",$243.82,$291.85,100%,100%,89%
