date,revenue_ex_gst,cogs_dollars,cogs_pct,wages_dollars,wages_pct,delivery_dollars,delivery_pct,gp_dollars,gp_pct,eatclub_giveaway_ex_gst,eatclub_covers,cogs_alert,wages_alert,delivery_alert,gp_alert,food_ex_gst,bev_ex_gst,food_cogs,bev_cogs,food_cogs_pct,bev_cogs_pct,food_gp_pct,bev_gp_pct,wages_kitchen_dollars,wages_foh_dollars,wages_driver_dollars,wages_admin_dollars,wages_assumed_dollars,wages_assumed_shifts,wages_kitchen_pct,wages_foh_pct,cogs_food_alert,cogs_bev_alert,wages_kitchen_alert,wages_foh_alert,uber_eats_revenue,uber_direct_dollars,leave_dollars
2025-10-06,3828.64,285.02,7.4,1498.61,39.1,,,3543.62,92.6,,,green,unknown,n/a,unknown,2362.7,1465.94,0.0,285.02,0.0,19.4,100.0,80.6,887.63,610.98,0,0,1498.61,0,37.6,41.7,green,green,unknown,unknown,0,,
2025-10-07,,,,208.42,,,,,,,,,,,,,,,,,,,,0,0,0,208.42,,0,,,,,,,,,
2025-10-08,1189.23,71.05,6.0,1507.45,126.8,,,1118.18,94.0,,,green,unknown,n/a,unknown,822.39,366.84,0.0,71.05,0.0,19.4,100.0,80.6,710.41,797.04,0,0,1507.45,0,86.4,217.3,green,green,unknown,unknown,0,,
2025-10-09,2095.2,178.5,8.5,1801.48,86.0,,,1916.7,91.5,,,green,unknown,n/a,unknown,1379.23,715.97,0.0,178.5,0.0,24.9,100.0,75.1,888.64,912.84,0,0,1801.48,0,64.4,127.5,green,yellow,unknown,unknown,0,,
2025-10-10,3519.41,313.6,8.9,1345.81,38.2,,,3205.81,91.1,,,green,unknown,n/a,unknown,2148.86,1370.55,0.0,313.6,0.0,22.9,100.0,77.1,661.48,684.32,0,0,1345.81,0,30.8,49.9,green,yellow,unknown,unknown,0,,
2025-10-11,3664.0,289.95,7.9,2508.26,68.5,,,3374.05,92.1,,,green,unknown,n/a,unknown,2375.88,1288.12,0.0,289.95,0.0,22.5,100.0,77.5,1370.95,1137.32,0,0,2508.26,0,57.7,88.3,green,yellow,unknown,unknown,0,,
2025-10-12,1387.53,110.81,8.0,1625.99,117.2,,,1276.72,92.0,,,green,unknown,n/a,unknown,907.48,480.05,0.0,110.81,0.0,23.1,100.0,76.9,813.51,812.48,0,0,1625.99,0,89.6,169.2,green,yellow,unknown,unknown,0,,
2025-10-13,2918.99,295.24,10.1,1610.03,55.2,,,2623.75,89.9,,,green,unknown,n/a,unknown,1681.57,1237.42,0.0,295.24,0.0,23.9,100.0,76.1,1158.58,451.45,0,0,1610.03,0,68.9,36.5,green,yellow,unknown,unknown,0,,
2025-10-14,,,,208.42,,,,,,,,,,,,,,,,,,,,0,0,0,208.42,,0,,,,,,,,,
2025-10-15,1709.08,118.09,6.9,1297.77,75.9,,,1590.99,93.1,,,green,unknown,n/a,unknown,1195.26,513.82,0.0,118.09,0.0,23.0,100.0,77.0,609.23,688.54,0,0,1297.77,0,51.0,134.0,green,yellow,unknown,unknown,0,,
2025-10-16,1991.56,115.03,5.8,1841.94,92.5,,,1876.53,94.2,,,green,unknown,n/a,unknown,1430.95,560.62,0.0,115.03,0.0,20.5,100.0,79.5,1113.78,728.15,0,0,1841.94,0,77.8,129.9,green,green,unknown,unknown,0,,
2025-10-17,3478.12,291.07,8.4,986.14,28.4,,,3187.05,91.6,,,green,unknown,n/a,unknown,2307.01,1171.11,0.0,291.07,0.0,24.9,100.0,75.1,616.03,370.12,0,0,986.14,0,26.7,31.6,green,yellow,unknown,unknown,0,,
2025-10-18,3706.86,297.18,8.0,2597.39,70.1,,,3409.68,92.0,,,green,unknown,n/a,unknown,2327.24,1379.63,0.0,297.18,0.0,21.5,100.0,78.5,928.98,1668.4,0,0,2597.39,0,39.9,120.9,green,green,unknown,unknown,0,,
2025-10-19,2573.27,216.22,8.4,1332.62,51.8,,,2357.05,91.6,,,green,unknown,n/a,unknown,1647.53,925.75,0.0,216.22,0.0,23.4,100.0,76.6,496.26,836.36,0,0,1332.62,0,30.1,90.3,green,yellow,unknown,unknown,0,,
2025-10-20,3120.96,314.02,10.1,1938.09,62.1,,,2806.94,89.9,,,green,unknown,n/a,unknown,1940.6,1180.36,0.0,314.02,0.0,26.6,100.0,73.4,1208.36,729.73,0,0,1938.09,0,62.3,61.8,green,amber,unknown,unknown,0,,
2025-10-22,1493.41,88.36,5.9,1400.09,93.8,,,1405.05,94.1,,,green,unknown,n/a,unknown,1139.85,353.56,0.0,88.36,0.0,25.0,100.0,75.0,556.34,843.76,0,0,1400.09,0,48.8,238.6,green,yellow,unknown,unknown,0,,
2025-10-23,2339.9,194.88,8.3,1507.43,64.4,,,2145.02,91.7,,,green,unknown,n/a,unknown,1552.09,787.81,0.0,194.88,0.0,24.7,100.0,75.3,561.57,945.85,0,0,1507.43,0,36.2,120.1,green,yellow,unknown,unknown,0,,
2025-10-24,3762.13,332.14,8.8,3194.44,84.9,,,3429.99,91.2,,,green,unknown,n/a,unknown,2337.4,1424.73,0.0,332.14,0.0,23.3,100.0,76.7,725.04,2469.4,0,0,3194.44,0,31.0,173.3,green,yellow,unknown,unknown,0,,
2025-10-25,3923.32,266.22,6.8,1422.5,36.3,,,3657.1,93.2,,,green,unknown,n/a,unknown,2576.57,1346.75,0.0,266.22,0.0,19.8,100.0,80.2,823.85,598.65,0,0,1422.5,0,32.0,44.5,green,green,unknown,unknown,0,,
2025-10-26,2101.01,175.81,8.4,1247.74,59.4,,,1925.2,91.6,,,green,unknown,n/a,unknown,1418.12,682.89,0.0,175.81,0.0,25.7,100.0,74.3,497.99,749.75,0,0,1247.74,0,35.1,109.8,green,amber,unknown,unknown,0,,
2025-10-27,2766.42,238.66,8.6,3760.09,135.9,,,2527.76,91.4,,,green,unknown,n/a,unknown,1797.81,968.61,0.0,238.66,0.0,24.6,100.0,75.4,991.81,2768.27,0,0,3760.09,0,55.2,285.8,green,yellow,unknown,unknown,0,,
2025-10-29,1624.03,96.39,5.9,1391.32,85.7,,,1527.64,94.1,,,green,unknown,n/a,unknown,1172.15,451.87,0.0,96.39,0.0,21.3,100.0,78.7,678.04,713.28,0,0,1391.32,0,57.8,157.9,green,green,unknown,unknown,0,,
2025-10-30,2029.36,174.77,8.6,1556.99,76.7,,,1854.59,91.4,,,green,unknown,n/a,unknown,1340.99,688.37,0.0,174.77,0.0,25.4,100.0,74.6,773.09,783.91,0,0,1556.99,0,57.7,113.9,green,amber,unknown,unknown,0,,
2025-10-31,3379.95,348.63,10.3,979.24,29.0,,,3031.32,89.7,,,green,unknown,n/a,unknown,1960.13,1419.82,0.0,348.63,0.0,24.6,100.0,75.4,636.38,342.86,0,0,979.24,0,32.5,24.1,green,yellow,unknown,unknown,0,,
2025-11-01,5289.86,455.05,8.6,1682.36,31.8,,,4834.81,91.4,,,green,unknown,n/a,unknown,3043.28,2246.58,0.0,455.05,0.0,20.3,100.0,79.7,643.26,1039.1,0,0,1682.36,0,21.1,46.3,green,green,unknown,unknown,0,,
2025-11-02,3115.01,265.05,8.5,1277.98,41.0,,,2849.96,91.5,,,green,unknown,n/a,unknown,2464.75,650.25,0.0,265.05,0.0,40.8,100.0,59.2,540.63,737.36,0,0,1277.98,0,21.9,113.4,green,red,unknown,unknown,0,,
2025-11-03,3013.12,260.86,8.7,1722.8,57.2,,,2752.26,91.3,,,green,unknown,n/a,unknown,1844.77,1168.35,0.0,260.86,0.0,22.3,100.0,77.7,1193.25,529.56,0,0,1722.8,0,64.7,45.3,green,yellow,unknown,unknown,0,,
2025-11-05,2107.89,160.48,7.6,1422.75,67.5,,,1947.41,92.4,,,green,unknown,n/a,unknown,1495.26,612.63,0.0,160.48,0.0,26.2,100.0,73.8,790.16,632.58,0,0,1422.75,0,52.8,103.3,green,amber,unknown,unknown,0,,
2025-11-06,1716.54,116.33,6.8,1540.03,89.7,,,1600.21,93.2,,,green,unknown,n/a,unknown,1118.28,598.25,0.0,116.33,0.0,19.4,100.0,80.6,833.96,706.08,0,0,1540.03,0,74.6,118.0,green,green,unknown,unknown,0,,
2025-11-07,4486.35,460.68,10.3,1615.74,36.0,,,4025.67,89.7,,,green,unknown,n/a,unknown,2441.99,2044.35,0.0,460.68,0.0,22.5,100.0,77.5,568.79,1046.95,0,0,1615.74,0,23.3,51.2,green,yellow,unknown,unknown,0,,
2025-11-08,4680.41,379.95,8.1,1785.39,38.1,,,4300.46,91.9,,,green,unknown,n/a,unknown,2868.74,1811.67,0.0,379.95,0.0,21.0,100.0,79.0,820.94,964.45,0,0,1785.39,0,28.6,53.2,green,green,unknown,unknown,0,,
2025-11-09,2862.03,233.92,8.2,1845.38,64.5,,,2628.11,91.8,,,green,unknown,n/a,unknown,1871.42,990.61,0.0,233.92,0.0,23.6,100.0,76.4,1062.91,782.48,0,0,1845.38,0,56.8,79.0,green,yellow,unknown,unknown,0,,
2025-11-10,3376.26,241.99,7.2,1559.51,46.2,,,3134.27,92.8,,,green,unknown,n/a,unknown,2313.04,1063.23,0.0,241.99,0.0,22.8,100.0,77.2,1013.77,545.73,0,0,1559.51,0,43.8,51.3,green,yellow,unknown,unknown,0,,
2025-11-11,,,,54.13,,,,,,,,,,,,,,,,,,,,0,0,0,54.13,,0,,,,,,,,,
2025-11-12,1322.19,108.71,8.2,1367.87,103.5,,,1213.48,91.8,,,green,unknown,n/a,unknown,875.45,446.74,0.0,108.71,0.0,24.3,100.0,75.7,1052.29,315.58,0,0,1367.87,0,120.2,70.6,green,yellow,unknown,unknown,0,,
2025-11-13,1203.64,81.92,6.8,1707.89,141.9,,,1121.72,93.2,,,green,unknown,n/a,unknown,776.82,426.82,0.0,81.92,0.0,19.2,100.0,80.8,1113.71,594.18,0,0,1707.89,0,143.4,139.2,green,green,unknown,unknown,0,,
2025-11-14,3154.95,281.14,8.9,1636.54,51.9,,,2873.81,91.1,,,green,unknown,n/a,unknown,2098.43,1056.53,0.0,281.14,0.0,26.6,100.0,73.4,570.8,1065.74,0,0,1636.54,0,27.2,100.9,green,amber,unknown,unknown,0,,
2025-11-15,3546.46,275.29,7.8,1906.29,53.8,,,3271.17,92.2,,,green,unknown,n/a,unknown,2386.61,1159.85,0.0,275.29,0.0,23.7,100.0,76.3,765.29,1141.01,0,0,1906.29,0,32.1,98.4,green,yellow,unknown,unknown,0,,
2025-11-16,2737.36,273.29,10.0,1307.33,47.8,,,2464.07,90.0,,,green,unknown,n/a,unknown,1479.76,1257.6,0.0,273.29,0.0,21.7,100.0,78.3,402.41,904.92,0,0,1307.33,0,27.2,72.0,green,green,unknown,unknown,0,,
2025-11-17,3075.65,267.35,8.7,1272.33,41.4,,,2808.3,91.3,,,green,red,n/a,unknown,1872.6,1203.05,0.0,267.35,0.0,22.2,100.0,77.8,526.09,746.24,0,0,1272.33,0,28.1,62.0,green,yellow,unknown,unknown,0,,
2025-11-19,2058.19,125.8,6.1,1494.51,72.6,,,1932.39,93.9,,,green,red,n/a,unknown,1467.66,590.53,0.0,125.8,0.0,21.3,100.0,78.7,696.36,756.15,0,42.0,1452.51,0,47.4,128.0,green,green,unknown,unknown,0,,
2025-11-20,1304.05,89.21,6.8,1477.07,113.3,,,1214.84,93.2,,,green,red,n/a,unknown,855.95,448.1,0.0,89.21,0.0,19.9,100.0,80.1,842.43,634.64,0,0,1477.07,0,98.4,141.6,green,green,unknown,unknown,0,,
2025-11-21,2894.55,196.21,6.8,1693.1,58.5,,,2698.34,93.2,,,green,red,n/a,unknown,1890.91,1003.64,0.0,196.21,0.0,19.5,100.0,80.5,880.71,812.39,0,0,1693.1,0,46.6,80.9,green,green,unknown,unknown,0,,
2025-11-22,3364.63,236.68,7.0,1392.9,41.4,,,3127.95,93.0,,,green,red,n/a,unknown,2400.37,964.25,0.0,236.68,0.0,24.5,100.0,75.5,452.31,940.59,0,0,1392.9,0,18.8,97.5,green,yellow,unknown,unknown,0,,
2025-11-23,3073.52,237.04,7.7,1896.6,61.7,,,2836.48,92.3,,,green,red,n/a,unknown,1929.32,1144.2,0.0,237.04,0.0,20.7,100.0,79.3,1054.69,841.91,0,0,1896.6,0,54.7,73.6,green,green,unknown,unknown,0,,
2025-11-24,3442.66,278.42,8.1,1933.93,56.2,,,3164.24,91.9,,,green,unknown,n/a,unknown,2218.18,1224.48,0.0,278.42,0.0,22.7,100.0,77.3,866.88,1067.05,0,0,1933.93,0,39.1,87.1,green,yellow,unknown,unknown,0,,
2025-11-25,,,,23.12,,,,,,,,,,,,,,,,,,,,0,0,0,23.12,,0,,,,,,,,,
2025-11-26,1390.91,78.04,5.6,2117.4,152.2,,,1312.87,94.4,,,green,unknown,n/a,unknown,997.27,393.64,0.0,78.04,0.0,19.8,100.0,80.2,1513.46,603.94,0,0,2117.4,0,151.8,153.4,green,green,unknown,unknown,0,,
2025-11-27,2229.43,229.85,10.3,1603.75,71.9,,,1999.58,89.7,,,green,unknown,n/a,unknown,1598.13,631.3,0.0,229.85,0.0,36.4,100.0,63.6,823.03,780.72,0,0,1603.75,0,51.5,123.7,green,red,unknown,unknown,0,,
2025-11-28,3216.35,304.93,9.5,2314.42,72.0,,,2911.42,90.5,,,green,unknown,n/a,unknown,1782.25,1434.1,0.0,304.93,0.0,21.3,100.0,78.7,1730.93,583.49,0,0,2314.42,0,97.1,40.7,green,green,unknown,unknown,0,,
2025-11-29,2934.63,192.24,6.6,2069.78,70.5,,,2742.39,93.4,,,green,unknown,n/a,unknown,1730.29,1204.34,0.0,192.24,0.0,16.0,100.0,84.0,783.21,1286.56,0,0,2069.78,0,45.3,106.8,green,green,unknown,unknown,0,,
2025-11-30,2406.04,185.79,7.7,1146.38,47.6,,,2220.25,92.3,,,green,unknown,n/a,unknown,1500.95,905.09,0.0,185.79,0.0,20.5,100.0,79.5,362.09,784.29,0,0,1146.38,0,24.1,86.7,green,green,unknown,unknown,0,,
2025-12-01,3021.59,206.26,6.8,1676.89,55.5,,,2815.33,93.2,,,green,unknown,n/a,unknown,2078.89,942.7,0.0,206.26,0.0,21.9,100.0,78.1,618.5,1058.4,0,0,1676.89,0,29.8,112.3,green,green,unknown,unknown,0,,
2025-12-02,0.0,151.81,,0,,,,-151.81,,,,unknown,unknown,n/a,unknown,0.0,0.0,0.0,151.81,,,,,0,0,0,0,,0,,,unknown,unknown,unknown,unknown,0,,
2025-12-03,1121.76,83.95,7.5,1619.9,144.4,,,1037.81,92.5,,,green,unknown,n/a,unknown,728.97,392.79,0.0,83.95,0.0,21.4,100.0,78.6,854.96,764.93,0,0,1619.9,0,117.3,194.7,green,green,unknown,unknown,0,,
2025-12-04,1744.0,150.66,8.6,1455.34,83.4,,,1593.34,91.4,,,green,unknown,n/a,unknown,1079.0,665.0,0.0,150.66,0.0,22.7,100.0,77.3,748.85,706.49,0,0,1455.34,0,69.4,106.2,green,yellow,unknown,unknown,0,,
2025-12-05,2486.2,197.43,7.9,3650.84,146.8,,,2288.77,92.1,,,green,unknown,n/a,unknown,1705.54,780.66,0.0,197.43,0.0,25.3,100.0,74.7,1088.75,2562.09,0,0,3650.84,0,63.8,328.2,green,amber,unknown,unknown,0,,
2025-12-06,2373.45,210.42,8.9,1656.54,69.8,,,2163.03,91.1,,,green,unknown,n/a,unknown,1539.37,834.08,0.0,210.42,0.0,25.2,100.0,74.8,684.99,971.55,0,0,1656.54,0,44.5,116.5,green,amber,unknown,unknown,0,,
2025-12-07,1307.24,88.13,6.7,1199.36,91.7,,,1219.11,93.3,,,green,unknown,n/a,unknown,974.74,332.5,0.0,88.13,0.0,26.5,100.0,73.5,469.98,729.38,0,0,1199.36,0,48.2,219.4,green,amber,unknown,unknown,0,,
2025-12-08,4536.83,393.25,8.7,1546.97,34.1,,,4143.58,91.3,,,green,red,n/a,unknown,2776.35,1760.48,0.0,393.25,0.0,22.3,100.0,77.7,947.08,599.89,0,0,1546.97,0,34.1,34.1,green,yellow,unknown,unknown,0,,
2025-12-09,,,,55.62,,,,,,,,,,,,,,,,,,,,0,0,0,55.62,,0,,,,,,,,,
2025-12-10,3330.31,265.88,8.0,2185.12,65.6,,,3064.43,92.0,,,green,red,n/a,unknown,2180.23,1150.08,0.0,265.88,0.0,23.1,100.0,76.9,733.28,1451.85,0,0,2185.12,0,33.6,126.2,green,yellow,unknown,unknown,0,,
2025-12-11,1199.75,66.09,5.5,1182.8,98.6,,,1133.66,94.5,,,green,red,n/a,unknown,874.45,325.3,0.0,66.09,0.0,20.3,100.0,79.7,473.82,708.98,0,0,1182.8,0,54.2,217.9,green,green,unknown,unknown,0,,
2025-12-12,3446.2,304.87,8.8,1448.27,42.0,,,3141.33,91.2,,,green,red,n/a,unknown,2116.16,1330.04,0.0,304.87,0.0,22.9,100.0,77.1,892.58,555.7,0,0,1448.27,0,42.2,41.8,green,yellow,unknown,unknown,0,,
