Product Name,Product Quantity,$ Sales,Total Tax,Cost,% of Quantity,% of Sale Amount,Gross Profit %
Fresh is Best Lager - Pint,37,$445.82,$40.65,$90.72,3%,3%,80%
Classic Margarita,28,$496.49,$45.14,$112.69,2%,3%,77%
Fresh is Best Lager - Schooner,27,$233.31,$21.16,$49.36,2%,1%,79%
Version Two Pinot Grigio - Regular,24.7,$265.65,$24.15,$43.64,2%,2%,84%
Status Quo - Pint,24,$424.66,$38.59,$99.92,2%,3%,76%
Jalapeño Marg,20,$399.74,$36.29,$15.21,2%,3%,96%
Philter XPA - Schooner,18,$213.45,$19.45,$40.26,2%,1%,81%
Coconut Margarita,17,$349.74,$31.78,$69.73,1%,2%,80%
On The Rocks,16,$0.00,$0.00,$0.00,1%,0%,0%
Online Surcharge,16,$23.52,$0.00,$0.00,1%,0%,0%
Mulled Wine,16,$240.48,$21.80,$33.06,1%,2%,86%
Version Two Sparkling - Regular,15,$130.62,$11.90,$26.50,1%,1%,80%
Fresh is Best Summer Lager - Schooner,15,$112.73,$10.26,$23.82,1%,1%,79%
Villa Fresco Sangiovese - Regular,14.7,$146.52,$13.35,$35.46,1%,1%,76%
Guinness Draught - Pint,14,$243.21,$22.09,$66.05,1%,2%,73%
Garlic Bread,14,$55.50,$5.03,$19.88,1%,0%,64%
Brownie D,14,$0.00,$0.00,$27.26,1%,0%,
Side Aioli,13,$5.46,$0.59,$0.00,1%,0%,0%
Stone & Wood - Schooner,13,$170.71,$15.52,$42.21,1%,1%,75%
Grifter Pale - Pint,13,$147.30,$13.39,$43.28,1%,1%,71%
Stone & Wood - Pint,12,$207.91,$18.96,$52.25,1%,1%,75%
Negroni,12,$252.06,$22.92,$46.74,1%,2%,81%
Trentham Estate Rosé - Regular,12,$129.20,$11.73,$25.32,1%,1%,80%
Bombay Dry [House],12,$100.36,$9.15,$25.82,1%,1%,74%
Philter XPA - Pint,11,$145.15,$13.18,$33.00,1%,1%,77%
Large Pepperoni,11,$268.00,$24.39,$50.21,1%,2%,81%
Large Hawaiian,10,$220.00,$20.03,$32.63,1%,1%,85%
Regular Little Italy [Dine-in],10,$255.58,$23.21,$48.05,1%,2%,81%
White Light Pure Vodka [House],10,$95.76,$8.71,$15.19,1%,1%,84%
Large Margherita,10,$132.00,$12.00,$22.97,1%,1%,83%
Geppetto Pinot Noir - Regular,10,$151.47,$13.72,$35.12,1%,1%,77%
Mother's Milk Shiraz - Regular,10,$153.44,$13.89,$32.16,1%,1%,79%
Regular Sanchez [Dine-in],9,$240.86,$21.87,$30.53,1%,2%,87%
Sensei Calamari,9,$180.62,$16.41,$20.75,1%,1%,89%
Buffalo Trace Bourbon [House],9,$99.00,$8.99,$20.64,1%,1%,79%
Lime,9,$0.00,$0.00,$0.00,1%,0%,0%
Scorched As,9,$187.56,$17.04,$38.39,1%,1%,80%
Tommy's Margarita,9,$159.51,$14.47,$44.75,1%,1%,72%
Grifter Pale - Schooner,8,$59.58,$5.44,$19.86,1%,0%,67%
BBQ Wings D,8,$112.00,$10.16,$25.13,1%,1%,78%
Kirin - Schooner,8,$112.00,$10.16,$30.05,1%,1%,73%
Arancini Balls [5pc],8,$179.49,$16.27,$0.00,1%,1%,0%
Heaps Normal Tin,7,$78.08,$7.10,$18.69,1%,0%,76%
Casa Gheller Prosecco - Glass,7,$113.05,$10.25,$23.42,1%,1%,79%
Lychee Martini,7,$99.84,$9.05,$25.36,1%,1%,75%
Large BBQ Chicken Pizza,7,$136.00,$12.35,$30.41,1%,1%,78%
Ottelia Chardonnay - Regular,7,$112.00,$10.15,$24.21,1%,1%,78%
Regular Super House Special,7,$159.00,$14.44,$36.99,1%,1%,77%
Large Super House Special,7,$149.00,$13.56,$51.66,1%,1%,65%
Cheesy Garlic Bread,6,$44.00,$4.02,$10.64,1%,0%,76%
Tonic [mixer],6,$0.00,$0.00,$4.82,1%,0%,
Rocket Man D,6,$86.00,$7.81,$0.00,1%,1%,0%
Kirin - Pint,6,$111.00,$10.08,$30.23,1%,1%,73%
Espresso Martini,6,$96.91,$8.79,$19.41,1%,1%,80%
Archie Rose Signature Gin,6,$80.58,$7.32,$15.82,1%,1%,80%
Large Tandoori Chicken,6,$150.00,$13.64,$19.81,1%,1%,87%
Monkey Shoulder Scotch [House],6,$47.80,$4.36,$0.00,1%,0%,0%
Regular Meatlovers,6,$150.00,$13.62,$31.15,1%,1%,79%
Large Sanchez,5,$112.00,$10.17,$27.45,0%,1%,75%
Sweet Potato Fries,5,$40.88,$3.71,$12.64,0%,0%,69%
Bang Bang Cauli,5,$86.12,$7.85,$13.81,0%,1%,84%
No Garnish,5,$0.00,$0.00,$0.00,0%,0%,0%
Add Pepperoni,5,$15.00,$1.35,$0.00,0%,0%,0%
Fish Tacos,5,$103.27,$9.38,$10.92,0%,1%,89%
Delivery Fee - Freshwater / Queenscliff,5,$25.00,$2.25,$0.00,0%,0%,0%
Petits Detours Rosé - Regular,5,$80.52,$7.30,$17.48,0%,1%,78%
Trutta Streamside Shiraz [Chilled] - Regular,5,$86.99,$7.94,$18.70,0%,1%,79%
Chicken Burrito,5,$129.06,$11.75,$33.99,0%,1%,74%
Version Two Pinot Grigio - Large,5,$95.62,$8.71,$14.72,0%,1%,85%
BBQ Wings,5,$86.15,$7.85,$15.71,0%,1%,82%
Jack Daniels,5,$60.78,$5.51,$11.30,0%,0%,81%
Add Prawns,5,$20.26,$1.82,$0.00,0%,0%,0%
Fresh is Best Summer Lager - Pint,5,$57.39,$5.21,$10.65,0%,0%,81%
Aperol Spritz,5,$76.88,$7.00,$17.76,0%,0%,77%
Add Chilli,4,$4.03,$0.36,$0.00,0%,0%,0%
Fries D,4,$50.00,$4.54,$0.00,0%,0%,0%
Fresh Lime Soda,4,$14.00,$1.28,$0.00,0%,0%,0%
Stow Schnitty,4,$111.13,$10.10,$21.30,0%,1%,81%
American Standard Burger,4,$111.13,$10.12,$23.38,0%,1%,79%
$45 FEAST,4,$180.00,$16.36,$0.00,0%,1%,0%
Side BBQ Sauce,4,$0.00,$0.00,$0.00,0%,0%,0%
Coke 1.25L,4,$20.00,$1.83,$14.76,0%,0%,26%
Side Tomato Sauce,4,$0.00,$0.00,$0.00,0%,0%,0%
Island Time,4,$88.00,$7.99,$17.31,0%,1%,80%
Extra Olives,4,$0.00,$0.00,$0.00,0%,0%,0%
Version Two Pinot Grigio - Bottle,4,$202.43,$18.40,$35.33,0%,1%,83%
Baked Camembert,4,$101.24,$9.18,$0.00,0%,1%,0%
Tito's Handmade Vodka,4,$56.00,$5.10,$11.76,0%,0%,79%
Large Meatlovers,4,$90.00,$8.19,$29.00,0%,1%,68%
Biscoff Espresso,4,$90.46,$8.22,$13.01,0%,1%,86%
Stow Soda - Passionfruit,4,$36.88,$3.35,$0.00,0%,0%,0%
Buffalo Wings D,4,$65.00,$5.88,$15.61,0%,0%,76%
Peroni 0%,4,$36.60,$3.34,$7.42,0%,0%,80%
Hendrick's Gin,4,$57.39,$5.22,$10.74,0%,0%,81%
Pie,4,$111.86,$10.17,$0.00,0%,1%,0%
Geppetto Pinot Noir - Bottle,4,$241.97,$21.98,$70.24,0%,2%,71%
Regular Little Italy,4,$89.00,$8.08,$19.22,0%,1%,78%
Rosemary Salted Fries,4,$46.86,$4.24,$7.42,0%,0%,84%
Fever-Tree Light Tonic [mixer],3,$3.09,$0.27,$0.00,0%,0%,0%
Rocket Man,3,$55.18,$5.02,$9.59,0%,0%,83%
Pepsi Max [mixer],3,$0.00,$0.00,$2.41,0%,0%,
2 Glasses,3,$0.00,$0.00,$0.00,0%,0%,0%
Gin Martini,3,$61.60,$5.60,$12.19,0%,0%,80%
Glass of Ice on the Side,3,$0.00,$0.00,$0.00,0%,0%,0%
No Sliced Tomato,3,$0.00,$0.00,$0.00,0%,0%,0%
Buffalo Wings,3,$53.07,$4.82,$11.71,0%,0%,78%
Large Paddock,3,$31.00,$2.82,$15.84,0%,0%,49%
Under the Bridge Pizza,3,$80.56,$7.33,$12.77,0%,1%,84%
BBQ Wings [Wings Deal],3,$0.00,$0.00,$0.00,0%,0%,0%
Add Mushrooms,3,$4.50,$0.42,$0.00,0%,0%,0%
Lemon Meringue Martini,3,$64.78,$5.88,$10.49,0%,0%,84%
Monteith's Apple Cider Bottle,3,$31.50,$2.85,$9.33,0%,0%,70%
Fish Burrito,3,$89.55,$8.16,$17.01,0%,1%,81%
Regular New Yorker [Dine-in],3,$74.37,$6.78,$10.76,0%,0%,86%
Garlic  Bread.,3,$0.00,$0.00,$0.00,0%,0%,0%
Regular Hail Africa [Dine-in],3,$83.71,$7.59,$8.74,0%,1%,90%
Grey Goose,3,$42.00,$3.81,$8.04,0%,0%,81%
Flower Child,3,$51.20,$4.65,$8.72,0%,0%,83%
Frozen Marg - Coconut,3,$55.20,$5.01,$12.77,0%,0%,77%
Regular Roma Special,3,$55.50,$5.04,$13.36,0%,0%,76%
Sprite Can,3,$12.00,$1.08,$5.69,0%,0%,53%
Ottelia Cab Sav - Regular,3,$51.00,$4.65,$13.82,0%,0%,73%
"Regular No Chorizo, No Cry [Dine-in]",3,$80.56,$7.32,$8.73,0%,1%,89%
Large Jimmy Jury,3,$85.00,$7.72,$18.56,0%,1%,78%
Less Cheese,3,$0.00,$0.00,$0.00,0%,0%,0%
Regular El Patron [Dine-in],3,$80.55,$7.30,$10.92,0%,1%,86%
Soda [mixer],3,$0.00,$0.00,$0.00,0%,0%,0%
Kuku Sauvignon Blanc - Large,3,$69.00,$6.27,$14.57,0%,0%,79%
Large El Patron,3,$85.00,$7.72,$17.56,0%,1%,79%
"Regular No Chorizo, No Cry",2,$39.00,$3.54,$5.82,0%,0%,85%
Amalfi Olives,2,$23.37,$2.13,$0.00,0%,0%,0%
