Product Name,Product Quantity,$ Sales,Total Tax,Cost,% of Quantity,% of Sale Amount,Gross Profit %
Sapporo - 500ml,25,$306.75,$27.89,$92.75,7%,6%,70%
Dumplings - Prawn Har Gow [GF],19,$358.00,$32.60,$83.86,5%,7%,77%
Harry's Lager - Pint,16,$181.75,$16.58,$34.87,5%,4%,81%
Lime,12,$0.00,$0.00,$0.00,3%,0%,0%
Shredded Beef,12,$312.00,$28.32,$0.00,3%,6%,0%
Mie Goreng,11,$256.00,$23.26,$35.01,3%,5%,86%
Soda,11,$0.00,$0.00,$0.00,3%,0%,0%
Chicken Katsu Curry,10,$245.00,$22.25,$28.57,3%,5%,88%
Azurescens Pinot Noir - Regular,9,$135.00,$12.25,$25.20,3%,3%,81%
Dumplings - Veg Gyoza,9,$126.00,$11.43,$17.65,3%,3%,86%
Tonkotsu,9,$261.00,$23.76,$37.48,3%,5%,86%
Popcorn Cauliflower,8,$119.00,$10.79,$7.83,2%,2%,93%
Rooster Blanco Tequila [House],8,$77.00,$7.00,$16.34,2%,2%,79%
Classic Margarita,8,$152.00,$13.84,$26.11,2%,3%,83%
Chicken Karaage,7,$119.00,$10.85,$0.00,2%,2%,0%
Duck Spring Roll,7,$112.00,$10.15,$25.00,2%,2%,78%
From Sundays Shiraz - Regular,7,$102.00,$9.25,$19.60,2%,2%,81%
Edamame,6,$66.00,$6.00,$0.00,2%,1%,0%
Chicken,6,$23.00,$2.08,$0.00,2%,0%,0%
River Retreat Pinot Grigio - Regular,6,$72.00,$6.54,$12.06,2%,1%,83%
Philter XPA - Schooner [HG],6,$64.40,$5.87,$0.00,2%,1%,0%
Aperol Spritz,6,$110.20,$10.04,$20.68,2%,2%,81%
Angas & Bremer Grenache - Regular,5,$34.30,$3.14,$8.77,1%,1%,74%
Harry's Lager - Schooner,5,$36.10,$3.27,$8.12,1%,1%,77%
Miso,5,$139.20,$12.68,$0.00,1%,3%,0%
Dumplings - Beef & Cabbage,4,$56.00,$5.08,$5.89,1%,1%,89%
Fried Rice,4,$94.00,$8.54,$10.72,1%,2%,89%
Sapporo - Schooner,4,$52.00,$4.72,$12.61,1%,1%,76%
BBQ Meat Platter,4,$160.00,$14.56,$0.00,1%,3%,0%
Margato,4,$62.00,$5.64,$15.38,1%,1%,75%
Virgin Margy,4,$52.00,$4.72,$0.00,1%,1%,0%
Jasmine Rice,4,$20.00,$1.81,$0.00,1%,0%,0%
Devon's Prawn Toast,4,$64.00,$5.79,$15.55,1%,1%,76%
1/2 Marinated Egg,3,$6.00,$0.54,$0.00,1%,0%,0%
Chilli Bomb,3,$5.60,$0.50,$0.00,1%,0%,0%
BBQ Pork Buns,3,$45.00,$4.08,$10.50,1%,1%,77%
Tofu,3,$12.00,$1.08,$0.00,1%,0%,0%
Fried Egg,3,$11.00,$1.00,$0.00,1%,0%,0%
Kuku Sauv Blanc - Regular,3,$39.00,$3.54,$7.80,1%,1%,80%
Shoyu,3,$87.00,$7.91,$0.00,1%,2%,0%
White Light Pure Vodka [House],3,$28.60,$2.60,$4.56,1%,1%,84%
1 Glass,3,$0.00,$0.00,$0.00,1%,0%,0%
Tsingtao Longneck,3,$51.00,$4.64,$13.75,1%,1%,73%
Seitan Katsu Curry [vegan],2,$54.00,$4.90,$1.80,1%,1%,97%
Kids Miso,2,$13.00,$1.18,$0.00,1%,0%,0%
Little Dragon Ginger Beer Can,2,$28.00,$2.54,$6.76,1%,1%,76%
Black Garlic Oil,2,$4.00,$0.36,$0.00,1%,0%,0%
Drunken Koi,2,$35.00,$3.18,$5.31,1%,1%,85%
Extra Pork.,2,$10.00,$0.90,$0.00,1%,0%,0%
Demon Slayer,2,$39.90,$3.63,$8.17,1%,1%,80%
GFO [GF Ramen Noodles],2,$6.00,$0.54,$0.00,1%,0%,0%
Angas & Bremer Rosé - Regular,2,$19.20,$1.74,$3.86,1%,0%,80%
Meat Platter,2,$80.00,$7.28,$0.00,1%,2%,0%
Nuggets & Chips [HG],1,$13.00,$1.18,$0.00,0%,0%,0%
Bamboo Shoots,1,$2.00,$0.18,$0.00,0%,0%,0%
Long Island Iced Tea [HG],1,$22.00,$2.00,$4.72,0%,0%,79%
Chicken.,1,$2.00,$0.18,$0.00,0%,0%,0%
Swap for Tofu,1,$0.00,$0.00,$0.00,0%,0%,0%
Sailor Jerry Spiced Rum [House],1,$8.80,$0.80,$1.88,0%,0%,79%
Mochi Trio,1,$13.00,$1.18,$0.00,0%,0%,0%
Vinada Sparkling Wine,1,$11.00,$1.00,$0.00,0%,0%,0%
Crouching Tiger,1,$21.00,$1.91,$4.02,0%,0%,81%
Pepsi,1,$0.00,$0.00,$0.00,0%,0%,0%
Orange Juice Glass,1,$4.00,$0.35,$0.00,0%,0%,0%
Kids Mie Goreng,1,$13.00,$1.18,$0.00,0%,0%,0%
Lychee Martini,1,$14.00,$1.27,$3.14,0%,0%,78%
Lemonade Glass,1,$4.50,$0.41,$0.00,0%,0%,0%
Padrillos Malbec - Regular,1,$18.00,$1.64,$3.56,0%,0%,80%
Yuzu Orange Soda,1,$9.00,$0.82,$0.00,0%,0%,0%
Carafe Sparkling Water,1,$5.00,$0.45,$0.00,0%,0%,0%
Two Bays GF Rice Lager Can [HG],1,$14.00,$1.27,$4.99,0%,0%,64%
Espresso Martini,1,$17.10,$1.56,$2.93,0%,0%,83%
Lemon Chu-hi,1,$9.60,$0.87,$1.52,0%,0%,84%
Kids Fried Rice,1,$13.00,$1.18,$0.00,0%,0%,0%
Grifter Big Sur IPA Can [HG],1,$14.00,$1.27,$0.00,0%,0%,0%
Remove Butter,1,$0.00,$0.00,$0.00,0%,0%,0%
Sensei Highball,1,$12.00,$1.09,$1.30,0%,0%,89%
2 Glasses,1,$0.00,$0.00,$0.00,0%,0%,0%
4 Glasses,1,$0.00,$0.00,$0.00,0%,0%,0%
Swap for Tofu [Make it Vegan],1,$0.00,$0.00,$0.00,0%,0%,0%
Vegetarian Option,1,$0.00,$0.00,$0.00,0%,0%,0%
Kuku Sauv Blanc - Bottle,1,$51.00,$4.64,$13.00,0%,1%,75%
Geppetto Chardonnay - Bottle,1,$61.00,$5.56,$15.57,0%,1%,74%
Limoncello Spritz,1,$15.20,$1.38,$1.38,0%,0%,91%
,346,"$4,909.20",$446.21,$680.57,100%,100%,86%
