Position,Product Number,Product,Quantity,Percent of Quantity,Sale Amount,Percent of Sale Amount,Cost,Percent of Gross Profit
1,,Stone & Wood - Schooner,12,4,157.72,4,38.89,75
2,,Mother's Milk Shiraz - Regular,10,3,152.95,4,32.16,79
3,,Fresh is Best Lager - Schooner,9,3,77.96,2,16.42,79
4,,Mulled Wine,8,3,122.96,3,16.45,87
5,,Philter Red - Schooner,7,2,77,2,17.74,77
6,,Villa Fresco Sangiovese - Regular,7,2,69.2,2,16.93,76
7,,Guinness Draught - Pint,7,2,119,3,32.91,72
8,,Jalapeño Marg,7,2,162.52,4,5.15,97
9,,Fresh is Best Lager - Pint,6,2,72.5,2,14.68,80
10,,Version Two Sparkling - Regular,6,2,52,1,10.6,80
11,,Classic Margarita,5,2,94,2,19.81,79
12,,Regular Truffalo Soldier [Dine-in],5,2,90.6,2,16.34,82
13,,Gluten-free Base,5,2,25.64,1,20.5,20
14,,Aperol Spritz,5,2,97.1,2,17.76,82
15,,White Light Pure Vodka [House],5,2,49.75,1,7.6,85
16,,Regular Uber Margherita [Dine-in],4,1,62.38,2,12.77,80
17,,Philter XPA - Pint,4,1,36,1,12.36,66
18,,Brownie D,4,1,23,1,7.79,66
19,,Rosemary Salted Fries,4,1,52.86,1,7.42,86
20,,Side Tomato Sauce,4,1,0,0,0,0
21,,Geppetto Pinot Noir - Regular,4,1,57,1,14.14,75
22,,Pepsi Max Glass,4,1,18.31,0,0,100
23,,"Regular No Chorizo, No Cry [Dine-in]",4,1,72.59,2,11.65,84
24,,Side Aioli,3,1,1.54,0,0,100
25,,Regular Little Italy [Dine-in],3,1,55.19,1,14.41,74
26,,Regular Hawaiian,3,1,66,2,3.74,94
27,,Garlic Bread,3,1,19.5,0,4.26,78
28,,Cranberry Juice [mixer],3,1,0,0,2.08,0
29,,Regular Hail Africa [Dine-in],3,1,55.18,1,8.74,84
30,,On The Rocks,3,1,0,0,0,0
31,,Negroni,3,1,58,1,11.6,80
32,,Regular Meatlovers [Dine-in],3,1,55.18,1,15.57,72
33,,Regular El Patron [Dine-in],3,1,54.59,1,10.92,80
34,,Dormilona Chenin Blanc - Regular,3,1,58.8,1,13.43,77
35,,Regular Jimmy Jury [Dine-in],3,1,54,1,10.01,81
36,,Large Hawaiian,3,1,76,2,9.79,87
37,,Philter XPA - Schooner,3,1,25.5,1,6.91,73
38,,No Onion,3,1,0,0,0,0
39,,Large Super House Special,3,1,88,2,22.14,75
40,,Espresso Martini,3,1,54,1,9.7,82
41,,Beetle Juice,3,1,60,2,10.97,82
42,,Sweet Potato Fries,3,1,40.28,1,7.58,81
43,,Lime,3,1,0,0,0,0
44,,Island Time,3,1,64,2,13.29,79
45,,Regular BBQ Chicken Pizza [Dine-in],3,1,55.77,1,10.02,82
46,,Guinness Draught - Schooner,2.4,1,32.4,1,8.41,74
47,,Large Meatlovers,2,1,59,1,14.5,75
48,,Kirin - Pint,2,1,37,1,10.14,73
49,,Ravensworth Skins Gris - Regular,2,1,39.24,1,8.08,79
50,,Add Chilli,2,1,2,0,0,100
51,,BBQ Wings,2,1,34.9,1,6.28,82
52,,Less Cheese,2,1,0,0,0,0
53,,Ottelia Chardonnay - Regular,2,1,32,1,6.92,78
54,,Stone & Wood - Pint,2,1,35.12,1,8.69,75
55,,Large Margherita,2,1,46,1,4.59,90
56,,Regular Sanchez [Dine-in],2,1,37.18,1,6.79,82
57,,Pink Lemonade Glass,2,1,9.3,0,0.27,97
58,,Fresh is Best Summer Lager - Pint,2,1,18,0,4.26,76
59,,Heaps Normal Tin,2,1,22,1,5.34,76
60,,Grifter Pale - Schooner,2,1,23,1,4.98,78
61,,Under the Bridge Pizza,2,1,40.25,1,8.51,79
62,,Sibiliana Nero D'Avola - Regular,2,1,36,1,6.54,82
63,,Fresh is Best Summer Lager - Schooner,2,1,14.65,0,3.18,78
64,,Add Pineapple,2,1,3.1,0,0,100
65,,Crankshaft IPA - Schooner,2,1,27,1,5.83,78
66,,Better Beer Tin,1,0,10.5,0,2.5,76
67,,Limoncello,1,0,0,0,2.13,0
68,,Whisky Sour,1,0,21,1,4.56,78
69,,Apple Juice Glass,1,0,5.16,0,0.66,87
70,,Cranberry Juice Glass,1,0,5.16,0,0.69,87
71,,Add Prawns,1,0,4,0,0,100
72,,Padrillos Malbec - Regular,1,0,18,0,4.48,75
73,,Regular New Yorker [Dine-in],1,0,18.59,0,3.59,81
74,,Add Rocket,1,0,1.55,0,0,100
75,,Coke 1.25L,1,0,7,0,3.69,47
76,,Buffalo Wings,1,0,18.09,0,3.9,78
77,,"No Chorizo, No Cry.",1,0,0,0,0,0
78,,Grifter Omen Stout Tin,1,0,13,0,3.51,73
79,,Virgin Margy,1,0,13,0,0,100
80,,No Chilli,1,0,0,0,0,0
81,,Choc  Brownie,1,0,0,0,1.95,0
82,,Rocket Man,1,0,18,0,3.2,82
83,,Add Olives,1,0,1.55,0,0,100
84,,Axl Rose Pizza,1,0,18.59,0,0,100
85,,BBQ Wings D,1,0,16,0,3.14,80
86,,Feast Deal Pizzas,1,0,45,1,0,100
87,,Add Ham,1,0,3.1,0,0,100
88,,Side Chipotle Mayo,1,0,1.03,0,0,100
89,,Large Pepperoni,1,0,28,1,4.56,84
90,,Side Blue Cheese Dip,1,0,1.03,0,0,100
91,,Brownie,1,0,12,0,2.82,76
92,,Mojito,1,0,21,1,1.87,91
93,,Side BBQ Sauce,1,0,0,0,0,0
94,,No Mushroom,1,0,0,0,0,0
95,,Rocket Man D,1,0,15,0,0,100
96,,Large BBQ Chicken Pizza,1,0,30.5,1,4.66,85
97,,Monteith's Apple Cider Bottle,1,0,10.5,0,3.11,70
98,,Fellr Watermelon Seltzer Tin,1,0,0,0,3.41,0
99,,Large Bubba Gump,1,0,32,1,5.8,82
100,,Large Cosmopolitan,1,0,32,1,6.76,79
101,,Large New Yorker,1,0,30,1,5.01,83
102,,Regular Sanchez VEGAN,1,0,25,1,3.02,88
103,,Stow Soda - Grapefruit,1,0,9.3,0,0.08,99
104,,Regular Bubba Gump,1,0,26,1,4.15,84
105,,Ginger Ale,1,0,4.13,0,0,100
106,,Add Mushrooms,1,0,1.55,0,0,100
107,,Regular Roma Special [Dine-in],1,0,18,0,4.45,75
108,,Villa Fresco Sangiovese - Large,1,0,17.1,0,4.03,76
109,,Sprite 1.25L,1,0,7,0,3.66,48
110,,Little Italy.,1,0,0,0,0,0
111,,Large Vegetarian,1,0,27,1,4.11,85
112,,Regular Super House Special,1,0,24,1,5.28,78
