,Reporting Group Name,Sale Closed Hour of Day,Site Name,Sale Closed Date,Total Revenue,Gross Sale Ex Tax,Gross Sale Inc Tax
1,Big Plates,20,Stowaway Bar,2026-07-22,,$171.82,$189.00
2,Marilyna's Pizza,20,Stowaway Bar,2026-07-22,,$28.18,$31.00
3,None,19,Stowaway Bar,2026-07-22,,$0.00,$0.00
4,Delivery Kitchen,16,Stowaway Bar,2026-07-22,,$45.45,$50.00
5,Cocktails - Signature,19,Stowaway Bar,2026-07-22,,$21.81,$24.00
6,Big Plates,18,Stowaway Bar,2026-07-22,,$345.18,$379.70
7,Modifiers,17,Stowaway Bar,2026-07-22,,$0.00,$0.00
8,Mocktails,17,Stowaway Bar,2026-07-22,,$11.82,$13.00
9,Tap Beer,17,Stowaway Bar,2026-07-22,,$143.21,$157.50
10,Marilyna's Pizza,19,Stowaway Bar,2026-07-22,,$109.55,$120.50
11,Harry Gatos Food,18,Stowaway Bar,2026-07-22,,$26.36,$29.00
12,Cocktails - Classic,20,Stowaway Bar,2026-07-22,,$57.30,$63.00
13,Bottles / Cans Alcoholic,16,Stowaway Bar,2026-07-22,,$16.36,$18.00
14,Marilyna's Pizza,10,Stowaway Bar,2026-07-22,,$4.55,$5.00
15,Marilyna's Pizza,17,Stowaway Bar,2026-07-22,,$61.82,$68.00
16,Modifiers,18,Stowaway Bar,2026-07-22,,$0.00,$0.00
17,Dine-in Pizza,20,Stowaway Bar,2026-07-22,,$48.18,$53.00
18,Dine-in Pizza,18,Stowaway Bar,2026-07-22,,$145.47,$160.00
19,Sides,19,Stowaway Bar,2026-07-22,,$9.09,$10.00
20,Red Wine,20,Stowaway Bar,2026-07-22,,$13.64,$15.00
21,Gin,16,Stowaway Bar,2026-07-22,,$6.36,$7.00
22,Bottles / Cans Alcoholic,20,Stowaway Bar,2026-07-22,,$9.55,$10.50
23,Modifiers,16,Stowaway Bar,2026-07-22,,$0.00,$0.00
24,Desserts,18,Stowaway Bar,2026-07-22,,$21.82,$24.00
25,Bottles / Cans Alcoholic,19,Stowaway Bar,2026-07-22,,$32.72,$36.00
26,Bottles / Cans Alcoholic,18,Stowaway Bar,2026-07-22,,$16.36,$18.00
