,Reporting Group Name,Sale Closed Hour of Day,Site Name,Sale Closed Date,Total Revenue,Gross Sale Ex Tax,Gross Sale Inc Tax
81,None,16,Stowaway Bar,2026-07-19,,$0.00,$0.00
82,Tap Beer,19,Stowaway Bar,2026-07-19,,$104.00,$114.40
83,Tap Beer,14,Stowaway Bar,2026-07-19,,$339.51,$373.45
84,Tap Beer,18,Stowaway Bar,2026-07-19,,$270.11,$297.11
85,Orange / Skins Wine,15,Stowaway Bar,2026-07-19,,$19.00,$20.90
86,None,13,Stowaway Bar,2026-07-19,,$0.00,$0.00
87,White Wine,20,Stowaway Bar,2026-07-19,,$12.00,$13.20
88,Tap Beer,20,Stowaway Bar,2026-07-19,,$27.50,$30.25
89,Desserts,13,Stowaway Bar,2026-07-19,,$12.00,$13.20
90,Vodka,17,Stowaway Bar,2026-07-19,,$22.00,$24.20
91,Vodka,15,Stowaway Bar,2026-07-19,,$11.00,$12.10
92,Non-alcoholic,16,Stowaway Bar,2026-07-19,,$55.99,$61.60
93,Non-alcoholic,15,Stowaway Bar,2026-07-19,,$36.00,$39.60
94,Marilyna's Soft Drinks,17,Stowaway Bar,2026-07-19,,$6.36,$7.00
95,Rose Wine,20,Stowaway Bar,2026-07-19,,$12.00,$13.20
96,Rose Wine,15,Stowaway Bar,2026-07-19,,$27.99,$30.80
97,Delivery Kitchen,16,Stowaway Bar,2026-07-19,,$10.00,$11.00
98,Marilyna's Pizza,18,Stowaway Bar,2026-07-19,,$261.09,$287.20
99,Add-ons - Kitchen,17,Stowaway Bar,2026-07-19,,$9.51,$10.45
100,Add-ons - Kitchen,12,Stowaway Bar,2026-07-19,,$17.99,$19.80
101,Kitchen Specials,15,Stowaway Bar,2026-07-19,,$282.98,$311.30
102,Tap Beer,16,Stowaway Bar,2026-07-19,,$533.00,$586.30
103,Cocktails - Classic,13,Stowaway Bar,2026-07-19,,$128.00,$140.80
104,White Wine,12,Stowaway Bar,2026-07-19,,$26.00,$28.60
105,Small Plates,12,Stowaway Bar,2026-07-19,,$126.30,$138.93
106,Non-alcoholic,19,Stowaway Bar,2026-07-19,,$9.00,$9.90
107,Modifiers,13,Stowaway Bar,2026-07-19,,$0.00,$0.00
108,White Wine,17,Stowaway Bar,2026-07-19,,$88.00,$96.80
109,Rose Wine,14,Stowaway Bar,2026-07-19,,$52.00,$57.20
110,Delivery Kitchen,19,Stowaway Bar,2026-07-19,,$14.55,$16.00
111,Delivery Kitchen,18,Stowaway Bar,2026-07-19,,$106.60,$117.25
112,Cocktails - Classic,23,Stowaway Bar,2026-07-19,,$21.00,$23.10
113,None,12,Stowaway Bar,2026-07-19,,$0.00,$0.00
114,Kitchen Specials,13,Stowaway Bar,2026-07-19,,$396.49,$436.15
115,Kitchen Specials,16,Stowaway Bar,2026-07-19,,$252.96,$278.30
116,Rose Wine,18,Stowaway Bar,2026-07-19,,$28.00,$30.80
117,White Wine,16,Stowaway Bar,2026-07-19,,$131.49,$144.65
118,Bottles / Cans Alcoholic,13,Stowaway Bar,2026-07-19,,$24.50,$26.95
119,White Wine,13,Stowaway Bar,2026-07-19,,$47.00,$51.70
120,Cocktails - Signature,17,Stowaway Bar,2026-07-19,,$187.82,$206.60
121,Tap Beer,13,Stowaway Bar,2026-07-19,,$283.00,$311.30
122,Sparkling Wine,15,Stowaway Bar,2026-07-19,,$32.00,$35.20
123,Small Plates,19,Stowaway Bar,2026-07-19,,$105.41,$115.94
124,Salads,16,Stowaway Bar,2026-07-19,,$18.00,$19.80
125,Kids Meals,14,Stowaway Bar,2026-07-19,,$13.00,$14.30
126,Kids Meals,18,Stowaway Bar,2026-07-19,,$5.00,$5.50
127,Sparkling Wine,12,Stowaway Bar,2026-07-19,,$440.00,$484.00
128,Modifiers,14,Stowaway Bar,2026-07-19,,$0.00,$0.00
129,Red Wine,13,Stowaway Bar,2026-07-19,,$52.00,$57.20
130,None,14,Stowaway Bar,2026-07-19,,$0.00,$0.00
131,Cocktails - Signature,18,Stowaway Bar,2026-07-19,,$133.00,$146.30
132,Cocktails - Signature,19,Stowaway Bar,2026-07-19,,$15.00,$16.50
133,Cocktails - Signature,14,Stowaway Bar,2026-07-19,,$15.00,$16.50
134,Add-ons - Pizza,19,Stowaway Bar,2026-07-19,,$1.50,$1.65
135,Modifiers,17,Stowaway Bar,2026-07-19,,$0.05,$0.05
136,Amaro / Aperitif / Fortified Wine,16,Stowaway Bar,2026-07-19,,$10.00,$11.00
137,Red Wine,16,Stowaway Bar,2026-07-19,,$183.00,$201.30
138,Marilyna's Pizza,19,Stowaway Bar,2026-07-19,,$170.00,$187.00
139,Cocktails - Classic,16,Stowaway Bar,2026-07-19,,$275.02,$302.50
140,Kitchen Specials,17,Stowaway Bar,2026-07-19,,$476.29,$523.93
141,Tap Beer,12,Stowaway Bar,2026-07-19,,$219.00,$240.90
142,Small Plates,15,Stowaway Bar,2026-07-19,,$77.80,$85.58
143,Non-alcoholic,12,Stowaway Bar,2026-07-19,,$24.00,$26.40
144,White Wine,19,Stowaway Bar,2026-07-19,,$65.00,$71.50
145,White Wine,18,Stowaway Bar,2026-07-19,,$73.00,$80.30
146,Delivery Kitchen,17,Stowaway Bar,2026-07-19,,$11.82,$13.00
147,Add-ons - Kitchen,16,Stowaway Bar,2026-07-19,,$14.53,$15.95
148,Add-ons - Kitchen,15,Stowaway Bar,2026-07-19,,$12.01,$13.20
149,White Wine,14,Stowaway Bar,2026-07-19,,$69.00,$75.90
150,Kitchen Specials,19,Stowaway Bar,2026-07-19,,$60.00,$66.00
151,Modifiers,19,Stowaway Bar,2026-07-19,,$0.05,$0.06
152,Small Plates,18,Stowaway Bar,2026-07-19,,$156.49,$172.15
153,Small Plates,14,Stowaway Bar,2026-07-19,,$95.90,$105.49
154,Big Plates,13,Stowaway Bar,2026-07-19,,$26.90,$29.59
155,Kids Meals,15,Stowaway Bar,2026-07-19,,$5.00,$5.50
156,Bottles / Cans Alcoholic,14,Stowaway Bar,2026-07-19,,$24.50,$26.95
157,Gin,18,Stowaway Bar,2026-07-19,,$33.00,$36.30
158,Non-alcoholic,17,Stowaway Bar,2026-07-19,,$62.67,$68.95
159,Pet Nat Wine,14,Stowaway Bar,2026-07-19,,$16.00,$17.60
160,Marilyna's Pizza,17,Stowaway Bar,2026-07-19,,$282.22,$310.45
161,None,15,Stowaway Bar,2026-07-19,,$0.00,$0.00
162,Add-ons - Kitchen,18,Stowaway Bar,2026-07-19,,$19.03,$20.90
163,None,18,Stowaway Bar,2026-07-19,,$0.00,$0.00
164,Add-ons - Kitchen,19,Stowaway Bar,2026-07-19,,$2.00,$2.20
165,Cocktails - Signature,15,Stowaway Bar,2026-07-19,,$119.00,$130.90
166,Rose Wine,12,Stowaway Bar,2026-07-19,,$80.00,$88.00
167,Marilyna's Soft Drinks,18,Stowaway Bar,2026-07-19,,$3.64,$4.00
