,Reporting Group Name,Sale Closed Hour of Day,Site Name,Sale Closed Date,Total Revenue,Gross Sale Ex Tax,Gross Sale Inc Tax
1,Small Plates,17,Stowaway Bar,2026-07-17,,$126.01,$138.60
2,Cocktails - Classic,19,Stowaway Bar,2026-07-17,,$299.09,$329.00
3,Vodka,18,Stowaway Bar,2026-07-17,,$25.45,$28.00
4,Vodka,20,Stowaway Bar,2026-07-17,,$85.46,$94.00
5,Non-alcoholic,21,Stowaway Bar,2026-07-17,,$18.20,$20.00
6,Non-alcoholic,19,Stowaway Bar,2026-07-17,,$52.27,$57.50
7,Modifiers,16,Stowaway Bar,2026-07-17,,$0.00,$0.00
8,Rose Wine,21,Stowaway Bar,2026-07-17,,$10.92,$12.00
9,Rose Wine,20,Stowaway Bar,2026-07-17,,$25.47,$28.00
10,Rose Wine,19,Stowaway Bar,2026-07-17,,$83.66,$92.00
11,Marilyna's Pizza,21,Stowaway Bar,2026-07-17,,$81.81,$90.00
12,Small Plates,15,Stowaway Bar,2026-07-17,,$38.55,$42.40
13,Add-ons - Bar,19,Stowaway Bar,2026-07-17,,$0.91,$1.00
14,Add-ons - Bar,18,Stowaway Bar,2026-07-17,,$0.91,$1.00
15,Tap Beer,18,Stowaway Bar,2026-07-17,,$571.35,$628.50
16,Add-ons - Kitchen,17,Stowaway Bar,2026-07-17,,$2.25,$2.50
17,White Wine,22,Stowaway Bar,2026-07-17,,$43.64,$48.00
18,Marilyna's Soft Drinks,17,Stowaway Bar,2026-07-17,,$13.64,$15.00
19,Small Plates,16,Stowaway Bar,2026-07-17,,$160.65,$176.70
20,Gin,22,Stowaway Bar,2026-07-17,,$10.00,$11.00
21,Gin,15,Stowaway Bar,2026-07-17,,$12.72,$14.00
22,Whisky,18,Stowaway Bar,2026-07-17,,$41.84,$46.00
23,Whisky,16,Stowaway Bar,2026-07-17,,$25.44,$28.00
24,Marilyna's Pizza,17,Stowaway Bar,2026-07-17,,$846.83,$931.50
25,Dine-in Pizza,20,Stowaway Bar,2026-07-17,,$118.19,$130.00
26,Dine-in Pizza,15,Stowaway Bar,2026-07-17,,$23.64,$26.00
27,Add-ons - Kitchen,16,Stowaway Bar,2026-07-17,,$6.82,$7.50
28,Cocktails - Classic,21,Stowaway Bar,2026-07-17,,$60.00,$66.00
29,Tap Beer,19,Stowaway Bar,2026-07-17,,$753.13,$828.50
30,Sparkling Wine,20,Stowaway Bar,2026-07-17,,$29.10,$32.00
31,Cocktails - Signature,15,Stowaway Bar,2026-07-17,,$27.28,$30.00
32,Big Plates,19,Stowaway Bar,2026-07-17,,$103.26,$113.60
33,Cocktails - Classic,16,Stowaway Bar,2026-07-17,,$432.84,$476.00
34,Cocktails - Classic,18,Stowaway Bar,2026-07-17,,$516.34,$568.00
35,Bottles / Cans Alcoholic,16,Stowaway Bar,2026-07-17,,$22.28,$24.50
36,Vodka,16,Stowaway Bar,2026-07-17,,$12.72,$14.00
37,Non-alcoholic,22,Stowaway Bar,2026-07-17,,$8.18,$9.00
38,Non-alcoholic,18,Stowaway Bar,2026-07-17,,$77.71,$85.50
39,Red Wine,19,Stowaway Bar,2026-07-17,,$178.21,$196.00
40,White Wine,16,Stowaway Bar,2026-07-17,,$78.18,$86.00
41,Rose Wine,18,Stowaway Bar,2026-07-17,,$59.10,$65.00
42,Delivery Kitchen,21,Stowaway Bar,2026-07-17,,$50.01,$55.00
43,Delivery Kitchen,18,Stowaway Bar,2026-07-17,,$301.42,$331.50
44,Dine-in Pizza,16,Stowaway Bar,2026-07-17,,$45.45,$50.00
45,Tap Beer,20,Stowaway Bar,2026-07-17,,$232.26,$255.50
46,White Wine,15,Stowaway Bar,2026-07-17,,$10.81,$11.90
47,Tap Beer,16,Stowaway Bar,2026-07-17,,$211.75,$233.00
48,Red Wine,18,Stowaway Bar,2026-07-17,,$236.38,$260.00
49,Tap Beer,22,Stowaway Bar,2026-07-17,,$120.01,$132.00
50,Modifiers,18,Stowaway Bar,2026-07-17,,$0.00,$0.00
51,Modifiers,20,Stowaway Bar,2026-07-17,,$0.00,$0.00
52,Add-ons - Pizza,17,Stowaway Bar,2026-07-17,,$39.33,$42.54
53,Desserts,18,Stowaway Bar,2026-07-17,,$10.91,$12.00
54,Bottles / Cans Alcoholic,18,Stowaway Bar,2026-07-17,,$20.90,$23.00
55,Modifiers,21,Stowaway Bar,2026-07-17,,$0.00,$0.00
56,Gin,18,Stowaway Bar,2026-07-17,,$50.00,$55.00
57,Gin,20,Stowaway Bar,2026-07-17,,$11.82,$13.00
58,Gin,16,Stowaway Bar,2026-07-17,,$38.16,$42.00
59,Vodka,21,Stowaway Bar,2026-07-17,,$12.73,$14.00
60,Whisky,19,Stowaway Bar,2026-07-17,,$52.73,$58.00
61,Whisky,21,Stowaway Bar,2026-07-17,,$20.00,$22.00
62,Red Wine,21,Stowaway Bar,2026-07-17,,$70.93,$78.00
63,White Wine,19,Stowaway Bar,2026-07-17,,$186.37,$205.00
64,Rose Wine,17,Stowaway Bar,2026-07-17,,$20.91,$23.00
65,Dine-in Pizza,22,Stowaway Bar,2026-07-17,,$23.64,$26.00
66,Dine-in Pizza,18,Stowaway Bar,2026-07-17,,$304.56,$335.00
67,Cocktails - Signature,20,Stowaway Bar,2026-07-17,,$60.91,$67.00
68,Cocktails - Signature,16,Stowaway Bar,2026-07-17,,$138.21,$152.00
69,Cocktails - Signature,22,Stowaway Bar,2026-07-17,,$55.46,$61.00
70,Tap Beer,21,Stowaway Bar,2026-07-17,,$97.71,$107.50
71,Sparkling Wine,18,Stowaway Bar,2026-07-17,,$10.91,$12.00
72,Cocktails - Classic,20,Stowaway Bar,2026-07-17,,$136.36,$150.00
73,Small Plates,21,Stowaway Bar,2026-07-17,,$17.73,$19.50
74,Add-ons - Kitchen,20,Stowaway Bar,2026-07-17,,$3.64,$4.00
75,Salads,19,Stowaway Bar,2026-07-17,,$32.72,$36.00
