,Reporting Group Name,Sale Closed Hour of Day,Site Name,Sale Closed Date,Total Revenue,Gross Sale Ex Tax,Gross Sale Inc Tax
76,Modifiers,19,Stowaway Bar,2026-07-17,,$0.00,$0.00
77,Non-alcoholic,17,Stowaway Bar,2026-07-17,,$31.36,$34.50
78,Red Wine,17,Stowaway Bar,2026-07-17,,$236.37,$260.00
79,Add-ons - Kitchen,18,Stowaway Bar,2026-07-17,,$7.67,$8.50
80,Dine-in Pizza,19,Stowaway Bar,2026-07-17,,$285.49,$314.00
81,Orange / Skins Wine,19,Stowaway Bar,2026-07-17,,$25.45,$28.00
82,Cocktails - Signature,19,Stowaway Bar,2026-07-17,,$170.02,$187.00
83,Cocktails - Classic,17,Stowaway Bar,2026-07-17,,$385.47,$424.00
84,Marilyna's Soft Drinks,20,Stowaway Bar,2026-07-17,,$6.36,$7.00
85,Small Plates,18,Stowaway Bar,2026-07-17,,$370.04,$407.00
86,Small Plates,20,Stowaway Bar,2026-07-17,,$43.46,$47.80
87,None,18,Stowaway Bar,2026-07-17,,$0.00,$0.00
88,Vodka,17,Stowaway Bar,2026-07-17,,$45.45,$50.00
89,Marilyna's Soft Drinks,18,Stowaway Bar,2026-07-17,,$12.73,$14.00
90,Delivery Kitchen,17,Stowaway Bar,2026-07-17,,$99.00,$108.90
91,Marilyna's Pizza,15,Stowaway Bar,2026-07-17,,$24.55,$27.00
92,Marilyna's Soft Drinks,21,Stowaway Bar,2026-07-17,,$7.27,$8.00
93,Add-ons - Kitchen,19,Stowaway Bar,2026-07-17,,$5.46,$6.00
94,Cocktails - Signature,21,Stowaway Bar,2026-07-17,,$109.10,$120.00
95,Tap Beer,17,Stowaway Bar,2026-07-17,,$478.66,$526.50
96,Add-ons - Pizza,18,Stowaway Bar,2026-07-17,,$37.60,$40.23
97,Salads,18,Stowaway Bar,2026-07-17,,$16.36,$18.00
98,Non-alcoholic,16,Stowaway Bar,2026-07-17,,$4.55,$5.00
99,Delivery Alcohol,19,Stowaway Bar,2026-07-17,,$23.63,$26.00
100,Delivery Alcohol,18,Stowaway Bar,2026-07-17,,$12.72,$14.00
101,Rose Wine,16,Stowaway Bar,2026-07-17,,$12.72,$14.00
102,Marilyna's Pizza,18,Stowaway Bar,2026-07-17,,"$1,339.15","$1,473.00"
103,Delivery Kitchen,16,Stowaway Bar,2026-07-17,,$14.55,$16.00
104,Marilyna's Pizza,16,Stowaway Bar,2026-07-17,,$93.65,$103.00
105,Add-ons - Bar,17,Stowaway Bar,2026-07-17,,$1.83,$2.00
106,None,21,Stowaway Bar,2026-07-17,,$0.00,$0.00
107,Marilyna's Pizza,22,Stowaway Bar,2026-07-17,,$22.73,$25.00
108,White Wine,17,Stowaway Bar,2026-07-17,,$139.08,$153.00
109,Big Plates,20,Stowaway Bar,2026-07-17,,$155.88,$171.50
110,Big Plates,18,Stowaway Bar,2026-07-17,,$305.42,$336.00
111,Bottles / Cans Alcoholic,17,Stowaway Bar,2026-07-17,,$28.65,$31.50
112,Marilyna's Pizza,20,Stowaway Bar,2026-07-17,,$89.99,$99.00
113,Marilyna's Pizza,19,Stowaway Bar,2026-07-17,,$472.31,$519.50
114,None,17,Stowaway Bar,2026-07-17,,$0.00,$0.00
115,Add-ons - Pizza,21,Stowaway Bar,2026-07-17,,$1.82,$2.00
116,Sides,17,Stowaway Bar,2026-07-17,,$9.09,$10.00
117,Sparkling Wine,17,Stowaway Bar,2026-07-17,,$62.73,$69.00
118,Tequila,20,Stowaway Bar,2026-07-17,,$20.00,$22.00
119,Whisky,17,Stowaway Bar,2026-07-17,,$50.00,$55.00
120,Big Plates,21,Stowaway Bar,2026-07-17,,$24.45,$26.90
121,Modifiers,17,Stowaway Bar,2026-07-17,,$0.00,$0.00
122,Gin,17,Stowaway Bar,2026-07-17,,$36.37,$40.00
123,Red Wine,16,Stowaway Bar,2026-07-17,,$103.51,$113.90
124,Red Wine,22,Stowaway Bar,2026-07-17,,$30.90,$34.00
125,Delivery Kitchen,19,Stowaway Bar,2026-07-17,,$66.37,$73.00
126,Add-ons - Pizza,19,Stowaway Bar,2026-07-17,,$6.16,$6.25
127,Dine-in Pizza,17,Stowaway Bar,2026-07-17,,$116.37,$128.00
128,Sparkling Wine,16,Stowaway Bar,2026-07-17,,$91.80,$101.00
129,Cocktails - Signature,17,Stowaway Bar,2026-07-17,,$90.02,$99.00
130,Tap Beer,15,Stowaway Bar,2026-07-17,,$46.81,$51.50
131,Red Wine,20,Stowaway Bar,2026-07-17,,$27.29,$30.00
132,Cocktails - Classic,22,Stowaway Bar,2026-07-17,,$72.72,$80.00
133,Cocktails - Classic,15,Stowaway Bar,2026-07-17,,$96.39,$106.00
134,Small Plates,19,Stowaway Bar,2026-07-17,,$90.82,$99.90
135,Big Plates,17,Stowaway Bar,2026-07-17,,$142.27,$156.50
136,Gin,21,Stowaway Bar,2026-07-17,,$76.36,$84.00
137,Gin,19,Stowaway Bar,2026-07-17,,$21.82,$24.00
138,Marilyna's Soft Drinks,15,Stowaway Bar,2026-07-17,,$3.64,$4.00
139,White Wine,18,Stowaway Bar,2026-07-17,,$246.39,$271.00
140,None,20,Stowaway Bar,2026-07-17,,$0.00,$0.00
141,None,19,Stowaway Bar,2026-07-17,,$5.46,$6.00
142,Orange / Skins Wine,18,Stowaway Bar,2026-07-17,,$17.27,$19.00
143,White Wine,20,Stowaway Bar,2026-07-17,,$21.82,$24.00
144,Cocktails - Signature,18,Stowaway Bar,2026-07-17,,$186.39,$205.00
145,Sparkling Wine,19,Stowaway Bar,2026-07-17,,$58.20,$64.00
146,Bottles / Cans Alcoholic,19,Stowaway Bar,2026-07-17,,$19.10,$21.00
