Product Name,Product Quantity,$ Sales,Total Tax,Cost,% of Quantity,% of Sale Amount,Gross Profit %
Lamb Roast,57,"$1,878.42",$170.85,$399.96,7%,13%,79%
Guinness Draught - Pint,33,$331.09,$30.09,$155.70,4%,2%,53%
Mulled Wine,24,$391.59,$35.60,$49.59,3%,3%,87%
Fresh is Best Lager - Pint,23,$305.67,$27.78,$56.39,3%,2%,82%
Stone & Wood - Schooner,22.7,$321.25,$29.19,$73.70,3%,2%,77%
Extra Gravy,19,$40.16,$3.60,$6.40,2%,0%,84%
Chicken Roast,18,$604.84,$55.02,$82.59,2%,4%,86%
Stone & Wood - Pint,17,$318.48,$28.94,$74.02,2%,2%,77%
Grifter Pale - Schooner,17,$197.34,$17.94,$42.20,2%,1%,79%
Grifter Pale - Pint,13,$210.60,$19.15,$43.28,2%,1%,79%
Villa Fresco Sangiovese - Regular,13,$162.80,$14.79,$31.36,2%,1%,81%
Fresh is Best Summer Lager - Schooner,12,$100.97,$9.17,$19.05,1%,1%,81%
Jalapeño Marg,11,$245.46,$22.30,$8.37,1%,2%,97%
Version Two Pinot Grigio - Regular,11,$124.52,$11.32,$19.43,1%,1%,84%
Extra Yorkshire Pudding,11,$24.62,$2.20,$0.00,1%,0%,0%
Kuku Sauvignon Blanc - Regular,11,$168.37,$15.31,$32.06,1%,1%,81%
Fish Tacos,10,$225.77,$20.53,$21.85,1%,2%,90%
Fresh is Best Lager - Schooner,9.7,$93.69,$8.52,$17.73,1%,1%,81%
Petits Detours Rosé - Regular,9,$159.55,$14.50,$31.47,1%,1%,80%
Fresh Lime Soda,9,$34.92,$3.18,$0.00,1%,0%,0%
Status Quo - Pint,9,$165.55,$15.05,$37.47,1%,1%,77%
Pepsi Max Glass,9,$44.89,$4.09,$0.00,1%,0%,0%
Cauliflower Cheese,9,$65.99,$6.01,$0.61,1%,0%,99%
Philter XPA - Pint,9,$148.50,$13.50,$27.00,1%,1%,82%
Trutta Streamside Shiraz [Chilled] - Regular,9,$154.44,$14.04,$33.66,1%,1%,78%
Kirin - Schooner,8,$123.71,$11.25,$30.05,1%,1%,76%
Negroni,8,$194.39,$17.67,$31.16,1%,1%,84%
White Light Pure Vodka [House],8,$87.12,$7.92,$12.15,1%,1%,86%
"Lemon, Lime & Bitters",8,$44.19,$4.01,$0.00,1%,0%,0%
Classic Margarita,8,$179.61,$16.32,$32.20,1%,1%,82%
Buffalo Wings,8,$156.52,$14.24,$31.22,1%,1%,80%
Pie,8,$161.61,$14.70,$0.00,1%,1%,0%
Side Tomato Sauce,7,$0.00,$0.00,$0.00,1%,0%,0%
Mother's Milk Shiraz - Regular,7,$110.57,$10.06,$22.51,1%,1%,80%
Sibiliana Nero D'Avola - Regular,7,$138.58,$12.60,$22.88,1%,1%,83%
Sensei Calamari,7,$151.55,$13.77,$16.14,1%,1%,89%
Rosemary Salted Fries,7,$98.36,$8.94,$12.99,1%,1%,87%
American Standard Burger,7,$211.02,$19.18,$40.91,1%,1%,81%
Crankshaft IPA - Pint,7,$134.75,$12.25,$27.38,1%,1%,80%
Arancini Balls [5pc],6,$142.08,$12.91,$0.00,1%,1%,0%
Ottelia Cab Sav - Regular,6,$113.46,$10.31,$27.65,1%,1%,76%
Espresso Martini,6,$126.08,$11.46,$19.41,1%,1%,85%
Pepsi Glass,6,$29.70,$2.70,$0.00,1%,0%,0%
Nut Roast,5,$162.67,$14.78,$26.68,1%,1%,84%
Side Aioli,5,$2.81,$0.25,$0.00,1%,0%,0%
Philter XPA - Schooner,5,$63.67,$5.79,$11.18,1%,0%,82%
Crankshaft IPA - Schooner,5,$74.25,$6.75,$14.58,1%,1%,80%
Rocket Man,5,$89.11,$8.10,$15.98,1%,1%,82%
Kirin - Pint,5,$101.75,$9.25,$25.19,1%,1%,75%
Glaetzer Anaperenna Shiraz Cab - Regular,5,$154.00,$14.00,$37.50,1%,1%,76%
Bombay Dry [House],5,$60.50,$5.50,$10.76,1%,0%,82%
Fancy Pants Parmy - Classic,5,$162.63,$14.78,$40.53,1%,1%,75%
Amarretto Sour,5,$106.26,$9.66,$20.44,1%,1%,81%
On The Rocks,5,$0.00,$0.00,$0.00,1%,0%,0%
Trentham Estate Rosé - Regular,5,$55.89,$5.09,$10.55,1%,0%,81%
Heaps Normal Tin,4,$49.62,$4.52,$10.68,0%,0%,78%
Casa Gheller Prosecco - Glass,4,$70.40,$6.40,$13.38,0%,0%,81%
Scorched As,4,$79.04,$7.18,$17.06,0%,1%,78%
Unico Zelo Terra Cotta - Regular,4,$75.24,$6.84,$17.51,0%,1%,77%
Year Wines Fiano - Regular,4,$81.15,$7.38,$17.09,0%,1%,79%
Asahi 3.5%,4,$46.96,$4.26,$9.88,0%,0%,79%
Apple Juice Glass,4,$21.26,$1.93,$2.64,0%,0%,88%
Extra Veg,4,$13.64,$1.24,$0.00,0%,0%,0%
A. Rodda Tempranillo - Regular,4,$80.50,$7.32,$22.29,0%,1%,72%
Large Hawaiian,4,$72.00,$6.55,$13.05,0%,1%,82%
Flower Child,4,$87.12,$7.92,$11.62,0%,1%,87%
Gluten-free [remove Yorkshire],4,$0.00,$0.00,$0.00,0%,0%,0%
Lemonade Glass,4,$19.31,$1.76,$0.00,0%,0%,0%
Large Super House Special,3,$61.90,$5.63,$23.16,0%,0%,63%
Regular Uber Margherita [Dine-in],3,$66.65,$6.06,$9.58,0%,0%,86%
Peroni 0%,3,$30.02,$2.73,$5.56,0%,0%,81%
$21 Custom Cocktail,3,$27.72,$2.52,$0.00,0%,0%,0%
Orange,3,$0.00,$0.00,$0.00,0%,0%,0%
Geppetto Pinot Noir - Regular,3,$50.04,$4.55,$10.54,0%,0%,79%
Corona,3,$35.03,$3.19,$7.73,0%,0%,78%
Beef Cheek,3,$128.72,$11.70,$0.00,0%,1%,0%
Kids Nuggets & Chips,3,$42.90,$3.90,$6.74,0%,0%,84%
Ottelia Chardonnay - Regular,3,$52.80,$4.80,$10.38,0%,0%,80%
BBQ Wings D,3,$33.60,$3.05,$9.42,0%,0%,72%
Brownie D,3,$11.00,$1.00,$5.84,0%,0%,47%
Online Surcharge,3,$3.71,$0.00,$0.00,0%,0%,0%
Status Quo - Schooner,3,$44.55,$4.05,$9.31,0%,0%,79%
Amalfi Olives,3,$39.21,$3.56,$0.00,0%,0%,0%
Guinness Draught - Schooner,2.7,$40.10,$3.65,$9.50,0%,0%,76%
Kuku Sauvignon Blanc - Large,2,$51.43,$4.68,$9.72,0%,0%,81%
No Tomato,2,$0.00,$0.00,$0.00,0%,0%,0%
