,Reporting Group Name,Sale Closed Hour of Day,Site Name,Sale Closed Date,Total Revenue,Gross Sale Ex Tax,Gross Sale Inc Tax
1,Modifiers,18,Stowaway Bar,2026-07-20,,$0.00,$0.00
2,Red Wine,16,Stowaway Bar,2026-07-20,,$13.64,$15.00
3,Cocktails - Signature,17,Stowaway Bar,2026-07-20,,$29.10,$32.00
4,Harry Gatos Food,20,Stowaway Bar,2026-07-20,,$43.64,$48.00
5,Harry Gatos Food,19,Stowaway Bar,2026-07-20,,$79.10,$87.00
6,Cocktails - Classic,17,Stowaway Bar,2026-07-20,,$25.46,$28.00
7,Non-alcoholic,17,Stowaway Bar,2026-07-20,,$20.46,$22.50
8,Red Wine,17,Stowaway Bar,2026-07-20,,$53.62,$59.00
9,Rose Wine,17,Stowaway Bar,2026-07-20,,$64.56,$71.00
10,Harry Gatos Food,17,Stowaway Bar,2026-07-20,,$236.38,$260.00
11,Vodka,17,Stowaway Bar,2026-07-20,,$19.08,$21.00
12,Tap Beer,17,Stowaway Bar,2026-07-20,,$222.70,$245.00
13,Cocktails - Classic,16,Stowaway Bar,2026-07-20,,$12.73,$14.00
14,Non-alcoholic,18,Stowaway Bar,2026-07-20,,$109.54,$120.50
15,Tap Beer,18,Stowaway Bar,2026-07-20,,$184.08,$202.50
16,Tap Beer,16,Stowaway Bar,2026-07-20,,$23.64,$26.00
17,Rose Wine,18,Stowaway Bar,2026-07-20,,$17.27,$19.00
18,Red Wine,18,Stowaway Bar,2026-07-20,,$66.37,$73.00
19,Harry Gatos Food,18,Stowaway Bar,2026-07-20,,$853.72,$939.00
20,Rose Wine,16,Stowaway Bar,2026-07-20,,$14.55,$16.00
21,White Wine,17,Stowaway Bar,2026-07-20,,$6.36,$7.00
22,Cocktails - Classic,19,Stowaway Bar,2026-07-20,,$36.36,$40.00
23,Tap Beer,20,Stowaway Bar,2026-07-20,,$15.90,$17.50
24,White Wine,20,Stowaway Bar,2026-07-20,,$10.92,$12.00
25,White Wine,16,Stowaway Bar,2026-07-20,,$6.36,$7.00
26,Non-alcoholic,19,Stowaway Bar,2026-07-20,,$8.18,$9.00
27,Kids Meals,18,Stowaway Bar,2026-07-20,,$11.82,$13.00
28,None,18,Stowaway Bar,2026-07-20,,$0.00,$0.00
29,Small Plates,17,Stowaway Bar,2026-07-20,,$11.73,$12.90
30,Add-ons - Pizza,19,Stowaway Bar,2026-07-20,,$3.64,$4.00
31,Gin,17,Stowaway Bar,2026-07-20,,$6.36,$7.00
32,Rose Wine,19,Stowaway Bar,2026-07-20,,$14.55,$16.00
33,Cocktails - Classic,18,Stowaway Bar,2026-07-20,,$36.36,$40.00
34,Tap Beer,19,Stowaway Bar,2026-07-20,,$175.51,$193.05
35,White Wine,19,Stowaway Bar,2026-07-20,,$10.92,$12.00
