"Position","Product Number","Product","Quantity","Percent of Quantity","Sale Amount","Percent of Sale Amount","Cost","Percent of Gross Profit"
109,"","Padrillos Malbec - Regular",1,0,18,0,3.87,79
110,"","Regular Uber Margherita [Dine-in]",1,0,23,0,3.19,86
111,"","Add Basil",1,0,1.03,0,0,100
112,"","Status Quo - Schooner",1,0,13.94,0,3.1,78
113,"","No Pico de Gallo",1,0,0,0,0,0
114,"","Large Hawaiian",1,0,20,0,3.26,84
115,"","Cauliflower Burrito D",1,0,25,0,5.14,79
116,"","No Jalapeños",1,0,0,0,0,0
117,"","A. Rodda Tempranillo - Regular",1,0,18.59,0,5.57,70
118,"","Davy's Old Fashioned",1,0,24,0,4.87,80
119,"","Caramelised Onion Jam",1,0,3.1,0,0,100
120,"","Chicken Burrito",1,0,29.85,1,6.8,77
121,"","Rocket Man",1,0,18.6,0,3.2,83
122,"","Regular Hawaiian",1,0,22,0,1.25,94
123,"","Onion Rings",1,0,12.4,0,0,100
124,"","Oceanside",1,0,17.55,0,3.53,80
125,"","Regular No Chorizo, No Cry [Dine-in]",1,0,26,0,2.5,90
126,"","Appleton Rum [House]",1,0,11.38,0,2.43,79
127,"","Regular BBQ Chicken Pizza",1,0,24.5,0,2.99,88
128,"","Brownie D",1,0,0,0,1.95,0
129,"","Fish Tacos D",1,0,18,0,2.18,88
130,"","Regular Sanchez [Dine-in]",1,0,26.85,0,3.39,87
131,"","Lemon, Lime & Bitters",1,0,5,0,0,100
132,"","Tonic Glass",1,0,4,0,0,100
133,"","Kids Hawaiian Pizza",1,0,13,0,0,100
134,"","Add Calabrese",1,0,4,0,0,100
135,"","No Aioli",1,0,0,0,0,0
136,"","Bombay Dry [House]",1,0,7,0,2.12,70
137,"","Kuku Sauvignon Blanc - Regular",1,0,14,0,2.91,79
138,"","Guinness Draught - Schooner",1,0,13.5,0,3.51,74
139,"","No Salad",1,0,0,0,0,0
140,"","Flower Child",1,0,22,0,2.86,87
141,"","Side BBQ Sauce",1,0,0,0,0,0
142,"","Hendrick's Gin",1,0,14.46,0,2.69,81
143,"","Stow Schnitty",1,0,27.8,0,5.33,81
144,"","Large Sanchez VEGAN",1,0,31,1,4.22,86
145,"","La Petite Mort Albarino 2025 - Regular",1,0,18.07,0,4.58,75
146,"","Large Super House Special",1,0,30,1,7.72,74
147,"","Cauliflower Tacos",1,0,20,0,0,100
148,"","Vinada Sparkling Rose",1,0,12,0,3.05,75
149,"","Large Hail Africa",1,0,27,0,6.24,77
150,"","A. Rodda Chardonnay - Bottle",1,0,115.67,2,37.7,67
151,"","Add Olives",1,0,1.55,0,0,100
152,"","Beetle Juice",1,0,16,0,3.67,77
153,"","Fancy Pants Parmy - Mexicali",1,0,35.14,1,0,100
154,"","Island Time",1,0,24.8,0,4.33,83
155,"","Regular Jimmy Jury",1,0,24,0,3.34,86
156,"","Ginger Beer [mixer]",1,0,1.03,0,0,100
157,"","La Petite Mort Rosso 2025 - Regular",1,0,18.07,0,4.58,75
158,"","Baked Camembert",1,0,24.9,0,0,100
159,"","Under the Bridge Pizza",1,0,26,0,4.08,84
160,"","Tommy's Margarita",1,0,17.56,0,4.97,72
161,"","Eggplant Parmy",1,0,29,1,0,100
162,"","Chicken Burrito D",1,0,25,0,6.8,73
163,"","Fish Burrito D",1,0,25,0,5.67,77
164,"","Regular Margherita",1,0,14,0,1.23,91
165,"","Trentham Estate Rosé - Bottle",1,0,50.6,1,10.55,79
166,"","Petits Detours Rosé - Regular",1,0,16.53,0,3.48,79
167,"","Side Horseradish",1,0,1.03,0,0,100
168,"","No Mayo",1,0,0,0,0,0
169,"","Limoncello Spritz",1,0,17,0,5.32,69
170,"","Creme Brulee",1,0,18.59,0,0,100
171,"","Large Tandoori Chicken",1,0,25,0,3.21,87
172,"","Tonic [mixer]",1,0,0,0,0.8,0
173,"","Kids Margherita Pizza",1,0,13,0,0,100
174,"","Aperol Spritz",1,0,14,0,3.55,75
