Position,Product Number,Product,Quantity,Percent of Quantity,Sale Amount,Percent of Sale Amount,Cost,Percent of Gross Profit
14,,Online Surcharge,15,1,19.99,0,0,100
19,,Garlic Bread,13,1,44,0,18.46,58
33,,Cheesy Garlic Bread,7,1,48,0,12.41,74
40,,Large Super House Special,6,1,179,1,44.28,75
41,,Regular Little Italy [Dine-in],6,1,160.29,1,28.83,82
45,,Large Cosmopolitan,6,1,139,1,40.57,71
49,,Regular Super House Special,5,0,118,1,26.42,78
51,,Add Chilli,5,0,5,0,0,100
52,,Large Little Italy,5,0,89,1,42.91,52
55,,Large Sanchez,5,0,54.89,0,27.45,50
57,,Regular BBQ Chicken Pizza,5,0,118.5,1,15.55,87
61,,Large Meatlovers,4,0,115,1,29,75
62,,Large Uber Margherita,4,0,27,0,17.84,34
71,,Large El Patron,4,0,27,0,23.41,13
74,,Regular Sanchez [Dine-in],4,0,107.42,1,13.57,87
77,,Regular Hawaiian,4,0,82,1,4.99,94
78,,Regular Pepperoni,4,0,88,1,8.51,90
82,,$45 FEAST,3,0,135,1,0,100
88,,Large Hawaiian,3,0,68,0,9.79,86
89,,Large Vegetarian,3,0,40,0,12.34,69
91,,Regular New Yorker [Dine-in],3,0,73.57,1,10.76,85
96,,Regular Meatlovers,3,0,67,0,15.57,77
99,,Large Sorrento,3,0,84,1,21.52,74
103,,Large New Yorker,3,0,57,0,15.03,74
104,,"Large No Chorizo, No Cry",3,0,54,0,18.94,65
107,,Add Prawns,3,0,12,0,0,100
111,,Coke 1.25L,2,0,14,0,7.38,47
113,,Large Bubba Gump,2,0,50,0,11.6,77
114,,Coke Zero 1.25L,2,0,0,0,8.53,0
117,,Gluten-free Base,2,0,10.32,0,8.2,21
121,,Large Hail Africa,2,0,0,0,12.49,0
122,,Large Paddock,2,0,0,0,10.56,0
124,,Regular Hail Africa [Dine-in],2,0,55.8,0,5.82,90
126,,$90 PIZZA PARTY,2,0,180,1,0,100
127,,Regular Jimmy Jury,2,0,49,0,6.67,86
128,,Add Basil,2,0,2,0,0,100
129,,Add Capsicum,2,0,3,0,0,100
131,,Large Pepperoni,2,0,40,0,9.13,77
133,,Solo 1.25L,2,0,7,0,7.11,-2
134,,Large Roma Special,2,0,55,0,12.44,77
139,,Under the Bridge Pizza,2,0,53.7,0,8.51,84
142,,Add Anchovies,2,0,4,0,0,100
144,,Regular Uber Margherita [Dine-in],2,0,46.76,0,6.39,86
147,,Regular Jimmy Jury [Dine-in],2,0,54.89,0,6.67,88
152,,Add Mushrooms,2,0,3,0,0,100
155,,Regular New Yorker,2,0,48,0,7.17,85
157,,Regular Cosmopolitan,2,0,52,0,9.68,81
158,,Add Garlic,2,0,3,0,0,100
159,,Regular Truffalo Soldier [Dine-in],2,0,52.87,0,6.54,88
161,,Large Margherita,2,0,43,0,4.59,89
162,,Regular Sanchez,2,0,48,0,6.79,86
165,,Extra Mozzarella,1,0,2.5,0,0,100
166,,Add Oregano,1,0,0.52,0,0,100
167,,Gluten-free Super House Special,1,0,30,0,9.38,69
168,,Regular Little Italy,1,0,25,0,4.8,81
169,,Choc  Brownie,1,0,0,0,1.95,0
175,,Gluten-free Vegetarian,1,0,21,0,7.8,63
176,,Large Tandoori Chicken,1,0,30,0,3.3,89
178,,Grifter Serpents Kiss Can,1,0,10.33,0,3.19,69
179,,Better Beer D,1,0,6,0,2.5,58
184,,Regular Roma Special,1,0,24,0,4.45,81
185,,Add Olives,1,0,1.5,0,0,100
186,,Add Prosciutto,1,0,4,0,0,100
189,,Regular El Patron,1,0,23,0,3.64,84
190,,Delivery Fee - Freshwater / Queenscliff,1,0,5,0,0,100
192,,"Regular No Chorizo, No Cry",1,0,23,0,2.91,87
196,,Regular Margherita,1,0,16,0,1.23,92
200,,Sour Cream,1,0,1.03,0,0,100
201,,Regular Hawaiian [Dine-in],1,0,21,0,1.25,94
202,,Garlic  Bread,1,0,0,0,1.42,0
206,,Coke Can,1,0,4,0,1.89,53
209,,Pink Galah Can D,1,0,8,0,3.51,56
211,,Add Pineapple,1,0,1.5,0,0,100
214,,Regular Paddock,1,0,25,0,3.28,87
217,,Regular El Patron [Dine-in],1,0,26.85,0,3.64,86
219,,Regular Vegetarian,1,0,16,0,2.37,85
220,,WINGS DEAL,1,0,30,0,0,100
223,,Gluten-free Hawaiian,1,0,21,0,7.04,66
227,,Large BBQ Chicken Pizza,1,0,0,0,4.34,0
229,,Large Jimmy Jury,1,0,30,0,6.19,79
231,,Add Onion,1,0,1.5,0,0,100
235,,Margarita PartyJar (6),1,0,50,0,25.31,49
236,,Delivery Fee - Allambie / Cromer / Fairlight,1,0,8,0,0,100
243,,Add Jalapenos,1,0,1.5,0,0,100
249,,Feast Deal Pizzas,1,0,45,0,0,100
250,,Regular Truffalo Soldier,1,0,21,0,3.27,84
251,,Gluten-free Paddock,1,0,31,0,7.88,75
256,,Add Pepperoni,1,0,3,0,0,100
258,,Add Chicken,1,0,4,0,0,100
259,,Regular Bubba Gump,1,0,21,0,4.15,80
261,,Less Cheese,1,0,0,0,0,0
263,,Add Sour Cream,1,0,1.5,0,0,100
264,,Add Bocconcini,1,0,3,0,0,100
265,,Vegan Cheese [Pizza],1,0,3,0,0,100
267,,Large Garlic Cheese Pizza,1,0,13,0,2.11,84
272,,Add Fetta,1,0,3,0,0,100
274,,Regular Sorrento,1,0,24,0,4.11,83
276,,Add Calabrese,1,0,4,0,0,100
