Product Name,Product Quantity,$ Sales,Total Tax,Cost,% of Quantity,% of Sale Amount,Gross Profit %
1/2 Marinated Egg,15,$29.80,$2.68,$0.00,7%,1%,0%
Tonkotsu,14,$406.00,$36.95,$58.30,6%,12%,86%
Mie Goreng,13,$303.00,$27.53,$41.37,6%,9%,86%
Shredded Beef,11,$286.00,$25.96,$0.00,5%,8%,0%
Dumplings - Prawn Har Gow [GF],11,$207.00,$18.86,$48.55,5%,6%,77%
Chicken,10,$38.00,$3.44,$0.00,4%,1%,0%
Miso,8,$229.10,$20.85,$0.00,3%,7%,0%
River Retreat Pinot Grigio - Regular,7,$84.00,$7.63,$14.07,3%,2%,83%
Sapporo - Schooner,7,$73.00,$6.64,$22.61,3%,2%,69%
Shoyu,6,$174.00,$15.84,$0.00,3%,5%,0%
Octopus Karaage,6,$108.00,$9.84,$0.00,3%,3%,0%
Popcorn Cauliflower,6,$89.00,$8.07,$5.87,3%,3%,93%
Harry's Lager - Pint,5,$62.50,$5.70,$11.20,2%,2%,82%
Duck Spring Roll,5,$80.00,$7.25,$17.86,2%,2%,78%
Palloncino Prosecco - Regular,4,$45.60,$4.14,$9.20,2%,1%,80%
Angas & Bremer Grenache - Regular,4,$38.00,$3.46,$7.02,2%,1%,82%
Devon's Prawn Toast,4,$64.00,$5.80,$15.55,2%,2%,76%
Chicken Katsu Curry,4,$108.00,$9.80,$11.43,2%,3%,89%
Harry's Lager - Schooner,4,$38.00,$3.44,$6.68,2%,1%,82%
Edamame,4,$44.00,$4.00,$0.00,2%,1%,0%
Sapporo - 500ml,4,$56.85,$5.17,$15.20,2%,2%,73%
Dumplings - Beef & Cabbage,4,$56.00,$5.09,$5.89,2%,2%,89%
Salmon Sashimi Special,3,$63.80,$5.81,$0.00,1%,2%,0%
Corona,3,$33.00,$3.00,$7.97,1%,1%,76%
Chilli Bomb,3,$6.00,$0.54,$0.00,1%,0%,0%
L'esprit Rosé - Regular,3,$46.40,$4.20,$10.80,1%,1%,77%
Fried Rice,3,$70.00,$6.36,$8.04,1%,2%,89%
From Sundays Shiraz - Regular,3,$45.00,$4.08,$8.40,1%,1%,81%
Demon Slayer,3,$63.00,$5.73,$12.26,1%,2%,81%
Chicken Karaage,2,$34.00,$3.10,$0.00,1%,1%,0%
Asahi Zero,2,$21.00,$1.90,$4.19,1%,1%,80%
Lemon Chu-hi,2,$24.00,$2.18,$3.04,1%,1%,87%
Swap for Tofu,2,$0.00,$0.00,$0.00,1%,0%,0%
Classic Margarita,2,$33.00,$3.00,$6.65,1%,1%,80%
BBQ Pork Buns,2,$30.00,$2.72,$7.00,1%,1%,77%
Margato,2,$34.00,$3.09,$7.81,1%,1%,77%
Pepsi Glass,2,$9.00,$0.82,$2.62,1%,0%,71%
Carafe Sparkling Water,2,$10.00,$0.90,$0.00,1%,0%,0%
Fried Egg,2,$8.00,$0.72,$0.00,1%,0%,0%
Kids Miso,1,$13.00,$1.18,$0.00,0%,0%,0%
Dumplings - Veg Gyoza,1,$14.00,$1.27,$1.96,0%,0%,86%
Orange Juice Glass,1,$4.00,$0.36,$0.00,0%,0%,0%
Fish Cake [x2 slices],1,$3.00,$0.27,$0.00,0%,0%,0%
Remove Black Mushroom,1,$0.00,$0.00,$0.00,0%,0%,0%
Bamboo Shoots,1,$1.80,$0.16,$0.00,0%,0%,0%
Black Mushroom,1,$2.00,$0.18,$0.00,0%,0%,0%
Open Price,1,$3.00,$0.27,$0.00,0%,0%,0%
Virgin Margy,1,$13.00,$1.18,$0.00,0%,0%,0%
Tengumai Junmai - 180ml  [SERVE WARM],1,$30.00,$2.73,$7.10,0%,1%,76%
Drunken Koi,1,$21.00,$1.91,$2.65,0%,1%,87%
2 Glasses,1,$0.00,$0.00,$0.00,0%,0%,0%
Dragon Soda,1,$9.00,$0.82,$0.00,0%,0%,0%
GFO [GF Ramen Noodles],1,$3.00,$0.27,$0.00,0%,0%,0%
Mochi Trio,1,$14.00,$1.27,$0.00,0%,0%,0%
No Onion,1,$0.00,$0.00,$0.00,0%,0%,0%
Tomato Sauce,1,$0.00,$0.00,$0.00,0%,0%,0%
Extra Pork.,1,$5.00,$0.45,$0.00,0%,0%,0%
Rice Pudding,1,$8.55,$0.77,$0.00,0%,0%,0%
3 Glasses,1,$0.00,$0.00,$0.00,0%,0%,0%
Crouching Tiger,1,$21.00,$1.91,$4.20,0%,1%,80%
Swap for Tofu [Make it Vegan],1,$0.00,$0.00,$0.00,0%,0%,0%
Vegan,1,$0.00,$0.00,$0.00,0%,0%,0%
$19 Custom Cocktail,1,$17.10,$1.56,$0.00,0%,0%,0%
Pepsi Max Glass,1,$4.50,$0.41,$1.31,0%,0%,71%
Beef Burger [HG],1,$26.00,$2.36,$5.00,0%,1%,81%
Seitan Katsu Curry [vegan],1,$27.00,$2.45,$0.90,0%,1%,97%
Soda & Lime Glass,1,$3.00,$0.27,$0.00,0%,0%,0%
Tofu,1,$4.00,$0.36,$0.00,0%,0%,0%
No Tomato,1,$0.00,$0.00,$0.00,0%,0%,0%
No Pickle,1,$0.00,$0.00,$0.00,0%,0%,0%
River Retreat Pinot Grigio - Bottle,1,$49.00,$4.45,$10.05,0%,1%,79%
Asahi 3.5%,1,$11.00,$1.00,$2.33,0%,0%,79%
,230,"$3,457.00",$314.15,$405.07,100%,100%,88%
