Position,Product Number,Product,Quantity,Percent of Quantity,Sale Amount,Percent of Sale Amount,Cost,Percent of Gross Profit
1,,Guinness Draught - Pint,27,5,474.79,6,126.95,73
2,,Fresh is Best Lager - Pint,20,4,247.58,3,48.93,80
3,,Classic Margarita,15,3,223.99,3,59.44,73
4,,Version Two Pinot Grigio - Regular,13,2,147.18,2,22.97,84
5,,Stone & Wood - Pint,11,2,190.86,3,47.81,75
6,,Villa Fresco Sangiovese - Regular,10,2,105.2,1,24.19,77
7,,Pepsi Max Glass,8,1,37.05,0,0,100
8,,Rosemary Salted Fries,8,1,104.91,1,14.84,86
9,,Fish Tacos,8,1,163.94,2,17.48,89
10,,Grifter Pale - Schooner,8,1,92.38,1,19.92,78
11,,Grifter Pale - Pint,8,1,108.49,1,26.72,75
12,,"Lemon, Lime & Bitters",7,1,35.33,0,0,100
13,,Philter XPA - Schooner,7,1,53.5,1,16.13,70
14,,Side Aioli,7,1,3.56,0,0,100
15,,Fresh is Best Lager - Schooner,7,1,45.93,1,12.77,72
16,,Stone & Wood - Schooner,7,1,93.12,1,22.69,76
17,,Kirin - Schooner,6,1,84,1,22.68,73
18,,Online Surcharge,6,1,7.3,0,0,100
19,,American Standard Burger,6,1,164.91,2,35.06,79
20,,Regular New Yorker [Dine-in],6,1,147.17,2,21.52,85
21,,Negroni,6,1,89.91,1,23.19,74
22,,Large Pepperoni,6,1,160,2,27.39,83
23,,Garlic Bread,6,1,16.67,0,8.52,49
24,,Beef Burrito,6,1,147.34,2,40.63,72
25,,Side Gravy,5,1,8.1,0,1.69,79
26,,Mulled Wine,5,1,75.49,1,10.28,86
27,,Aperol Spritz,5,1,76.43,1,17.76,77
28,,Coconut Margarita,5,1,87.21,1,20.2,77
29,,Corona,5,1,54.22,1,12.86,76
30,,On The Rocks,4,1,0,0,0,0
31,,Ottelia Chardonnay - Regular,4,1,64,1,13.83,78
32,,Kuku Sauvignon Blanc - Regular,4,1,56,1,11.66,79
33,,Version Two Sparkling - Regular,4,1,33,0,7.07,79
34,,Fancy Pants Parmy - Classic,4,1,118.85,2,32.42,73
35,,Petits Detours Rosé - Regular,4,1,65.04,1,14.14,78
36,,Jalapeño Marg,4,1,68,1,2.94,96
37,,Lychee Martini,4,1,60.44,1,14.49,76
38,,Version Two Pinot Grigio - Large,4,1,76,1,11.78,85
39,,Rooster Rojo Blanco Tequila [House],4,1,44,1,9.3,79
40,,Jug of Water,4,1,0,0,0,0
41,,Cheesy Garlic Bread,4,1,28.2,0,7.09,75
42,,BBQ Wings D,4,1,32,0,12.56,61
43,,Stow Schnitty,4,1,109.36,1,21.3,81
44,,Make It A Burrito Bowl [gluten-free],3,1,0,0,0,0
45,,Sweet Potato Fries,3,1,39.43,1,7.58,81
46,,Pepsi Glass,3,1,13.5,0,0,100
47,,Coke 1.25L,3,1,21,0,11.07,47
48,,Southern Squid,3,1,79,1,0,100
49,,Pepsi [mixer],3,1,0,0,0,0
50,,Regular El Patron [Dine-in],3,1,80.57,1,10.92,86
51,,Gluten-free Base,3,1,15.49,0,12.3,21
52,,Brownie D,3,1,0,0,5.84,0
53,,Pink Lemonade Glass,3,1,13.94,0,0.41,97
54,,Status Quo - Schooner,3,1,40.5,1,9.2,77
55,,Side BBQ Sauce,3,1,0,0,0,0
56,,Mother's Milk Shiraz - Regular,3,1,45,1,9.65,79
57,,Large Meatlovers,3,1,28,0,21.75,22
58,,No Garnish,3,1,0,0,0,0
59,,Lemonade Glass,3,1,13.5,0,0,100
60,,Appleton Rum [House],3,1,34.08,0,7.79,77
61,,Chicken Burrito D,3,1,76,1,20.4,73
62,,Add Pepperoni,3,1,9,0,0,100
63,,Sailor Jerry [House],3,1,33,0,5.73,83
64,,WINGS DEAL,3,1,90,1,0,100
65,,Regular Margherita,3,1,49.54,1,3.69,93
66,,Regular Pepperoni,3,1,66,1,6.38,90
67,,Regular Cosmopolitan,3,1,73,1,14.52,80
